NMNH       452507     Phc7stv
19.9121    19.9071    15.2049    IN
16.3866    15.96      17.6258    BR
9999       9999       9999       GL
12.3174    11.545     14.8681    NA
9.9874     9.0837     9.0793     RH
9.048      7.8446     5.3953     NS
9.0176     7.7648     4.1169     PR
8.2872     8.5146     4.421      R_PR2
9.9896     10.0859    9.7621     R_PMS
10.3419    14.4785    9.6426     R_ZMI
11.5061    13.1458    12.9973    R_ZMU
12.087     12.0712    13.7934    R_DA
11.1602    12.9299    15.4214    R_MTI
11.6246    13.3081    16.3744    R_MTS
10.3363    14.6983    14.3272    R_FMO
10.2503    15.8124    14.4571    R_FMT
14.3722    19.4994    12.5175    R_PO
10.1929    16.562     11.5779    R_ZTS
9.9656     7.144      4.3272     L_PR2
11.0977    9.195      9.8161     L_PMS
15.7607    9.6399     9.9662     L_ZMI
13.9331    10.774     12.9837    L_ZMU
12.8354    11.41      13.8022    L_DA
14.0867    10.3215    15.4605    L_MTI
14.3056    10.9666    16.3344    L_MTS
15.7009    10.1179    14.3127    L_FMO
16.811     10.0507    14.426     L_FMT
20.1842    14.4039    12.5382    L_PO
17.7487    10.107     11.5934    L_ZTS
9.238      7.0887     4.3558     O1
10.9029    15.1025    15.5707    O2
18.947     10.754     11.81      O3
20.3243    18.96      14.598     O4







































































































































































12.3174    11.56      14.8734    GLRH
12.3104    11.5419    14.6435
12.3205    11.517     14.3946
12.3279    11.4889    14.257
12.2997    11.4756    14.0609
12.2818    11.4468    13.8702
12.2344    11.4243    13.6772
12.1878    11.4049    13.5143
12.1164    11.3567    13.3428
12.0371    11.31      13.0988
11.9988    11.2209    12.9302
11.9576    11.1596    12.7846
11.8844    11.0548    12.5736
11.8409    11.0176    12.4495
11.795     10.9374    12.3217
11.7464    10.876     12.2072
11.6966    10.8215    12.1121
11.6029    10.7265    11.916
11.5398    10.6117    11.732
11.4831    10.5322    11.5909
11.3724    10.4828    11.4746
11.2842    10.4182    11.3222
11.2356    10.342     11.2022
11.1505    10.2548    11.0804
11.1174    10.1648    10.9659
11.074     10.0688    10.8677
10.9942    10.0109    10.7463
10.9122    9.9076     10.6135
10.8402    9.8467     10.4941
10.7463    9.7607     10.3638
10.6922    9.6763     10.2482
10.6226    9.5979     10.127
10.5447    9.5461     10.0152
10.5007    9.4332     9.8804
10.4085    9.3374     9.747
10.2865    9.2759     9.6035
10.2144    9.2192     9.468
10.1513    9.1432     9.3237
10.0901    9.1242     9.2199
10.0262    9.0513     9.0783
































































































































































10.0382    9.0692     9.1002     NOSE
9.912      9.2033     9.0489
9.7645     9.3336     9.0799
9.5818     9.3645     8.8866
9.451      9.4868     8.735
9.2348     9.4868     8.5822
9.0639     9.4582     8.3189
8.9795     9.4309     8.157
8.8493     9.3894     7.9254
8.6716     9.3487     7.6753
8.5997     9.2906     7.4641
8.5323     9.2369     7.2031
8.4969     9.1972     7.0052
8.4285     9.1523     6.8053
8.3366     9.0967     6.5361
8.314      8.9648     6.2524
8.3188     8.8081     6.04
8.3436     8.6391     5.9741
8.3862     8.4503     5.887
8.4303     8.2898     5.7149
8.5295     8.1866     5.6263
8.6354     8.0773     5.5075
8.7508     8.0278     5.4644
8.8409     8.0013     5.391
8.9532     7.9412     5.4134
9.0798     7.9037     5.4366
9.1817     7.7171     5.4391
9.2163     7.5265     5.442
9.3031     7.3137     5.5883
9.461      7.2327     5.7766
9.5755     7.2194     5.8944
9.752      7.2612     6.0635
9.9058     7.2849     6.1776
10.0469    7.3146     6.3353
10.1359    7.3277     6.4297
10.2232    7.3562     6.6074
10.2735    7.458      6.8988
10.2844    7.4903     7.0822
10.3236    7.5582     7.2392
10.3529    7.57       7.399
10.394     7.6672     7.5387
10.4582    7.7081     7.7604
10.439     7.8468     7.8632
10.4365    7.9897     8.0801
10.4513    8.0323     8.1518
10.4302    8.1309     8.1738
10.4465    8.2028     8.347
10.4733    8.2474     8.4826
10.4863    8.3533     8.6408
10.4539    8.4834     8.7466
10.343     8.6702     8.7882
10.3046    8.738      8.9646
10.2516    8.8887     9.0778
10.0374    9.0617     9.078








































































































