UWMA       GV4040     Phg1stv
9999       9999       9999       IN
23.6122    -10.5045   9.1252     BR
28.5189    -8.229     8.923      GL
28.5223    -8.2102    8.4877     NA
31.3862    -6.7877    6.5953     RH
33.5127    -5.4705    5.0891     NS
33.7498    -5.2696    4.6952     PR
34.1799    -6.0855    4.8405     R_PR2
30.0686    -7.8057    6.7274     R_PMS
9999       9999       9999       R_ZMI
29.551     -9.5067    6.6747     R_ZMU
28.7359    -8.3664    7.6473     R_DA
28.9168    -9.6386    8.6362     R_MTI
28.3375    -9.7987    9.1592     R_MTS
29.2259    -10.9296   7.4504     R_FMO
28.6593    -11.6599   7.2466     R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
33.2695    -4.7675    4.8461     L_PR2
29.7309    -7.1035    6.859      L_PMS
27.6421    -4.894     4.6568     L_ZMI
28.1202    -6.2126    6.8983     L_ZMU
28.3684    -7.7822    7.6745     L_DA
27.6156    -6.8257    8.794      L_MTI
27.2954    -7.0067    9.3234     L_MTS
26.7664    -5.5927    7.8168     L_FMO
26.0572    -5.5225    7.4329     L_FMT
22.5318    -6.5602    4.6791     L_PO
25.6831    -4.6363    5.2084     L_ZTS
33.4007    -4.7808    5.2824     O1
28.0929    -11.393    7.9965     O2
24.2868    -4.8222    4.9531     O3
20.6954    -10.4767   6.5891     O4







































































































































































28.4843    -8.2327    8.874      GLRH
28.5142    -8.2462    8.6147
28.5139    -8.1645    8.3761
28.5484    -8.0895    8.1647
28.6376    -8.0649    7.9742
28.8017    -7.9575    7.7887
28.946     -7.8899    7.6418
29.1162    -7.8332    7.4924
29.2569    -7.7414    7.3989
29.417     -7.6708    7.2912
29.5465    -7.5795    7.2115
29.6494    -7.5374    7.1274
29.748     -7.4569    7.0518
29.9005    -7.4059    6.9833
30.0409    -7.3515    6.924
30.2427    -7.2513    6.877
30.4265    -7.1706    6.8393
30.5847    -7.0933    6.7888
30.7113    -7.0075    6.7462
30.8483    -6.9146    6.7253
30.9824    -6.8571    6.6939
31.1102    -6.7407    6.7216
31.1985    -6.6775    6.7109
31.285     -6.6006    6.6898
31.3767    -6.5708    6.6482















































































































































































31.3966    -6.624     6.6384     NOSE
31.6076    -6.9887    6.4459
31.7326    -7.1394    6.3525
31.9146    -7.1973    6.1778
32.1601    -7.1892    6.0597
32.3099    -7.1398    5.9474
32.4495    -7.0326    5.8342
32.6196    -6.9494    5.7078
32.8394    -6.8104    5.577
32.9163    -6.5158    5.469
32.9956    -6.303     5.4068
33.0215    -6.1802    5.3747
33.1105    -6.0502    5.3474
33.2635    -5.8664    5.3001
33.3678    -5.7637    5.2726
33.4519    -5.643     5.227
33.4998    -5.4703    5.2069
33.4806    -5.3095    5.1365
33.3665    -5.0974    5.3234
33.2694    -5.0344    5.4534
33.0403    -5.0745    5.5759
32.7846    -5.1034    5.6241
32.4464    -5.1375    5.6568
32.2303    -5.1998    5.7743
32.0193    -5.3001    5.9013
31.7885    -5.4069    6.0287
31.6111    -5.5418    6.1521
31.4489    -5.6599    6.252
31.2799    -5.8282    6.3778
31.1931    -5.9162    6.4566
31.1333    -6.0756    6.5456
31.2435    -6.3109    6.6537
31.277     -6.5347    6.6757
31.3828    -6.5934    6.6428






































































































































































33.4725    -5.3088    5.1554     NASP-PR
33.6269    -5.1852    5.0533
33.686     -5.1063    4.9239
33.6941    -5.077     4.8307
33.7611    -5.081     4.7075



































































































































































































30.1091    -7.7394    6.6892     R-PM/MAX
30.3013    -7.7233    6.5915
30.4778    -7.712     6.5353
