TMP        KA 194     Phg2stv
14.1692    21.4168    7.229      IN
14.2497    18.0096    11.1625    BR
9999       9999       9999       GL
9999       9999       9999       NA
14.8936    9.4689     7.9558     RH
14.9742    7.8136     6.5176     NS
15.0399    7.6124     5.8238     PR
14.2836    7.6363     5.7993     R_PR2
14.4717    10.7846    8.235      R_PMS
11.9257    12.3566    5.9065     R_ZMI
13.0594    12.3996    8.4213     R_ZMU
9999       9999       9999       R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
10.9858    17.6955    6.3666     R_PO
10.6678    13.6966    6.9288     R_ZTS
15.6849    7.8363     5.7403     L_PR2
15.1834    10.9603    8.2841     L_PMS
17.3885    12.931     6.154      L_ZMI
16.5856    12.7056    8.4828     L_ZMU
15.2129    12.5585    9.139      L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
17.6186    13.5458    9.3027     L_FMO
18.0591    14.403     9.2411     L_FMT
17.8957    18.264     6.3274     L_PO
18.525     14.285     6.7423     L_ZTS
15.6693    7.881      6.4735     O1
12.109     14.5933    10.0805    O2
18.9252    16.5703    6.5789     O3
12.9588    21.0199    7.0624     O4







































































































































































9999       9999       9999       GLRH







































































































































































































14.885     9.4541     7.907      NOSE
14.5878    9.4278     7.8948
14.4377    9.3128     7.8273
14.3487    9.2054     7.7339
14.2613    9.1205     7.5979
14.1621    9.0566     7.4841
14.0788    8.9148     7.3955
14.0677    8.8245     7.3135
14.0398    8.7123     7.2079
14.0723    8.5563     7.1043
14.1273    8.4526     6.9894
14.2165    8.351      6.9374
14.2763    8.253      6.8718
14.357     8.1025     6.804
14.4467    8.0041     6.7448
14.5825    7.9442     6.6228
14.6875    7.9201     6.5491
14.7907    7.8906     6.5094
14.9507    7.8618     6.5139
15.1112    7.9074     6.5445
15.2812    7.9533     6.5752
15.3761    8.0494     6.6733
15.4825    8.1456     6.7633
15.5727    8.2723     6.8252
15.6604    8.412      6.8627
15.7292    8.4953     6.9106
15.77      8.6038     6.9935
15.7692    8.7298     7.0828
15.7694    8.8099     7.1834
15.7274    8.9098     7.2923
15.6895    8.9968     7.4355
15.6235    9.1296     7.543
15.5469    9.2141     7.6333
15.4917    9.2901     7.7133
15.3972    9.3658     7.8256
15.2144    9.4497     7.91
15.1045    9.4932     7.9158
15.0146    9.4567     7.8646
14.8807    9.404      7.8438

































































































































































14.9642    7.811      6.4826     NASP-PR
14.9992    7.7226     6.3196
