TMP        CO 101     Phg4stv
15.7248    17.687     5.9806     IN
9999       9999       9999       BR
13.9756    9.7614     11.1044    GL
13.988     9.638      10.8763    NA
13.5478    6.0456     8.9878     RH
13.4167    4.1692     7.6736     NS
13.301     3.8257     7.4414     PR
12.6116    4.2229     7.1662     R_PR2
13.4168    7.8097     9.098      R_PMS
11.2492    9.0284     6.5302     R_ZMI
12.6812    9.1063     8.7033     R_ZMU
13.6053    9.31       9.5312     R_DA
12.6909    10.5502    10.7219    R_MTI
9999       9999       9999       R_MTS
11.4376    10.7067    9.1995     R_FMO
11.1916    11.2184    9.0024     R_FMT
11.5151    14.3401    5.3444     R_PO
9999       9999       9999       R_ZTS
14.3463    3.8293     7.1577     L_PR2
14.1432    8.0185     9.2343     L_PMS
17.3434    7.9224     7.2687     L_ZMI
15.4231    8.5414     8.9561     L_ZMU
14.3245    9.3642     9.7935     L_DA
15.6915    9.9728     10.9154    L_MTI
15.6783    10.4987    11.3436    L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
18.1482    9.5646     7.6355     L_ZTS
13.8471    3.237      7.2814     O1
16.9894    10.8558    10.2737    O2
10.4504    12.848     5.5113     O3
16.1495    17.3749    6.1271     O4







































































































































































13.9158    9.742      11.0839    GLRH
13.9281    9.6198     10.8668
13.9315    9.5558     10.656
13.9399    9.4633     10.5249
13.9617    9.3675     10.3997
13.962     9.2351     10.2008
13.9466    9.1103     10.0223
13.8958    8.9411     9.8313
13.902     8.7705     9.6865
13.8986    8.6176     9.5789
13.8561    8.4395     9.4966
13.855     8.2798     9.4515
13.8182    8.0889     9.3579
13.8092    7.9833     9.338
13.7937    7.83       9.2732
13.7665    7.6493     9.2392
13.7226    7.5033     9.1992
13.6796    7.3257     9.1556
13.6623    7.1535     9.1414
13.6538    7.0084     9.0975
13.6168    6.863      9.0536
13.6083    6.7223     9.0461
13.6183    6.6215     9.0585
13.5966    6.5426     9.0574
13.5396    6.0554     8.9849















































































































































































13.5216    6.0476     8.9861     NOSE
13.0113    6.2361     8.7884
12.9032    6.0012     8.5942
12.7963    5.7874     8.4718
12.7344    5.6007     8.3592
12.7203    5.4684     8.2666
12.6884    5.3264     8.2001
12.6905    5.1572     8.1238
12.7515    4.8907     8.0878
12.8132    4.6814     8.0314
12.8939    4.5195     7.9741
13.0437    4.3145     7.8538
13.2596    4.1416     7.7019
13.3756    4.0912     7.6614
13.4848    4.1097     7.6605
13.6401    4.1511     7.7732
13.8171    4.2432     7.8919
13.9359    4.3794     8.0934
14.0583    4.5501     8.1768
14.1136    4.765      8.2294
14.2613    4.915      8.3026
14.3384    5.1698     8.4042
14.3289    5.3624     8.5538
14.3021    5.5754     8.6864
14.2553    5.7614     8.7658
14.202     5.9253     8.8644
14.1626    6.0065     8.9
14.0701    6.0266     8.9385
13.9196    5.9944     8.9517
13.5362    6.0075     8.985










































































































































































13.4314    4.1883     7.6606     NASP-PR
13.4378    4.0274     7.6275
13.4046    3.9497     7.5604
13.4073    3.8499     7.3914




































































































































































































13.4181    7.8103     9.0761     R-PM/MAX
13.3124    7.5614     8.9727
13.2186    7.3472     8.8759
13.1381    7.1839     8.8085
13.0786    7.0242     8.8049
13.0242    6.8562     8.7843
12.921     6.6324     8.7456
12.8533    6.4132     8.6969
12.7656    6.2294     8.5669
12.6609    6.0419     8.4491
12.5656    5.8318     8.2796
12.4963    5.6977     8.0885
12.434     5.5428     7.911
12.3725    5.4776     7.7802
12.3079    5.3217     7.6474
12.2229    5.1894     7.535
12.183     5.0852     7.4597
12.1338    5.0632     7.3843
12.0774    4.9983     7.2649
12.0453    4.8023     7.0006
12.3081    4.697      6.73



















































































































































































14.1227    7.961      9.2079     L-PM/MAX
14.1475    7.8162     9.144
14.148     7.7147     9.086
14.1589    7.5439     9.0496
14.1753    7.4025     9.0171
14.2017    7.2325     8.9829
14.2221    7.0822     8.9745
14.2374    6.8666     8.9316
14.2645    6.7405     8.8975
14.2788    6.6124     8.8703
14.3043    6.459      8.8288
14.3458    6.2883     8.7952
14.3727    6.0542     8.7631
14.469     5.8337     8.6013
14.4756    5.6583     8.5232
14.4901    5.4537     8.3886
14.588     5.3481     8.2388
14.6459    5.2172     8.0847
14.6972    5.0806     7.9825
14.743     4.9576     7.8827
14.736     4.8086     7.8133
14.777     4.699      7.7165
14.8585    4.4705     7.4925
14.9161    4.4088     7.3935
14.9217    4.3591     7.3033
14.9137    4.3468     7.1989














































































































































































11.9141    7.6547     6.0718     ROSTRUM
11.9253    7.7474     6.1854
11.9042    7.7939     6.3286
11.9538    7.8981     6.5157
12.0779    7.8842     6.6844
12.218     7.875      6.8732
12.3516    7.8487     7.1795
12.4161    7.9679     7.4376
12.4334    7.9819     7.6391
12.4124    7.9951     7.8869
12.391     8.0408     8.0711
12.4609    8.0785     8.1824
12.5694    8.0503     8.3882
12.6466    8.0958     8.4995
12.7781    8.0745     8.5717
12.9758    8.0618     8.6608
13.1328    8.0131     8.7507
13.2791    8.0195     8.8988
13.4095    8.0008     9.0721
13.5028    7.9619     9.1582
13.6383    7.9586     9.2635
13.7633    7.9345     9.3219
13.924     7.9924     9.3252
14.0809    7.988      9.2846
14.1732    7.9792     9.2361
14.3097    7.9536     9.1085
14.4512    7.9645     8.9909
14.5926    7.9239     8.8988
14.7255    7.9007     8.8329
14.8893    7.8629     8.8141
15.0424    7.7937     8.7317
15.2456    7.7918     8.5456
15.3931    7.7085     8.4356
15.491     7.6617     8.3257
15.4576    7.6219     8.1075
15.4371    7.5634     7.9145
15.4077    7.4827     7.7259
15.509     7.4515     7.4738
15.5902    7.3937     7.2856
15.7317    7.3519     7.1147
15.8584    7.3077     7.0589
16.0626    7.3105     6.9754
16.1914    7.2278     6.8069
16.2113    7.1672     6.6489
16.2033    7.073      6.5017



























































































































































9999       9999       9999       SUPORB







































































































































































































12.6712    9.0943     8.6865     RORBIT
12.3952    9.1728     8.6228
12.1412    9.2573     8.5623
11.9712    9.4464     8.5611
11.7381    9.6954     8.602
11.6004    9.9012     8.6821
11.5058    10.1423    8.743
11.3821    10.4043    8.8906
11.4277    10.5339    9.0268
11.4214    10.6998    9.2122
11.5234    10.955     9.5553
11.6013    10.9073    9.9411
11.7852    10.8202    10.336
12.1532    10.7439    10.5559
12.5481    10.6207    10.6241
13.0354    10.4208    10.6957
13.3249    10.3295    10.7148
13.6357    9.9805     10.4604
13.6781    9.8959     10.2251
13.7138    9.7343     9.9994
13.7314    9.5903     9.7989
13.6938    9.4398     9.6559
13.6188    9.3135     9.5247

















































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































14.2391    15.7413    11.517     OP
14.0995    13.8448    10.5211    BA
13.9373    10.5626    7.9796     ST
13.7287    7.0676     6.1227     IV
17.4572    13.63      9.8044     R_PG
9999       9999       9999       R_ZTI
15.5799    10.5488    8.4628     R_M3D
15.9241    8.5537     7.5423     R_M12
15.3228    6.6018     6.357      R_MP3
14.7926    5.9219     6.2021     R_PMI
9999       9999       9999       L_PG
9.8687     12.3067    8.2598     L_ZTI
12.1532    10.887     8.0452     L_M3D
11.7577    8.7997     7.6286     L_M12
11.9797    6.8356     6.5971     L_MP3
12.4201    6.1568     6.3054     L_PMI
13.0594    4.9147     5.596      O1
11.1388    13.4651    4.879      O2
18.5663    13.1415    8.7122     O3
13.916     18.674     10.1463    O4
























