BM(NH)     ZD.50a     Phh16a
0.523      19.1138    11.6632    IN
0.3216     13.782     15.2926    BR
-0.0994    8.113      13.8703    GL
-0.1345    8.0401     13.4941    NA
-0.3022    3.8665     8.6652     RH
-0.3761    1.6983     6.2264     NS
-0.3349    1.0634     4.7809     PR
-1.3307    1.4748     4.7457     R_PR2
-0.5846    5.9832     9.8307     R_PMS
-3.7713    8.4113     8.3883     R_ZMI
-2.0885    8.6683     11.1083    R_ZMU
-0.4312    8.3498     12.4819    R_DA
-2.2777    8.4809     13.6573    R_MTI
-2.1017    9.1401     14.4277    R_MTS
-3.2736    9.291      12.6026    R_FMO
-4.0358    9.9915     13.0173    R_FMT
-4.2499    14.9079    10.1673    R_PO
-5.3144    10.3518    9.4904     R_ZTS
0.626      1.3396     4.979      L_PR2
0.1455     5.6174     9.6224     L_PMS
3.4813     8.1481     8.21       L_ZMI
1.9124     8.3361     11.2402    L_ZMU
0.2732     8.437      12.5671    L_DA
1.8944     8.2094     13.6598    L_MTI
1.9008     8.8455     14.4911    L_MTS
3.1508     9.026      12.6947    L_FMO
3.9762     9.646      13.0261    L_FMT
4.5269     14.5829    10.2262    L_PO
5.2282     9.8547     9.5937     L_ZTS
0.9894     1.3418     5.0473     O1
2.9054     9.702      14.0439    O2
-5.6167    12.1649    9.8018     O3
0.7734     18.6707    11.3945    O4







































































































































































-0.1133    8.1188     13.8101    GLRH
-0.0905    8.048      13.5184
-0.1165    8.0096     13.2363
-0.1359    8.0485     12.985
-0.122     8.0709     12.7657
-0.1368    8.0398     12.5676
-0.1316    7.9752     12.3544
-0.1454    7.9461     12.2444
-0.1332    7.8464     12.0727
-0.1741    7.7175     11.871
-0.1816    7.5011     11.5726
-0.1288    7.2908     11.2986
-0.1563    7.0097     11.0283
-0.2158    6.8169     10.8361
-0.2169    6.614      10.6633
-0.2072    6.4232     10.5026
-0.2472    6.2003     10.2999
-0.2853    5.9701     10.143
-0.2824    5.7593     9.9715
-0.2619    5.5887     9.8742
-0.2616    5.3568     9.7275
-0.335     5.1462     9.5533
-0.3147    4.987      9.463
-0.3038    4.796      9.3925
-0.3167    4.5864     9.2871
-0.3495    4.3452     9.1284
-0.424     4.152      8.9602
-0.3562    4.0079     8.801
-0.3699    3.8992     8.6769
-0.3744    3.8376     8.6202










































































































































































-0.3553    3.887      8.6514     NOSE
-0.5563    3.9323     8.6139
-0.7718    3.9294     8.5791
-0.9248    3.9241     8.4717
-1.0184    3.8551     8.2682
-1.1355    3.6283     8.0656
-1.2323    3.476      7.8866
-1.3167    3.2995     7.7809
-1.3401    3.1745     7.6311
-1.3657    3.037      7.4509
-1.308     2.8257     7.1783
-1.2758    2.6136     6.9548
-1.2117    2.4262     6.7577
-1.0984    2.1874     6.6368
-0.9497    2.0334     6.5824
-0.8614    1.9202     6.5088
-0.708     1.774      6.4127
-0.5813    1.6693     6.2868
-0.4272    1.6291     6.1925
-0.2602    1.5818     6.2284
-0.1019    1.6603     6.3675
0.0646     1.7464     6.578
0.1915     1.9253     6.6645
0.3668     2.0965     6.7846
0.4626     2.1799     6.8208
0.5419     2.3916     6.9831
0.6326     2.5211     7.1703
0.6191     2.6842     7.3574
0.6185     2.8883     7.559
0.6195     3.0489     7.7488
0.6226     3.1647     7.8479
0.5167     3.3269     7.9653
0.4527     3.4726     8.112
0.4255     3.5839     8.1961
0.4174     3.6433     8.2643
0.3841     3.738      8.3306
0.3638     3.8139     8.4504
0.2866     3.9141     8.5274
0.1652     3.88       8.5666
0.0057     3.8593     8.6215
-0.1551    3.9048     8.6052
-0.2536    3.9028     8.5993
-0.4444    3.917      8.598





























































































































































-0.3611    1.6738     6.1958     NASP-PR
-0.3941    1.4766     6.0787
-0.3844    1.3032     5.9132
-0.3931    1.2279     5.7116
-0.4158    1.1747     5.4523
-0.3649    1.1369     5.2799
-0.3255    1.0626     5.0924
-0.3317    1.082      4.9556
-0.2966    1.0709     4.8366































































































































































































-0.6023    5.8614     9.7397     R-PM/MAX
-0.6621    5.6047     9.5625
-0.7257    5.4373     9.4409
-0.8099    5.2204     9.2915
-0.9335    4.9956     9.1248
-1.0445    4.7312     8.9574
-1.1258    4.5022     8.8052
-1.2008    4.3374     8.6466
-1.2934    4.131      8.5256
-1.3566    3.9443     8.388
-1.446     3.7712     8.2041
-1.5145    3.6436     8.007
-1.6348    3.5542     7.7689
-1.708     3.4608     7.6023
-1.7637    3.4005     7.4421
-1.7894    3.3503     7.1748
-1.8386    3.2637     6.9631
-1.8879    3.1731     6.6896
-1.9414    3.0779     6.4761
-2.0281    2.9937     6.2998
-2.0817    2.8992     6.1178
-2.1522    2.782      5.9507
-2.2113    2.6556     5.7596
-2.2079    2.5769     5.5528
-2.167     2.5379     5.3847
-2.0702    2.5343     5.2326
-1.903     2.5889     5.079













































































































































































0.1577     5.5775     9.6017     L-PM/MAX
0.2508     5.3414     9.4806
0.3034     5.1081     9.349
0.3654     4.8492     9.1989
0.4271     4.6893     9.0589
0.4994     4.4202     8.87
