MNHN       1969.447   Phh21stv
-0.3687    21.0389    12.2999    IN
-0.5074    16.1601    15.3515    BR
-0.2492    10.0048    13.9418    GL
-0.2749    10.0244    13.6248    NA
-0.2486    5.3579     9.2173     RH
-0.0416    3.3148     6.6277     NS
-0.0481    2.9377     5.4499     PR
-1.0589    3.1765     5.5918     R_PR2
-0.6503    7.4126     10.1258    R_PMS
-4.0647    10.069     8.4732     R_ZMI
-1.9936    10.2221    11.6298    R_ZMU
-0.6381    10.4368    12.7573    R_DA
-2.1059    10.3446    14.0124    R_MTI
-1.8552    11.0031    14.7104    R_MTS
-3.5012    11.0132    12.8137    R_FMO
-4.2976    11.622     13.1145    R_FMT
-4.6758    16.8287    10.5705    R_PO
-5.6447    11.974     9.9226     R_ZTS
0.9462     3.2725     5.5668     L_PR2
-0.0216    7.6206     10.2635    L_PMS
3.5387     10.0956    8.4393     L_ZMI
1.5811     10.3158    11.5564    L_ZMU
0.0458     10.4662    12.8042    L_DA
1.5911     10.3505    13.9625    L_MTI
1.4373     11.0438    14.6684    L_MTS
3.0289     11.0768    12.9159    L_FMO
3.8581     11.5449    12.838     L_FMT
3.6222     16.855     10.5454    L_PO
5.0366     11.9941    9.8683     L_ZTS
-0.5355    2.6338     5.3954     O1
2.8953     11.938     14.0343    O2
-6.1994    13.9278    9.9453     O3
0.5775     20.763     12.4535    O4







































































































































































-0.2309    10.0393    14.0817    GLRH
-0.2098    10.0037    13.8862
-0.2259    10.058     13.614
-0.2981    10.1007    13.3843
-0.2612    10.1367    13.1924
-0.31      10.1491    13
-0.2445    10.112     12.7644
-0.2467    10.0243    12.5167
-0.2425    9.9315     12.2974
-0.2556    9.7791     12.0345
-0.312     9.6131     11.8315
-0.351     9.3574     11.579
-0.3616    9.0893     11.3549
-0.3748    8.8982     11.2187
-0.3394    8.6559     11.0607
-0.3426    8.4338     10.9349
-0.3376    8.2469     10.8131
-0.3879    8.0124     10.683
-0.3271    7.7935     10.5664
-0.3225    7.5092     10.4596
-0.3439    7.2944     10.3372
-0.3335    7.1203     10.2486
-0.3396    6.8426     10.1467
-0.2854    6.6151     10.0418
-0.3116    6.4194     9.9759
-0.2803    6.2455     9.8607
-0.2498    6.0544     9.7542
-0.2162    5.883      9.6414
-0.2399    5.6895     9.543
