FSM        992        Phh27stv
9999       9999       9999       IN
1.2502     22.4899    13.962     BR
1.3226     16.779     15.9992    GL
1.2868     16.5003    15.4314    NA
1.6263     10.1569    13.0177    RH
1.9641     7.1752     11.6524    NS
2.1645     6.1325     10.5378    PR
1.0518     6.2087     10.6394    R_PR2
1.0204     12.849     13.2038    R_PMS
-2.4389    14.0383    11.0551    R_ZMI
-0.7588    15.6072    13.6653    R_ZMU
0.9765     16.2132    14.5086    R_DA
-0.5828    16.8423    15.8693    R_MTI
-0.474     17.7915    16.2838    R_MTS
-1.9573    16.8842    14.9173    R_FMO
-2.7263    17.2469    14.9178    R_FMT
-3.7182    21.1711    9.7628     R_PO
-4.2644    16.0775    11.4506    R_ZTS
3.1266     6.394      10.385     L_PR2
1.8276     12.3867    13.1173    L_PMS
4.8157     14.4579    10.9009    L_ZMI
3.2899     15.7712    13.5233    L_ZMU
1.6096     16.2599    14.522     L_DA
3.2449     17.1163    15.5725    L_MTI
3.2081     17.9795    16.0467    L_MTS
4.4817     17.2741    14.6456    L_FMO
5.1792     17.8282    14.5464    L_FMT
5.2819     21.6168    9.2722     L_PO
6.3669     16.5798    10.9105    L_ZTS
2.6962     5.8212     10.393     O1
-1.636     17.8686    15.3365    O2
6.7682     18.5752    10.1864    O3
-2.1212    23.4165    9.0399     O4







































































































































































1.3272     16.7178    15.8751    GLRH
1.3043     16.6275    15.6654
1.3355     16.5308    15.5022
1.2799     16.4889    15.4079
1.2986     16.4006    15.2338
1.3189     16.2813    15.0128
1.3095     16.1119    14.7761
1.2881     15.9671    14.5959
1.2472     15.7353    14.3907
1.2659     15.4405    14.1764
1.2871     15.2119    14.093
1.2779     15.002     13.966
1.298      14.7575    13.8892
1.2983     14.5552    13.7997
1.3204     14.2479    13.6813
1.3277     14.005     13.6344
1.3021     13.7601    13.5624
1.3339     13.5521    13.5153
1.3297     13.2476    13.4535
1.3364     12.9646    13.4085
