FSM        15831      Phh28stv
-0.0042    21.8047    10.901     IN
0.3035     17.3851    14.9007    BR
0.8143     11.3816    14.3252    GL
0.846      11.3571    14.0301    NA
1.2552     6.9825     9.8636     RH
1.6102     4.5174     7.4497     NS
1.6348     3.7353     5.9331     PR
0.5433     3.9745     6.1357     R_PR2
0.8335     9.0327     10.7702    R_PMS
-2.4858    10.9071    8.8618     R_ZMI
-1.2153    11.3222    11.8169    R_ZMU
0.5293     11.5709    13.181     R_DA
-0.8713    11.5232    14.2497    R_MTI
-0.7261    12.3327    14.9968    R_MTS
-2.2223    12.0609    13.0289    R_FMO
-3.0572    12.6256    13.4368    R_FMT
-4.014     17.1385    10.0333    R_PO
-4.2459    12.3302    10.1221    R_ZTS
2.7198     4.2085     6.1998     L_PR2
1.5513     8.7078     10.6102    L_PMS
4.6266     11.5257    9.0628     L_ZMI
3.007      11.8391    11.9518    L_ZMU
1.2316     11.6125    13.1904    L_DA
2.9501     11.9551    14.2889    L_MTI
2.6414     12.7576    14.9553    L_MTS
4.0323     12.6212    13.232     L_FMO
4.5601     13.4705    13.6746    L_FMT
4.8008     18.0853    10.3322    L_PO
5.9775     13.3636    10.2276    L_ZTS
2.3474     3.4959     5.9635     O1
-2.0925    13.0622    14.2535    O2
6.3305     14.9255    10.346     O3
-0.8869    21.3205    10.9278    O4







































































































































































0.8137     11.3801    14.3269    GLRH
0.8349     11.3371    14.018
0.8639     11.3053    13.675
0.8901     11.2836    13.4055
0.9081     11.2178    13.1309
0.9452     11.0952    12.879
0.96       10.9356    12.6152
0.9881     10.7406    12.3676
1.0055     10.5266    12.1238
1.078      10.1315    11.7617
1.084      9.8825     11.5419
1.0989     9.7079     11.4194
1.108      9.469      11.2537
1.1478     9.1472     11.0786
1.1109     8.7721     10.8974
1.1479     8.5025     10.7713
1.1949     8.249      10.657
1.2004     8.0045     10.5185
1.2246     7.7318     10.3638
1.2367     7.4958     10.2378
1.2337     7.3079     10.1115
1.2555     7.153      10.0148
1.2649     6.986      9.8722

















































































































































































1.2758     6.9711     9.8876     NOSE
1.0069     6.958      9.8405
0.7005     6.9744     9.7554
0.5744     6.7894     9.5667
0.4839     6.5745     9.3661
0.4551     6.3836     9.1957
0.3688     6.1271     8.9506
0.2989     5.9139     8.7366
0.2927     5.7257     8.5374
0.3274     5.5852     8.3673
0.3375     5.4525     8.1592
0.4884     5.3426     7.9579
0.5775     5.1626     7.8586
0.7075     5.0252     7.8177
0.836      4.8935     7.7803
0.9633     4.8098     7.766
1.141      4.6762     7.7037
1.3053     4.63       7.6178
1.3987     4.5779     7.5483
1.5825     4.5618     7.4749
1.8041     4.6119     7.5475
2.1208     4.6747     7.6786
2.3401     4.7379     7.7249
2.4999     4.8765     7.7266
2.5523     5.0836     7.8155
2.569      5.3301     8.0173
2.6228     5.5224     8.2481
2.6296     5.6904     8.395
2.5775     5.9108     8.5801
2.6001     6.0983     8.8065
2.4986     6.2626     8.9228
2.4782     6.421      9.0792
2.2797     6.5782     9.2406
2.1651     6.8292     9.5097
2.0274     7.0228     9.7207
1.8178     7.1812     9.7976
1.5794     7.026      9.8506
1.2139     6.9821     9.8565


































































































































































1.5832     4.4914     7.458      NASP-PR
1.6112     4.2347     7.3145
1.6025     4.0461     7.1089
1.6265     3.913      6.8528
1.6206     3.8273     6.585
1.6167     3.7249     6.2742
1.6172     3.7246     6.0728
1.6477     3.7414     5.9409
































































































































































































0.8436     8.991      10.7703    R-PM/MAX
0.841      8.7119     10.6439
0.8008     8.4677     10.531
0.7942     8.2306     10.4591
0.7099     7.9808     10.3014
0.6299     7.8047     10.2234
0.5487     7.6365     10.1183
0.5159     7.5074     10.0298
0.4649     7.3235     9.9054
0.4205     7.1642     9.7987
0.3703     6.9483     9.6659
0.3499     6.7846     9.5319
0.2878     6.6575     9.3991
0.2631     6.4887     9.2909
0.2098     6.4227     9.1817
0.1583     6.2716     9.0415
0.0942     6.0994     8.8181
-0.0283    6.0519     8.4909
-0.0552    5.937      8.0817
-0.0861    5.7648     7.7884
-0.1414    5.5981     7.5364
-0.2268    5.4045     7.3443
-0.3437    5.2994     7.2047
-0.4685    5.1014     6.9886
-0.4895    5.0522     6.7773
-0.4206    5.1101     6.5284
-0.2465    5.1873     6.2836













































































































































































1.5726     8.7042     10.6061    L-PM/MAX
1.6265     8.4375     10.525
1.7061     8.1961     10.4353
1.7727     8.0385     10.3405
1.9446     7.8189     10.1885
2.1012     7.6108     10.0357
2.2487     7.3373     9.8176
2.3439     7.1761     9.6929
2.449      7.0092     9.5343
2.5778     6.8777     9.4031
2.6474     6.7608     9.2892
2.7698     6.6094     9.0757
2.864      6.443      8.7869
2.8952     6.3707     8.5722
2.9395     6.3473     8.4496
2.9552     6.2646     8.2544
2.982      6.1522     8.019
3.0444     6.045      7.8751
3.1472     5.9528     7.6515
3.2435     5.8752     7.4656
3.3693     5.6782     7.2637
3.4546     5.4915     7.0795
3.5023     5.399      6.8619
3.4961     5.4024     6.7168
3.369      5.4329     6.5061
3.2524     5.4662     6.338














































































































































































-1.2745    8.9962     6.8329     ROSTRUM
-1.2528    8.9385     7.0348
-1.2674    8.9031     7.1571
-1.2484    8.8787     7.2515
-1.0625    8.8987     7.424
-0.9093    8.9054     7.4459
-0.7512    8.8876     7.5102
-0.5674    8.8597     7.6067
-0.4092    8.8212     7.8419
-0.3062    8.7587     8.1288
-0.3369    8.6459     8.4075
-0.4371    8.6328     8.6652
-0.5276    8.5776     8.9235
-0.6242    8.5562     9.119
-0.6518    8.4974     9.3597
-0.6182    8.4601     9.5704
-0.5801    8.4592     9.8754
-0.424     8.3722     10.0792
-0.3661    8.3945     10.2426
-0.1728    8.3174     10.408
0.1405     8.5204     10.5286
0.3654     8.5419     10.5677
0.5365     8.5803     10.5672
0.6945     8.6012     10.5633
0.8533     8.6151     10.6029
0.9183     8.6063     10.65
1.0622     8.6279     10.7848
1.1399     8.6385     10.8324
1.3074     8.6559     10.8113
1.4709     8.7325     10.7128
1.5707     8.775      10.6719
1.6985     8.7636     10.6543
1.8478     8.7714     10.6589
2.0187     8.7803     10.6553
2.1497     8.8217     10.6501
2.3456     8.8396     10.6586
2.5354     8.8239     10.6189
2.7034     8.85       10.5631
2.8761     9.0442     10.3873
2.9962     9.055      10.1528
2.9715     9.1412     10.0564
2.976      9.2089     9.8026
2.9773     9.2479     9.5189
2.8979     9.3049     9.2719
2.8721     9.3249     9.0289
2.7734     9.3177     8.742
2.6895     9.308      8.5414
2.6624     9.3039     8.3823
2.691      9.3421     8.1985
2.7755     9.3783     8.0125
2.8905     9.3523     7.7974
3.0561     9.3179     7.6302
3.2084     9.2993     7.5598
3.381      9.3837     7.5652
3.4945     9.3955     7.5381
3.61       9.4115     7.4468
3.6514     9.45       7.2791
3.6572     9.4982     7.1108
3.6599     9.4931     6.963
3.6517     9.5281     6.839












































































































































-3.0628    12.6533    13.4293    SUPORB
-3.0571    12.6944    13.5649
-2.9146    12.7631    13.8443
-2.8345    12.7757    14.025
-2.6558    12.745     14.2032
-2.4304    12.6995    14.3449
-2.2231    12.6066    14.4456
-2.0998    12.4781    14.4938
-1.902     12.4035    14.577
-1.691     12.3982    14.6659
-1.5236    12.4015    14.7224
-1.3456    12.3811    14.7957
-1.157     12.4655    14.8605
-0.8289    12.4152    14.9702
-0.6446    12.3657    15.011
-0.4822    12.3672    15.0526
-0.3306    12.3528    15.0592
-0.1452    12.2738    15.0767
-0.0014    12.202     15.0698
0.1503     12.1173    15.0758
0.3217     12.0758    15.0729
0.5272     12         15.0794
0.7258     11.9945    15.0732
0.9516     12.0674    15.0881
1.0881     12.14      15.1227
1.26       12.2663    15.1368
1.4302     12.4305    15.1257
1.6427     12.5661    15.1302
1.9015     12.5688    15.1226
2.0827     12.644     15.0951
2.4771     12.6401    15.0251
2.725      12.6409    14.958
2.9336     12.6425    14.8849
3.077      12.7093    14.8384
3.2937     12.7551    14.7624
3.4137     12.811     14.7281
3.6055     12.8836    14.6495
3.7546     13.0239    14.589
3.8693     13.1887    14.5288
4.0029     13.2748    14.4915
4.164      13.5082    14.3293
4.2882     13.5114    14.1792
4.4228     13.4516    14.0052
4.5244     13.4776    13.7818
4.564      13.4391    13.6627
4.6087     13.3096    13.5118


























































































































































-1.1802    11.3052    11.8026    RORBIT
-1.4475    11.4016    11.8486
-1.6123    11.4605    11.9492
-1.7891    11.6026    12.1068
-1.922     11.6914    12.2424
-2.1138    11.8298    12.4782
-2.1637    11.9072    12.6047
-2.2369    11.9676    12.734
-2.2396    12.0141    12.8829
-2.3028    12.0376    13.0899
-2.2725    12.0745    13.4132
-2.1022    11.9996    13.7347
-1.9903    11.9122    13.9272
-1.7919    11.8251    14.0451
-1.5329    11.7819    14.1075
-1.2554    11.6239    14.193
-1.0548    11.5556    14.2199
-0.783     11.5107    14.2639
-0.5368    11.5763    14.3369
-0.2307    11.7214    14.4177
0.0874     11.6566    14.3368
0.3168     11.5962    14.0345
0.3759     11.6431    13.8615
0.4883     11.5842    13.6742
0.5184     11.6046    13.469
0.5517     11.5879    13.3262
0.5363     11.512     13.1422













































































































































































3.03       11.7159    11.9564    LORBIT
3.2258     11.8418    12.0124
3.4247     11.949     12.1148
3.5425     12.0443    12.2062
3.6521     12.1228    12.2955
3.7588     12.229     12.4085
3.8254     12.3616    12.573
3.8573     12.5052    12.7351
3.8604     12.6379    12.8597
3.9092     12.6472    13.0577
3.9376     12.6773    13.2384
3.9993     12.625     13.4435
3.8519     12.6226    13.6155
3.8136     12.4992    13.8468
3.6991     12.3536    14.119
3.5373     12.2699    14.2179
3.3132     12.154     14.2219
3.1457     12.024     14.3
2.8774     11.9255    14.2794
2.6188     11.8858    14.2402
2.3063     11.8098    14.3103
2.0985     11.879     14.4091
1.6344     11.8648    14.3762
1.4265     11.8399    14.1019
1.3237     11.7792    13.8758
1.2477     11.7429    13.581
1.2298     11.7174    13.4297
1.2198     11.6863    13.3159
1.2501     11.5892    13.179











































































































































































-3.0721    12.6417    13.3871    RTEMFOS
-3.1007    12.4984    13.2322
-3.1535    12.3827    13.0408
-3.1652    12.2603    12.7914
-3.0966    12.0971    12.5522
-3.1098    12.0353    12.3818
-3.1067    11.9713    12.2574
-3.1009    11.8832    12.0617
-3.103     11.7676    11.8546
-3.1145    11.716     11.7342
-3.1127    11.6413    11.5849
-3.1114    11.5586    11.3785
-3.1268    11.4319    11.1583
-3.1735    11.4049    10.9838
-3.2375    11.2935    10.7181
-3.2907    11.1927    10.5751
-3.3813    11.217     10.3853
-3.5369    11.2618    10.2275
-3.6372    11.3589    10.1252
-3.8018    11.5315    10.0528
-3.9272    11.7377    10.0443
-4.0433    11.8983    10.0518
-4.1737    12.1144    10.0549
-4.2583    12.2808    10.0919
-4.2739    12.3684    10.1133

























































































































