FSM        3337       Phh29stv
-0.0768    23.4858    12.6934    IN
0.2464     18.5861    15.9376    BR
0.72       12.5165    14.4377    GL
0.7335     12.5679    13.769     NA
1.0713     8.0425     9.7799     RH
1.2961     6.0224     7.61       NS
1.3163     5.5771     6.3743     PR
0.2192     5.6524     6.4318     R_PR2
0.6289     9.8034     10.3117    R_PMS
-2.7809    12.3876    8.6232     R_ZMI
-0.9697    12.6769    11.8123    R_ZMU
0.3794     12.8679    12.8259    R_DA
-1.1349    12.6419    14.1067    R_MTI
-1.0437    13.1185    14.9579    R_MTS
-2.4907    13.2454    12.8625    R_FMO
-3.1527    13.8397    13.3379    R_FMT
-3.9722    19.4594    11.1448    R_PO
-4.5006    14.1264    9.7583     R_ZTS
2.3436     5.7275     6.5932     L_PR2
1.3611     10.0673    10.4563    L_PMS
4.5197     12.9136    8.7677     L_ZMI
2.5393     12.9272    11.918     L_ZMU
1.1837     13.0179    13.0222    L_DA
2.8607     12.925     14.3254    L_MTI
2.6934     13.4665    15.0682    L_MTS
4.0865     13.7243    13.2501    L_FMO
4.7906     14.1877    13.3124    L_FMT
4.5775     19.9957    11.3731    L_PO
6.1585     14.9273    10.1424    L_ZTS
2.1524     5.1203     6.4028     O1
-2.7124    14.1723    14.2018    O2
6.3489     16.8999    10.5772    O3
-0.5618    23.0295    13.0014    O4







































































































































































0.7641     12.5259    14.3798    GLRH
0.7334     12.5442    14.2077
0.7221     12.5656    14.0301
0.7232     12.5878    13.9004
0.7263     12.5778    13.7858
0.7154     12.5799    13.6679
0.7448     12.5743    13.5323
0.7556     12.5652    13.3593
0.8063     12.5532    13.0492
0.8        12.4679    12.826
0.7909     12.3474    12.6609
0.8029     12.239     12.4937
0.8302     12.0955    12.3079
0.8436     11.9337    12.1667
0.8288     11.7819    12.0218
0.8623     11.5689    11.8659
0.8536     11.4       11.6994
0.8758     11.2069    11.5479
0.8878     11.0619    11.4203
0.9241     10.9199    11.3202
0.943      10.7488    11.2301
0.9443     10.6051    11.1306
0.9501     10.4226    10.9987
0.9452     10.2229    10.8497
0.9679     10.0278    10.7463
0.9609     9.8665     10.6118
0.9713     9.6441     10.4967
0.9617     9.4847     10.3948
0.9803     9.2888     10.2897
0.9951     9.0537     10.1978
1.012      8.8347     10.1223
1.0124     8.6578     10.0545
1.0354     8.4657     9.9844
1.0059     8.3298     9.9153
1.0219     8.2301     9.8989
1.0245     8.0825     9.7543




































































































































































1.0234     8.0822     9.8025     NOSE
0.7416     8.0874     9.785
0.4892     8.0192     9.6754
0.3574     7.8201     9.5077
0.2534     7.6833     9.3228
0.0887     7.5176     9.0945
0.0631     7.2314     8.867
0.0588     7.0369     8.6501
0.0908     6.8638     8.4834
0.1273     6.6673     8.2873
0.1571     6.4509     8.1369
0.2802     6.3044     8.0552
0.4542     6.2226     7.9949
0.6139     6.0996     7.9762
0.8251     6.0127     7.8272
1.0283     6.0176     7.7206
1.1823     6.0462     7.6675
1.3535     6.0413     7.6614
1.5709     6.0509     7.7433
1.7907     6.0137     7.8632
1.9407     6.1226     7.9482
2.1488     6.235      8.0054
2.2781     6.4228     8.0846
2.3551     6.5448     8.1854
2.3599     6.8041     8.3836
2.3789     7.0031     8.5643
2.3434     7.2115     8.8103
2.3362     7.3517     8.9406
2.3267     7.505      9.0784
2.2593     7.6933     9.178
2.2017     7.9499     9.3549
2.0309     8.1307     9.457
1.8396     8.3171     9.6102
1.4066     8.1374     9.7826
1.2037     8.1164     9.8323
1.0104     8.1003     9.8033




































































































































































1.2871     6.0007     7.5877     NASP-PR
1.2849     5.8566     7.4629
1.3228     5.7084     7.2561
1.3194     5.6221     7.0648
1.299      5.6059     6.8832
1.2893     5.554      6.6999
1.2904     5.5673     6.525
1.2921     5.5635     6.4741
































































































































































































0.6293     9.7825     10.3157    R-PM/MAX
0.5628     9.5969     10.218
0.4434     9.3909     10.1076
0.3606     9.15       10.0239
0.2721     8.9267     9.8847
0.1649     8.7335     9.7684
0.0824     8.497      9.6092
0.0398     8.4129     9.5608
-0.1375    8.1459     9.474
-0.2788    7.9689     9.2968
-0.1951    7.7595     8.9777
-0.3375    7.6071     8.6608
-0.4716    7.514      8.2637
-0.5649    7.3834     7.9654
-0.6689    7.2041     7.7603
-0.7299    7.0591     7.5601
-0.746     6.9097     7.4037
-0.7312    6.7758     7.0616
-0.6328    6.8258     6.8658
-0.5904    6.8072     6.7377
-0.5305    6.7776     6.606











































































