UCMVZ      154146     Phh2stv
19.0258    16.7955    13.2598    IN
15.016     12.8968    15.528     BR
10.7921    9.3563     13.7445    GL
10.8598    9.3785     13.1725    NA
7.7432     6.6365     8.9985     RH
5.9628     5.0762     6.6456     NS
5.5075     4.7932     5.2486     PR
5.0998     5.6148     5.2058     R_PR2
8.5535     7.7941     9.74       R_PMS
8.5195     12.8271    8.1957     R_ZMI
9.7033     11.1782    11.5767    R_ZMU
10.8406    9.9197     12.5804    R_DA
9.8178     10.9172    13.5789    R_MTI
10.3351    10.9255    14.7399    R_MTS
9.3234     12.4748    12.7185    R_FMO
9.3975     13.4876    13.2776    R_FMT
13.0935    17.5546    11.1076    R_PO
8.8887     14.7644    9.8847     R_ZTS
6.5033     4.273      5.2407     L_PR2
8.8703     7.1491     9.5548     L_PMS
13.7368    7.3228     7.8269     L_ZMI
12.4519    8.4558     11.3444    L_ZMU
11.4564    9.4846     12.5442    L_DA
12.3114    8.0428     13.3874    L_MTI
12.7184    8.4623     14.4578    L_MTS
13.8163    7.7796     12.2669    L_FMO
14.8966    7.6522     12.727     L_FMT
19.0487    11.6817    10.4059    L_PO
15.9787    7.4564     9.1713     L_ZTS
4.8252     4.9921     5.3988     O1
8.053      13.2104    9.0718     O2
14.2853    8.2658     13.6881    O3
19.3853    15.6913    12.8215    O4







































































































































































10.7805    9.3303     13.5824    GLRH
10.7717    9.3521     13.4422
10.8171    9.3637     13.2574
10.8502    9.4153     13.0271
10.8297    9.4673     12.7334
10.8278    9.4465     12.5605
10.7934    9.428      12.3515
10.7693    9.3802     12.1695
10.7233    9.3379     12.0144
10.6713    9.263      11.8328
10.5644    9.204      11.6916
10.4618    9.1156     11.5317
10.3615    9.0331     11.377
10.2646    8.9395     11.2263
10.1909    8.8537     11.1065
10.1154    8.7913     11.0206
10.0586    8.7329     10.9569
9.9703     8.643      10.8144
9.8455     8.5723     10.7267
9.7433     8.5215     10.6267
9.6932     8.4474     10.5723
9.6325     8.3942     10.4963
9.5529     8.2908     10.4322
9.4308     8.1896     10.3424
9.325      8.1152     10.2483
9.2428     8.0542     10.1705
9.1271     7.9485     10.099
9.0151     7.893      10.013
8.9355     7.8194     9.9671
8.8768     7.7939     9.9235
8.7801     7.6979     9.8488
8.6999     7.6137     9.7943
8.6311     7.5484     9.7487
8.5456     7.4889     9.6807
8.4582     7.3882     9.6185
8.4055     7.3354     9.565
8.3056     7.2475     9.5389
8.1796     7.149      9.4857
8.1139     7.0917     9.4303
8.027      7.0041     9.3849
7.9658     6.9134     9.3187
7.8789     6.8457     9.2209
7.8117     6.7735     9.1362
7.7064     6.6405     9.0103




























































































































































7.6939     6.6572     8.9987     NOSE
7.5017     6.8093     9.0266
7.4348     6.9412     9.0007
7.3185     7.1436     8.9406
7.1122     7.1993     8.8309
6.9138     7.1558     8.659
6.7404     7.1146     8.5746
6.5947     7.0618     8.3941
6.4871     7.0125     8.2138
6.3741     7.0047     8.1545
6.2802     6.9433     8.0304
6.1673     6.8501     7.9105
6.0596     6.7597     7.75
5.9301     6.5782     7.5211
5.8501     6.4935     7.449
5.8088     6.3786     7.3584
5.7798     6.1826     7.2368
5.7372     6.0154     7.1811
5.7404     5.8643     7.1302
5.7388     5.7479     7.0818
5.7796     5.562      7.0133
5.8356     5.4336     6.9387
5.8965     5.349      6.8682
6.0083     5.291      6.7485
6.0522     5.1889     6.7065
6.1959     5.0232     6.7477
6.3279     4.9627     6.8436
6.4703     4.9234     6.9465
6.5913     4.8833     6.9815
6.7831     4.8467     7.0348
6.8822     4.8909     7.0805
7.0357     4.8675     7.0982
7.1561     4.8283     7.1675
7.3006     4.8665     7.2385
