FMNH       27191      Phh6stv
16.8528    16.4085    16.1347    IN
12.7187    12.0038    17.355     BR
8.9394     7.9893     14.6578    GL
9.0965     7.9309     14.08      NA
6.8786     5.4448     8.3846     RH
6.1179     4.3945     5.1163     NS
5.9184     4.191      3.6203     PR
5.4579     4.9256     3.6007     R_PR2
7.4211     6.821      9.4322     R_PMS
7.043      11.6457    9.0958     R_ZMI
8.5326     9.583      12.3377    R_ZMU
9.0773     8.4564     13.4463    R_DA
8.0547     9.4153     14.4565    R_MTI
8.5521     9.7001     15.6849    R_MTS
7.5775     11.1248    13.2647    R_FMO
7.1855     11.9798    14.1124    R_FMT
10.8903    16.7489    12.25      R_PO
6.7782     14.0415    10.4182    R_ZTS
6.5966     3.592      3.8273     L_PR2
8.2412     6.3318     9.733      L_PMS
13.0249    6.119      9.1841     L_ZMI
10.9989    7.3401     12.4692    L_ZMU
9.5522     7.9881     13.4645    L_DA
11.022     6.7605     14.7955    L_MTI
11.3338    7.2021     15.7062    L_MTS
12.4104    6.7005     13.7051    L_FMO
13.213     6.4542     14.2897    L_FMT
17.8622    10.3086    12.5407    L_PO
15.5836    6.0294     10.4889    L_ZTS
6.0845     3.6964     3.0865     O1
7.8766     11.0415    15.1063    O2
16.6228    6.7399     10.9368    O3
17.7082    15.0239    14.4266    O4







































































































































































8.9953     7.8923     14.7334    GLRH
9.0108     7.8972     14.474
9.0522     7.8919     14.2536
9.0577     7.8965     14.0978
9.0727     7.9233     13.9331
9.0803     7.9666     13.7875
9.0738     7.9406     13.642
9.1026     7.919      13.4734
9.0827     7.9215     13.2765
9.0721     7.9002     13.086
9.0448     7.9095     12.9492
9.0277     7.8691     12.8397
8.9888     7.8136     12.7102
8.9587     7.7986     12.5957
8.9063     7.7579     12.4366
8.8635     7.7001     12.3222
8.83       7.6408     12.1854
8.8148     7.5817     12.0756
8.7522     7.5204     11.9352
8.696      7.4423     11.7789
8.6707     7.4032     11.6673
8.6193     7.3242     11.5632
8.5727     7.2947     11.4588
8.5324     7.2321     11.3276
8.4688     7.1776     11.191
8.4338     7.1014     11.0724
8.3664     7.045      10.9411
8.2961     6.9839     10.8087
8.2301     6.9505     10.6838
8.1384     6.8769     10.5253
8.0867     6.804      10.4203
8.0269     6.7318     10.2907
7.9707     6.6741     10.1797
7.8845     6.55       10.0333
7.8297     6.4803     9.9104
7.747      6.3836     9.8185
7.6863     6.3066     9.7088
7.6116     6.2461     9.6165
7.5425     6.1514     9.5181
7.4626     6.0962     9.4301
7.3994     6.0093     9.3461
7.3499     5.9436     9.2761
7.2909     5.8676     9.1595
7.2318     5.7948     9.0584
7.1685     5.7071     8.9736
7.0913     5.6224     8.8373
7.0519     5.5678     8.7448
6.9896     5.5009     8.6236
6.9454     5.4627     8.5489
6.8883     5.4077     8.427






















































































































































6.9094     5.4089     8.3984     NOSE
6.7139     5.555      8.3714
6.502      5.8397     8.2418
6.3632     6.135      8.113
6.2083     6.1576     7.8903
6.0861     6.105      7.6653
5.9514     6.1057     7.4654
5.8626     6.0288     7.2211
5.7409     5.9617     7.0306
5.6148     5.9496     6.8019
5.5991     5.8117     6.5942
5.5802     5.7217     6.3574
5.5904     5.5925     6.224
5.5937     5.4942     6.0029
5.5362     5.4221     5.8222
5.5711     5.2406     5.6421
5.6171     5.0323     5.5327
5.6637     4.8746     5.4371
5.7414     4.7927     5.3831
5.8138     4.6607     5.3213
5.9141     4.558      5.245
6.07       4.5061     5.2151
6.1686     4.4136     5.1815
6.2393     4.3133     5.2384
6.342      4.2042     5.3477
6.4636     4.0447     5.443
6.6397     3.9731     5.5783
6.8239     3.9581     5.7274
6.9064     3.9538     5.7963
6.9655     3.9472     5.8827
7.0617     3.9525     6.0235
7.1333     3.9063     6.0863
7.2458     3.9607     6.235
7.3478     3.9961     6.441
7.3872     4.0391     6.5992
7.447      4.0786     6.7537
7.4622     4.1365     6.9206
7.5013     4.2361     7.0699
7.5981     4.2127     7.2812
7.594      4.3659     7.4155
7.6387     4.4339     7.5897
7.6177     4.5583     7.672
7.6633     4.6744     7.752
7.6475     4.8031     8.083
7.6278     4.8977     8.1492
7.4855     5.024      8.2108
7.2283     5.059      8.2687
7.0364     5.2128     8.3194
6.9104     5.3609     8.3651























































































































































6.1053     4.3455     5.1268     NASP-PR
6.0202     4.3043     4.9311
5.9572     4.2499     4.7932
5.9313     4.1736     4.6849
5.9052     4.1371     4.4633
5.9138     4.1048     4.3089
5.9441     4.0984     4.0529
5.9331     4.1223     3.9725
5.9264     4.1274     3.7503
5.9946     4.1273     3.5334


































































