AMNH       116274     Phk1stv
9999       9999       9999       IN
12.795     11.8792    13.8653    BR
9.4077     8.2882     11.4735    GL
9.4331     8.3238     11.1188    NA
8.5786     7.3743     8.2574     RH
7.9861     6.7941     6.0993     NS
7.6361     6.465      4.9631     PR
7.2259     7.0638     4.9693     R_PR2
8.6744     8.0781     8.903      R_PMS
7.6272     11.1529    7.0928     R_ZMI
8.5145     9.5921     9.2683     R_ZMU
9.3649     8.7964     10.235     R_DA
8.6918     9.3846     11.576     R_MTI
8.5617     9.7874     12.0721    R_MTS
7.8349     10.7968    10.4898    R_FMO
7.8351     11.5132    10.9121    R_FMT
10.1875    14.8377    9.2243     R_PO
7.8303     12.6883    8.1639     R_ZTS
8.2063     6.1308     5.0278     L_PR2
9.3361     7.7289     9.0585     L_PMS
12.3292    7.2601     6.9271     L_ZMI
10.8759    7.7366     9.1237     L_ZMU
10.0262    8.3935     10.2427    L_DA
10.8766    7.554      11.6052    L_MTI
11.0634    7.7649     12.0378    L_MTS
12.2396    7.188      10.2967    L_FMO
13.0388    7.3641     10.5137    L_FMT
15.2652    10.4706    8.7667     L_PO
13.9372    7.7847     7.944      L_ZTS
7.1939     7.1891     5.9083     O1
8.2078     11.3286    10.5201    O2
13.5952    7.3315     7.2587     O3
15.9187    12.1183    8.4157     O4







































































































































































9.4878     8.2363     11.6013    GLRH
9.463      8.2463     11.432
9.463      8.2828     11.1667
9.4622     8.315      10.8774
9.4472     8.3386     10.656
9.4994     8.3052     10.4104
9.4522     8.2923     10.2272
9.404      8.2459     10.0359
9.3268     8.1895     9.8288
9.2645     8.1607     9.6897
9.1688     8.0808     9.5254
9.1277     7.9715     9.3924
9.014      7.8919     9.2429
8.9978     7.7837     9.1192
8.931      7.6752     8.9611
8.8726     7.6056     8.8233
8.7999     7.5511     8.7043
8.7113     7.501      8.5735
8.6314     7.4121     8.4157
8.5642     7.3657     8.2614




















































































































































































8.6109     7.3397     8.245      NOSE
8.448      7.4828     8.2849
8.3243     7.5711     8.142
8.2274     7.6781     7.9821
8.073      7.732      7.8742
8.004      7.7256     7.7029
7.8585     7.7365     7.4763
7.7403     7.6746     7.2127
7.6708     7.5509     6.9674
7.6302     7.4253     6.7549
7.6437     7.2669     6.5398
7.6959     7.1647     6.4112
7.779      7.0366     6.2704
7.8271     6.9421     6.1873
7.8972     6.8393     6.1145
7.9609     6.7435     6.0501
8.0145     6.6749     6.0614
8.2389     6.5971     6.1789
8.3837     6.562      6.2786
