BNNH       61776      Phk2stv
10.9777    11.4383    8.7178     IN
8.776      7.849      12.1848    BR
6.472      3.3448     9.6616     GL
6.5021     3.4578     9.2131     NA
5.8151     2.0193     6.6179     RH
5.1838     0.8535     4.5568     NS
5.1375     0.7822     3.7216     PR
4.6887     1.2586     3.6315     R_PR2
5.7823     2.7835     6.9324     R_PMS
4.6281     5.6973     5.3086     R_ZMI
5.5574     4.4671     7.4781     R_ZMU
6.3768     3.9302     8.5685     R_DA
5.5062     4.352      9.5267     R_MTI
5.6845     4.6715     10.3892    R_MTS
4.4024     5.735      8.623      R_FMO
4.3084     6.3116     8.663      R_FMT
6.3871     9.9762     7.1957     R_PO
4.4432     7.0533     6.342      R_ZTS
5.8284     0.5871     3.7123     L_PR2
6.5236     2.344      7.0631     L_PMS
9.8349     2.8765     5.592      L_ZMI
8.4211     2.8935     7.5678     L_ZMU
7.1484     3.5508     8.3469     L_DA
7.8933     3.0086     9.7963     L_MTI
7.8701     3.5143     10.4954    L_MTS
9.4073     2.8435     8.9642     L_FMO
9.9663     3.0363     8.9016     L_FMT
12.077     6.8928     7.4901     L_PO
10.7504    3.165      6.6243     L_ZTS
4.7649     0.837      3.4855     O1
10.2956    2.6743     6.0611     O2
4.9206     6.1383     10.0058    O3
11.965     10.5685    8.3031     O4







































































































































































6.4712     3.4777     9.1443     GLRH
6.5063     3.4967     9.0353
6.5078     3.5133     8.8319
6.5366     3.5004     8.6436
6.5409     3.4764     8.5136
6.5482     3.4625     8.3664
6.521      3.4145     8.1555
6.5005     3.3139     7.9535
6.4691     3.1972     7.8072
6.3889     3.0634     7.6663
6.3109     3.0049     7.5446
6.2433     2.874      7.4378
6.2167     2.7418     7.3204
6.1516     2.6087     7.2283
6.083      2.4621     7.0893
6.0061     2.3912     6.9834
5.9416     2.2943     6.8724
5.8894     2.2171     6.775
5.8289     2.1384     6.7179
5.7729     2.0428     6.624




















































































































































































5.7767     2.0024     6.5423     NOSE
5.581      2.0824     6.5183
5.4518     2.0983     6.4308
5.3546     2.2013     6.3202
5.2412     2.228      6.2209
5.1383     2.2304     6.1249
5.0646     2.1945     6.0031
5.0248     2.1707     5.9145
4.9749     2.1291     5.7791
4.9075     2.1025     5.6488
4.8717     2.0092     5.5103
4.8692     1.9106     5.3922
4.8318     1.7658     5.2491
4.8506     1.652      5.1691
4.9229     1.4824     5.0747
4.891      1.2807     4.9554
4.8987     1.1408     4.8818
4.9715     1.0228     4.7649
4.998      0.8996     4.6513
5.1174     0.8702     4.5622
5.1884     0.8549     4.5558
5.3303     0.7452     4.5918
5.407      0.6459     4.6739
5.5567     0.6124     4.7829
5.6314     0.5964     4.854
5.7285     0.6361     4.9025
5.8244     0.7476     4.9912
5.9876     0.854      5.0985
6.1269     0.8662     5.1774
6.2875     0.9162     5.3415
6.3751     1.0412     5.5232
6.4389     1.1165     5.6543
6.4522     1.2872     5.8758
6.3913     1.4742     6.0676
6.3066     1.6029     6.2639
6.2128     1.6712     6.3958
6.0948     1.7798     6.4998
5.9147     1.9274     6.5973
5.7795     1.9821     6.6039

































































































































































5.1831     0.8436     4.526      NASP-PR
5.1505     0.7304     4.4735
5.1317     0.7585     4.2201
5.1686     0.7249     4.0984
5.1715     0.7049     3.9335
5.1537     0.7158     3.7804


































































































































































































5.7017     2.7841     6.9266     R-PM/MAX
5.617      2.7319     6.8361
5.5156     2.6557     6.7444
5.4088     2.6066     6.6038
5.3192     2.58       6.4762
5.2514     2.5546     6.3746
5.1632     2.5187     6.2523
5.091      2.5371     6.1199
4.9836     2.4624     5.979
4.9152     2.4334     5.8612
4.8401     2.3924     5.7301
4.8057     2.3491     5.6148
4.7505     2.3287     5.4946
4.6915     2.1798     5.2625
4.5749     2.1188     5.0532
4.4797     2.0138     4.8374
4.4222     1.9787     4.68
4.3416     1.9349     4.274
4.3237     1.9131     4.0623
4.4559     2.146      3.857




















































































































































































6.5511     2.3375     7.0632     L-PM/MAX
6.5495     2.2315     6.9709
6.5334     2.0802     6.8797
6.543      1.9722     6.7709
6.5544     1.8587     6.6214
6.5673     1.7149     6.459
6.5752     1.63       6.3543
6.6364     1.4973     6.2084
6.692      1.4014     6.0623
6.7033     1.3037     5.9025
6.7108     1.1868     5.7268
6.6991     1.0668     5.5284
6.6848     0.9996     5.3337
6.6501     0.9051     5.1597
6.653      0.8277     4.9794
6.6854     0.8048     4.9442
6.706      0.8297     4.5544
6.7369     0.8111     4.4403
6.7152     0.7874     4.2552
6.7505     0.8278     4.1048
6.7496     0.8544     4.0965
6.7558     1.0055     3.9403


















































































































































































4.9072     4.2563     4.1207     ROSTRUM
4.8484     4.2449     4.2316
4.8107     4.1872     4.4576
4.9026     4.1398     4.6001
5.0197     4.0755     4.7437
5.1452     3.9985     4.8742
5.2039     3.8881     5.0428
5.2002     3.878      5.1979
5.2658     3.8569     5.3485
5.2595     3.8383     5.4621
5.2632     3.8002     5.5664
5.2416     3.7594     5.6754
5.2356     3.7236     5.8384
5.2456     3.7417     5.909
5.2291     3.707      6.0943
5.2079     3.6842     6.2023
5.2151     3.6355     6.3566
5.2928     3.5722     6.4477
5.3724     3.4353     6.5936
5.4884     3.3692     6.6913
5.5437     3.2977     6.7526
5.6226     3.2015     6.8178
5.6691     3.1103     6.8798
5.7265     3.0103     6.9547
5.7648     3.0037     7.0011
5.8761     2.9311     7.1032
5.9725     2.9096     7.19
6.0676     2.8167     7.2867
6.1708     2.7429     7.3164
6.3101     2.6478     7.3344
6.4641     2.6365     7.3456
6.5941     2.5616     7.2917
6.7121     2.5443     7.2265
6.7948     2.4902     7.1306
6.9709     2.4812     7.0446
7.0962     2.463      6.9732
7.2087     2.4355     6.9055
7.3242     2.401      6.8517
7.4681     2.3901     6.7403
7.5981     2.3956     6.6341
7.7164     2.3476     6.4492
7.7811     2.4397     6.1264
7.7892     2.5319     5.9052
7.8063     2.6221     5.6592
7.8297     2.6627     5.514
7.8424     2.6319     5.2739
7.8934     2.6311     5.1285
7.9945     2.6155     4.9858
