BMNH       69.556     Phk3stv
12.3569    12.7455    10.1064    IN
10.2991    8.8146     13.5987    BR
7.3126     4.3241     11.1606    GL
7.3045     4.3538     10.4669    NA
5.8796     2.181      7.3381     RH
4.8931     0.6373     4.663      NS
4.8436     0.3373     3.4376     PR
4.1717     0.9463     3.9223     R_PR2
6.0485     3.2479     8.0245     R_PMS
5.0097     6.9435     6.1773     R_ZMI
6.5952     5.3332     8.7772     R_ZMU
7.0921     4.9329     9.4469     R_DA
6.1196     5.4409     10.8659    R_MTI
6.2941     5.6915     11.8381    R_MTS
4.9597     6.9364     9.9382     R_FMO
4.9435     7.7783     10.2618    R_FMT
7.2267     11.6264    8.2415     R_PO
4.6284     8.505      7.4672     R_ZTS
5.7697     0.106      3.8125     L_PR2
6.9125     2.9235     8.0819     L_PMS
10.6737    3.6264     6.1507     L_ZMI
8.9461     4.104      8.6759     L_ZMU
7.884      4.3853     9.3159     L_DA
8.884      3.9166     10.8991    L_MTI
9.0812     4.1842     11.8784    L_MTS
10.6942    3.7588     9.8885     L_FMO
11.4727    3.8881     9.9846     L_FMT
13.7819    7.9249     8.1458     L_PO
12.2601    4.0847     7.4171     L_ZTS
3.8314     1.2331     3.5606     O1
11.0161    4.169      10.9752    O2
5.0278     9.8863     7.5447     O3
14.1308    10.0829    8.7953     O4







































































































































































7.2879     4.348      10.9952    GLRH
7.2941     4.356      10.8537
7.2873     4.3504     10.7165
7.3114     4.3603     10.4853
7.3507     4.3757     10.2604
7.3472     4.3774     10.1157
7.3401     4.3554     9.9808
7.3342     4.3303     9.8064
7.3285     4.2675     9.6619
7.3121     4.1962     9.5391
7.2455     4.1422     9.3735
7.1652     4.0705     9.2205
7.111      3.9171     9.0622
7.0153     3.8132     8.9481
6.8704     3.6437     8.7695
6.7917     3.5623     8.6886
6.7202     3.4865     8.6066
6.6215     3.338      8.4752
6.5257     3.1512     8.3398
6.4101     3.039      8.2438
6.3678     2.9716     8.1807
6.3008     2.8233     8.0511
6.2175     2.7258     7.906
6.1595     2.6159     7.8073
6.0566     2.4783     7.6824
5.986      2.3996     7.5786
5.9216     2.3257     7.5094
5.8707     2.1752     7.3219





























































































































































