MNHN       1970.410   Phk41stv
0.1087     17.9434    12.3263    IN
0.2126     14.2113    14.962     BR
-0.0626    8.3379     13.2954    GL
-0.0425    8.352      12.9104    NA
-0.0968    5.9867     9.4741     RH
-0.1237    4.3736     7.0893     NS
-0.1806    4.0203     6.1717     PR
-0.996     4.288      6.2157     R_PR2
-0.4764    7.3495     10.4664    R_PMS
-3.3608    9.354      8.6214     R_ZMI
-1.8321    8.8255     11.0704    R_ZMU
-0.6428    8.7986     11.9279    R_DA
-1.6725    8.6733     13.2048    R_MTI
-1.5312    9.0665     14.0564    R_MTS
-3.2232    9.3802     12.2185    R_FMO
-3.6154    9.6722     12.4448    R_FMT
-3.7476    15.2163    10.6924    R_PO
-4.4278    10.2629    9.6029     R_ZTS
0.5751     4.1462     6.2169     L_PR2
0.3742     7.2837     10.3674    L_PMS
3.1942     9.2819     8.4584     L_ZMI
1.3048     8.7501     11.0793    L_ZMU
0.4032     8.7734     12.2908    L_DA
1.9437     8.5878     13.1692    L_MTI
1.8101     9.0655     13.8816    L_MTS
3.1441     9.2583     11.9229    L_FMO
3.3889     9.7644     12.6737    L_FMT
3.6393     15.0262    10.4491    L_PO
4.3003     10.3591    9.4635     L_ZTS
0.2781     3.8166     5.9785     O1
-2.8972    9.9861     13.6924    O2
4.6401     12.4892    9.7886     O3
-0.8726    17.8084    12.2165    O4







































































































































































-0.0833    8.3475     13.2548    GLRH
-0.0898    8.3627     13.0404
-0.0898    8.3609     12.9077
-0.0658    8.3448     12.6702
-0.09      8.3343     12.4639
-0.0628    8.3061     12.218
-0.0798    8.2448     12.0158
-0.08      8.1845     11.8142
-0.0906    8.0569     11.5591
-0.0285    7.8938     11.345
-0.0371    7.7446     11.1688
-0.0544    7.6255     10.9894
-0.0629    7.4716     10.8423
-0.0849    7.3069     10.6905
-0.1048    7.1718     10.5286
-0.1159    7.015      10.3871
-0.1185    6.8274     10.234
-0.1356    6.6934     10.0969
-0.1087    6.4963     9.9476
-0.093     6.3324     9.8329
-0.1239    6.1915     9.7009
-0.0878    6.0628     9.6063
-0.0718    5.991      9.4805

















































































































































































-0.0776    5.9792     9.4722     NOSE
-0.2719    5.9663     9.444
-0.4664    5.9699     9.3773
-0.6073    6.0537     9.2886
-0.7161    5.9295     9.1109
-0.8203    5.8586     8.9698
-0.9078    5.7502     8.7561
-1.0209    5.7112     8.5897
-1.0221    5.5775     8.4094
-1.0673    5.4265     8.2431
-1.0522    5.3353     8.128
-0.9973    5.2237     7.926
-0.9752    5.0533     7.7708
-0.869     4.9091     7.6747
-0.7053    4.6771     7.5348
-0.6174    4.511      7.4444
-0.4842    4.3838     7.2696
-0.311     4.4134     7.1635
-0.1835    4.4187     7.1135
-0.0589    4.3716     7.0953
0.112      4.3338     7.1454
0.2589     4.3304     7.2262
0.3996     4.3617     7.3281
0.4488     4.5741     7.4438
0.5571     4.8399     7.5954
0.6622     5.0634     7.7359
0.7985     5.2244     7.9182
0.8315     5.3378     8.0283
0.7995     5.5353     8.1965
0.7913     5.5728     8.3813
0.7777     5.6966     8.5852
0.7042     5.8059     8.7172
0.568      5.9589     8.9536
0.5368     6.0288     9.1314
0.5025     6.0478     9.191
0.3436     5.9815     9.3525
0.1604     5.9584     9.3555
0.0448     5.9406     9.4417
-0.1117    5.9969     9.4779

































































































































































-0.1257    4.3173     7.0492     NASP-PR
-0.1698    4.1891     6.8806
-0.1631    4.1285     6.7229
-0.1997    4.0602     6.5261
-0.1858    4.0486     6.3734
-0.202     4.0418     6.276
-0.2293    4.0563     6.1036

































































































































































































-0.4719    7.3288     10.4542    R-PM/MAX
-0.5371    7.1419     10.2919
-0.5872    6.9983     10.1183
-0.629     6.862      10.0091
-0.7142    6.7399     9.8605
-0.7632    6.6041     9.7124
-0.8521    6.4667     9.5206
-0.8982    6.369      9.4179
-0.9139    6.2556     9.2991
-0.9668    6.1304     9.1805
-1.0074    6.0473     9.0421
-1.0797    5.9274     8.8376
-1.175     5.7966     8.6484
-1.2414    5.7413     8.4854
-1.3095    5.6008     8.2322
-1.3543    5.4538     7.972
-1.4107    5.3399     7.6782
-1.4718    5.2035     7.3972
-1.6035    5.1873     7.1971
-1.6473    5.0479     6.9722
-1.6848    5.1119     6.787
-1.6025    5.1647     6.5425


















































































































































































0.3504     7.2932     10.3644    L-PM/MAX
0.4007     7.1418     10.2046
0.4195     7.0268     10.1006
0.4504     6.9301     10.0192
0.4918     6.8393     9.9195
0.5199     6.7374     9.8114
0.5464     6.6544     9.7243
0.6221     6.6208     9.6129
0.6567     6.5354     9.5367
0.7205     6.4616     9.4252
0.7881     6.3658     9.3201
0.8171     6.2952     9.1997
0.8327     6.2067     9.1321
0.8466     6.1478     9.0124
0.9019     6.0634     8.8978
0.9622     5.9182     8.6951
0.9873     5.826      8.5245
1.0721     5.6621     8.2445
1.1077     5.5303     8.0242
1.1275     5.4001     7.8294
1.1559     5.2905     7.5995
1.2231     5.2597     7.417
1.3084     5.1869     7.2174
1.3677     5.0806     7.041
1.4844     5.035      6.7252
1.4206     5.0423     6.5078
1.3368     5.0565     6.3799













































































































































































-2.3226    8.0307     6.9994     ROSTRUM
-2.2613    7.9649     7.1843
-2.2147    7.9002     7.3844
-2.0209    7.861      7.5818
-1.883     7.8543     7.7229
-1.7956    7.8094     7.8519
-1.7119    7.7818     8.0759
-1.6797    7.7554     8.2911
-1.6576    7.7177     8.4897
-1.6314    7.6877     8.7113
-1.5843    7.6344     8.9428
-1.5813    7.6155     9.1809
-1.5548    7.5669     9.3866
-1.5309    7.5206     9.5777
-1.478     7.502      9.6906
-1.2915    7.4954     9.873
-1.1396    7.4235     10.0033
-0.9252    7.4294     10.1003
-0.8041    7.3697     10.1889
-0.6748    7.3519     10.3217
-0.5522    7.3752     10.4466
-0.4753    7.3569     10.4878
-0.4012    7.3774     10.5505
-0.2284    7.342      10.6393
-0.1068    7.3606     10.7
0.0629     7.3648     10.6511
0.1998     7.3832     10.5792
0.3371     7.4211     10.5161
0.4304     7.4475     10.4288
0.5952     7.5107     10.314
0.7063     7.542      10.2084
0.8531     7.6        10.1356
0.971      7.6072     10.0447
1.1066     7.6101     9.977
1.2308     7.6379     9.8726
1.3346     7.6448     9.737
1.3624     7.7302     9.5725
1.4285     7.7804     9.3654
1.5414     7.8214     9.0987
1.551      7.8803     8.9228
1.5907     7.9018     8.7661
1.5757     7.9119     8.5265
1.5919     7.9536     8.3212
1.5844     7.9674     8.1322
1.6175     7.9983     7.9503
1.6831     7.999      7.7597
1.7574     7.9995     7.6436
1.9031     8.0027     7.5004
2.0462     7.9581     7.4468
2.158      7.959      7.2534
2.1444     7.9681     7.0187
2.1641     8.0284     6.9047
2.1725     8.0526     6.8329
2.1518     8.0507     6.6742


















































































































































-3.6182    9.662      12.3846    SUPORB
-3.5687    9.7292     12.5454
-3.5124    9.7542     12.7314
-3.4548    9.7847     12.8689
-3.3787    9.7865     13.0971
-3.2666    9.737      13.3279
-3.1838    9.758      13.4826
-2.8881    9.8104     13.7916
-2.7212    9.7395     13.8767
-2.5644    9.6997     13.9359
-2.4085    9.6351     13.99
-2.2818    9.5504     14.0234
-2.1069    9.3742     14.0139
-1.9484    9.3333     14.0166
-1.8118    9.2798     14.0317
-1.6483    9.302      14.0661
-1.498     9.3023     14.0901
-1.1538    9.239      14.1211
-0.9199    9.1704     14.0987
-0.7037    9.0612     14.0502
-0.4678    8.8951     13.962
