NMNH       381435     Php10stv
18.857     19.3933    14.8447    IN
15.7173    15.86      16.6933    BR
12.0494    11.8919    13.9106    GL
11.9735    11.9687    13.6702    NA
9.8177     9.1689     8.4017     RH
8.8879     8.1257     5.7552     NS
8.9005     7.9131     4.8402     PR
8.5318     8.5709     4.5482     R_PR2
10.7212    10.7213    9.8184     R_PMS
10.3154    14.8284    8.4878     R_ZMI
11.2455    13.3636    11.6222    R_ZMU
11.9883    12.2137    12.9943    R_DA
10.9835    13.4566    13.9169    R_MTI
11.471     13.6043    14.8902    R_MTS
10.5167    14.8957    12.8927    R_FMO
10.4653    15.822     13.1199    R_FMT
13.9492    19.7193    11.5582    R_PO
10.0166    16.5822    10.094     R_ZTS
9.5785     7.5973     4.7137     L_PR2
11.411     10.664     10.3498    L_PMS
15.6405    10.3       8.8693     L_ZMI
13.761     11.2612    11.8391    L_ZMU
12.3155    11.893     12.7684    L_DA
13.7686    10.8824    14.1927    L_MTI
13.9264    11.6186    15.002     L_MTS
15.1292    10.7476    13.1213    L_FMO
16.0498    10.6671    13.6685    L_FMT
19.8409    14.3858    11.8768    L_PO
17.2453    10.1975    10.5885    L_ZTS
10.0281    7.1569     4.6777     O1
11.2118    15.1325    14.3494    O2
18.9612    11.3943    11.3522    O3
20.3758    17.2289    13.4864    O4







































































































































































11.9645    11.9507    13.8736    GLRH
11.9872    11.965     13.6349
12.0092    11.9745    13.3387
11.9986    11.9634    13.1174
12.0398    11.9242    12.9503
12.0056    11.8944    12.7412
11.9821    11.8562    12.5704
11.9778    11.7376    12.3704
11.9292    11.6961    12.217
11.8585    11.6409    12.0513
11.7557    11.5819    11.8339
11.7167    11.4627    11.6904
11.6289    11.3819    11.4786
11.5751    11.3201    11.3813
11.5003    11.2253    11.205
11.429     11.1437    11.0376
11.3415    11.065     10.8617
11.2749    10.9855    10.6876
11.2006    10.8906    10.5575
11.1333    10.8058    10.4198
11.0254    10.648     10.2285
10.9373    10.5614    10.0996
10.8748    10.4706    9.9757
10.7702    10.407     9.866
10.7022    10.2427    9.7269
10.56      10.1239    9.5584
10.451     10.004     9.394
10.381     9.8776     9.259
10.2804    9.807      9.1649
10.2072    9.6628     9.0462
10.0161    9.5169     8.8389
9.9419     9.38       8.6596
9.8392     9.2569     8.5213
9.839      9.1451     8.4346






































































































































































9.8317     9.1648     8.4461     NOSE
9.6901     9.3181     8.4498
9.5637     9.4098     8.4326
9.4962     9.6313     8.3113
9.2605     9.72       8.1071
9.0408     9.6486     7.8818
8.8138     9.6197     7.6773
8.7514     9.4073     7.4345
8.695      9.2601     7.2056
8.658      9.1931     7.0506
8.599      9.0919     6.8255
8.5568     9.0024     6.6599
8.5662     8.8693     6.5137
8.5428     8.7358     6.3987
8.5048     8.5542     6.2512
8.5923     8.3906     6.1081
8.666      8.2728     5.9825
8.7316     8.2121     5.8854
8.7924     8.1119     5.7204
8.9469     8.0374     5.7251
9.1316     7.9505     5.9095
9.2424     7.8516     6.0514
9.4233     7.7862     6.184
9.6478     7.7588     6.3105
9.7923     7.7547     6.4775
9.9407     7.7294     6.6796
10.0238    7.8341     6.9016
10.0843    7.8658     7.0861
10.1197    7.9282     7.2593
10.2094    8.0614     7.5183
10.2604    8.1479     7.6346
10.3595    8.3288     7.7769
10.366     8.527      7.8791
10.4004    8.6299     8.1042
10.4006    8.7622     8.264
10.3301    8.9215     8.4115
10.1869    8.9137     8.4383
9.9845     9.0157     8.4885
9.8518     9.1615     8.4312

































































































































































8.949      7.9792     5.7241     NASP-PR
8.8745     7.976      5.6024
8.7877     7.8911     5.3633
8.7974     7.8837     5.1793
8.8215     7.9052     5.049
8.9339     7.9234     4.7953


































































































































































































10.7268    10.6776    9.794      R-PM/MAX
10.5813    10.5594    9.6063
10.489     10.5134    9.4922
10.3669    10.4261    9.4001
10.2697    10.3581    9.3015
10.1607    10.3369    9.139
10.0029    10.3066    8.9724
9.8579     10.2397    8.8241
9.6703     10.1487    8.652
9.5314     10.0603    8.54
9.396      10.0114    8.4166
9.2317     9.9577     8.2449
9.0583     9.8778     8.0744
8.9124     9.8319     7.8729
8.7947     9.8252     7.6894
8.6372     9.7418     7.4893
8.5919     9.8014     7.2859
8.5099     9.7793     7.0115
8.4103     9.7738     6.7368
8.3804     9.7921     6.5066
8.3336     9.7996     6.2702
8.2837     9.8711     6.0756
8.1989     9.8885     5.8976
8.1617     9.8853     5.7131
8.2931     9.8567     5.3887
8.4987     9.7984     5.1816































































































































