MNHN       1901-515   Php15stv
-1.404     17.7806    12.5203    IN
-1.0538    12.7605    15.1178    BR
-1.146     7.2414     13.1233    GL
-1.1539    7.2869     12.6267    NA
-1.1967    4.2032     8.854      RH
-1.0634    2.0862     6.4294     NS
-1.0135    1.5313     5.4428     PR
-2.016     2.0104     5.6282     R_PR2
-1.4591    6.4143     10.4584    R_PMS
-4.7322    8.1037     8.1443     R_ZMI
-3.0589    7.5558     10.5892    R_ZMU
-1.4959    7.4676     11.9986    R_DA
-3.0911    7.868      13.0607    R_MTI
-2.9676    8.3751     13.8077    R_MTS
-4.397     8.5693     11.8817    R_FMO
-4.9213    9.3574     12.177     R_FMT
-5.3858    14.2822    10.2017    R_PO
-5.8737    9.4568     9.2183     R_ZTS
-0.0007    1.902      5.6942     L_PR2
-0.8688    6.7017     10.7001    L_PMS
2.3927     8.1394     8.0251     L_ZMI
0.7183     7.7095     10.622     L_ZMU
-0.6637    7.7027     11.8751    L_DA
1.0166     7.8251     13.2436    L_MTI
0.7695     8.57       13.7866    L_MTS
2.0749     8.6472     11.8821    L_FMO
2.6137     9.2277     12.1379    L_FMT
2.8728     14.2933    10.2866    L_PO
3.4842     9.5549     9.2864     L_ZTS
-0.4462    1.2333     5.2853     O1
-4.497     9.3644     13.0018    O2
4.0874     11.5131    10.1667    O3
-0.3933    17.7437    12.2747    O4







































































































































































-1.1637    7.2317     13.1328    GLRH
-1.1761    7.2595     12.7755
-1.2313    7.2896     12.5264
-1.2238    7.2754     12.3311
-1.2101    7.2185     12.1444
-1.2123    7.1702     11.9234
-1.2344    7.1142     11.7486
-1.2206    7.0211     11.5517
-1.21      6.9048     11.334
-1.2136    6.8471     11.1827
-1.2111    6.7326     11.0327
-1.1888    6.5606     10.8761
-1.208     6.3793     10.7031
-1.2072    6.1616     10.5368
-1.2216    6.0461     10.4444
-1.207     5.9297     10.32
-1.2195    5.7843     10.1841
-1.2186    5.5886     10.0249
-1.1936    5.4426     9.9122
-1.1848    5.249      9.7582
-1.1628    5.0247     9.61
-1.1751    4.8302     9.4655
-1.2119    4.6675     9.3051
-1.22      4.5138     9.1935
-1.2169    4.3879     9.0919
-1.2408    4.2862     8.9938
-1.2168    4.1661     8.8613













































































































































































-1.1286    4.2188     8.8418     NOSE
-1.3569    4.1922     8.8115
-1.5509    4.1636     8.7555
-1.7385    4.1247     8.6797
-1.8308    4.001      8.5429
-1.9778    3.8435     8.3796
-2.0346    3.6289     8.1482
-2.0738    3.3745     7.8963
-2.0971    3.1224     7.6189
-2.0357    2.8942     7.3181
-1.9596    2.6509     7.117
-1.7626    2.4098     6.9574
-1.61      2.2419     6.846
-1.3748    2.1286     6.636
-1.2287    2.1216     6.5048
-0.9886    2.101      6.4417
-0.8496    2.1253     6.552
-0.7075    2.2337     6.7349
-0.5294    2.3094     6.9341
-0.3847    2.5037     7.1008
-0.3077    2.6139     7.1765
-0.1961    2.7216     7.3112
-0.1544    2.873      7.4512
-0.1491    3.0484     7.6843
-0.1874    3.2402     7.8454
-0.2358    3.3876     7.9811
-0.2518    3.5595     8.1356
-0.285     3.6633     8.2835
-0.3291    3.7917     8.4489
-0.3549    3.897      8.5689
-0.3796    4.0163     8.6617
-0.5156    4.1357     8.7616
-0.6646    4.1569     8.8224
-0.8087    4.1673     8.8186
-0.9777    4.2        8.8643
-1.1402    4.2232     8.8378




































































































































































-1.0558    2.0425     6.4265     NASP-PR
-1.0559    1.8793     6.2772
-1.0968    1.7619     6.1424
-1.0704    1.6261     5.9947
-1.0447    1.5538     5.7928
-1.0201    1.5232     5.6991
-1.0279    1.5317     5.607
-0.9835    1.5053     5.4653
































































































































































































-1.4777    6.429      10.4988    R-PM/MAX
-1.4975    6.2743     10.3691
-1.5219    6.1112     10.2179
-1.5429    5.8598     10
-1.5919    5.6949     9.8635
-1.6524    5.4487     9.7167
-1.7261    5.2401     9.5813
-1.7981    5.1098     9.4542
-1.932     4.9362     9.2847
-2.0654    4.7639     9.0804
-2.1507    4.6093     8.9632
-2.2516    4.4547     8.8752
-2.2597    4.3502     8.8187
-2.259     4.2011     8.6648
-2.3009    4.0714     8.5408
-2.3374    3.9068     8.3848
-2.4715    3.7233     8.1206
-2.551     3.5713     7.8279
-2.6116    3.4099     7.4006
-2.631     3.3526     7.1342
-2.6864    3.2349     6.8196
-2.7593    3.2241     6.7074
-2.8219    3.1715     6.5452
-2.8597    3.0947     6.2758
-2.8754    3.014      6.1135
-2.8992    3.0388     5.8484
-2.657     3.0732     5.4729













































































































































































-0.8823    6.665      10.6511    L-PM/MAX
-0.8148    6.4843     10.4427
-0.7676    6.3442     10.3023
-0.7322    6.1916     10.1499
-0.7209    6.0195     10.0347
-0.6831    5.8926     9.9338
-0.6402    5.7516     9.8272
-0.5966    5.5608     9.7064
-0.5077    5.3097     9.5439
-0.3867    5.105      9.4378
-0.3503    4.9957     9.338
-0.2533    4.8126     9.1818
-0.1909    4.6222     9.0491
-0.0421    4.4125     8.9311
0.0059     4.1988     8.8447
0.0781     4.0022     8.6565
0.1716     3.8556     8.4472
0.293      3.6458     8.1918
0.3832     3.5365     7.9374
0.4736     3.4384     7.6892
0.5275     3.2834     7.2917
0.6041     3.2519     7.0574
0.6555     3.1491     6.827
0.6818     3.0621     6.6421
0.7388     2.9505     6.4658
0.8395     2.9079     6.2084
0.8608     2.8737     5.9862
0.8414     2.8888     5.7772
0.7244     2.9638     5.5523











































































































































































-3.7774    6.9711     6.3111     ROSTRUM
-3.7706    6.9196     6.5632
-3.7706    6.8292     6.8935
-3.6886    6.7779     7.1295
-3.5998    6.7501     7.254
-3.4537    6.7178     7.4402
-3.3227    6.6487     7.5433
-3.1506    6.5866     7.7495
-3.0788    6.4409     7.9674
-2.9781    6.3485     8.3061
-2.9429    6.3151     8.4806
-2.907     6.2503     8.6527
-2.8853    6.2263     8.8609
-2.8566    6.2175     9.0544
-2.8032    6.2205     9.2756
-2.7576    6.157      9.4523
-2.727     6.1668     9.6051
-2.6925    6.1081     9.7876
-2.5016    6.158      9.8691
-2.3251    6.1861     9.9437
-2.1456    6.1805     9.979
-2.0245    6.1832     10.0474
-1.8757    6.1768     10.1001
-1.7187    6.198      10.1982
-1.5559    6.1533     10.2442
-1.4229    6.1463     10.3102
-1.2653    6.0992     10.4046
-1.058     6.0827     10.4042
-0.9508    6.1012     10.3249
-0.8268    6.1875     10.2264
-0.7121    6.1915     10.1834
-0.5646    6.2078     10.1493
