MNHN       1962.146   Php17stv
0.863      18.2686    12.5898    IN
1.0035     13.6635    14.7733    BR
0.4784     8.0417     12.2264    GL
0.4735     8.1452     11.9501    NA
0.1822     5.0527     9.0637     RH
0.0614     3.2244     6.9291     NS
-0.1129    2.5109     5.7803     PR
-0.9298    2.7941     5.7245     R_PR2
0.0703     7.2775     9.9498     R_PMS
-3.3577    9.3592     8.1009     R_ZMI
-1.8426    8.7971     10.3832    R_ZMU
0.0664     8.5182     11.4277    R_DA
-1.4408    8.4732     12.4342    R_MTI
-0.9386    9.1747     13.4732    R_MTS
-2.7662    9.3842     11.5806    R_FMO
-3.5832    10.2941    11.9752    R_FMT
-3.1381    15.0834    10.6184    R_PO
-4.398     10.6413    9.2271     R_ZTS
0.8305     2.8288     5.8482     L_PR2
0.6329     7.1329     9.7452     L_PMS
3.6789     9.2355     7.5509     L_ZMI
2.5631     8.7112     9.9621     L_ZMU
0.9418     8.5473     11.3294    L_DA
2.4294     8.2867     12.1643    L_MTI
2.4179     9.0116     13.1973    L_MTS
3.7713     9.2184     11.1589    L_FMO
4.4904     10.0448    11.5156    L_FMT
4.3548     14.6944    9.9276     L_PO
5.0754     10.4141    8.5036     L_ZTS
-0.8023    2.1375     5.4288     O1
3.8597     9.8459     12.3968    O2
-4.9678    12.5647    9.8589     O3
1.7167     17.7695    12.8749    O4







































































































































































0.5018     8.0216     12.3225    GLRH
0.5216     8.1083     12.0438
0.4919     8.1373     11.8969
0.4785     8.1863     11.7289
0.5237     8.2297     11.483
0.5162     8.228      11.3517
0.5345     8.1482     11.2112
0.5173     8.0275     10.902
0.4967     7.8589     10.7033
0.407      7.7756     10.4995
0.4249     7.5929     10.3667
0.3832     7.3629     10.2286
0.3884     7.2017     10.1341
0.3445     6.9835     10.0466
0.3037     6.7483     9.9455
0.2855     6.5203     9.8658
0.2815     6.2514     9.7493
0.2765     6.0961     9.6772
0.2991     5.881      9.5999
0.2758     5.7642     9.5587
0.2771     5.5805     9.4467
0.2884     5.3192     9.2969
0.2333     5.1403     9.1691
0.2152     5.0334     9.0363
















































































































































































0.23       5.0082     9.0319     NOSE
-0.0745    5.0294     9.084
-0.3013    5.1637     9.0392
-0.561     5.007      8.8141
-0.7507    4.7334     8.5928
-0.9446    4.5027     8.4648
-0.8976    4.2985     8.1918
-0.8176    4.1029     7.9383
-0.7794    3.9025     7.7092
-0.7379    3.7241     7.5452
-0.6348    3.496      7.3733
-0.4338    3.3004     7.2164
-0.2307    3.2523     7.0568
-0.0335    3.2968     6.982
0.1764     3.2198     6.952
0.3734     3.2827     6.9987
0.506      3.3591     7.0612
0.6486     3.5117     7.1901
0.8746     3.6807     7.3132
1.0467     3.8502     7.4365
1.1077     3.9722     7.5811
1.1321     4.1517     7.7768
1.2154     4.3092     7.9786
1.2334     4.4136     8.1479
1.21       4.491      8.2316
1.2491     4.5464     8.3149
1.1944     4.8144     8.523
1.1429     4.941      8.6242
0.9588     5.1435     8.8354
0.8137     5.1798     8.999
0.5564     5.0849     9.0888
0.3354     5.0183     9.032
0.2304     5.0315     9.0498
















































