AMNH-A     99.1/1668  Phq10bjw
1.952      25.0513    15.0822    IN
1.623      20.597     16.8684    BR
1.073      13.9258    15.5682    GL
1.0898     13.903     15.4535    NA
0.4862     8.6614     8.5582     RH
0.3298     5.9011     4.0298     NS
0.3796     5.9234     3.0355     PR
-0.6047    6.3073     3.0123     R_PR2
0.2784     10.4476    10.0946    R_PMS
-2.8812    14.0255    8.9371     R_ZMI
-1.1694    14.3833    13.0363    R_ZMU
0.6        14.1531    14.4366    R_DA
-1.333     14.7386    15.9       R_MTI
-1.0979    15.5782    16.8188    R_MTS
-2.9037    15.5661    14.5194    R_FMO
-3.2477    16.3916    15.0219    R_FMT
-2.9588    22.3095    12.1008    R_PO
9999       9999       9999       R_ZTS
1.3208     6.1955     3.0193     L_PR2
1.261      10.3699    9.9252     L_PMS
5.0414     13.4342    8.946      L_ZMI
3.2723     14.025     12.9363    L_ZMU
1.6489     14.1191    14.4052    L_DA
3.7575     14.3893    15.8727    L_MTI
3.551      15.2479    16.7797    L_MTS
4.9294     14.877     13.9589    L_FMO
5.6812     15.8405    15.0245    L_FMT
6.3175     21.6851    11.9445    L_PO
6.8947     15.7402    10.7648    L_ZTS
1.0516     5.4511     2.9091     O1
4.1396     16.4162    15.8136    O2
-1.7952    16.6537    15.8683    O3
1.9281     25.213     14.1864    O4







































































































































































1.0883     13.9092    15.5927    GLRH
1.1281     13.8972    15.3461
1.0951     13.8844    15.1816
1.1029     13.8686    14.9747
1.0834     13.8026    14.7754
1.068      13.7377    14.5839
1.0686     13.6688    14.4554
1.0548     13.5948    14.3182
1.0563     13.5179    14.2
1.0738     13.4254    14.076
1.023      13.3446    13.9598
1.0176     13.2641    13.8392
1.0253     13.1716    13.7004
0.9866     13.0394    13.533
0.9688     12.9385    13.3784
0.9872     12.8384    13.232
0.9779     12.717     13.0861
0.9538     12.5689    12.9052
0.9602     12.4271    12.7508
0.9304     12.316     12.6299
0.9223     12.159     12.4636
0.8723     12.0075    12.311
0.8522     11.8655    12.1221
0.8183     11.7       11.9678
0.8019     11.6171    11.8637
0.7858     11.4649    11.714
0.7662     11.3731    11.6119
0.7481     11.2172    11.4541
0.7407     11.0963    11.3137
0.713      10.9795    11.212
0.6945     10.8797    11.1225
0.7053     10.7693    10.9971
0.6907     10.6513    10.9054
0.6735     10.5565    10.7858
0.6689     10.4355    10.6481
0.6651     10.2908    10.516
0.6726     10.1432    10.3759
0.6598     9.9463     10.1648
0.6349     9.8498     10.0445
0.6194     9.758      9.9545
0.5957     9.6358     9.8412
0.5987     9.546      9.7294
0.625      9.4367     9.6386
0.5979     9.3604     9.56
0.5836     9.2698     9.4663
0.5637     9.1701     9.3633
0.5476     9.0788     9.269
0.5446     8.9806     9.1453
0.568      8.8768     8.9733
0.4913     8.8016     8.8738
0.4903     8.7424     8.7592
0.4879     8.6568     8.5445




















































































































































0.4763     8.6941     8.5011     NOSE
0.29       8.6347     8.4942
0.1261     8.5029     8.3874
0.0085     8.564      8.2239
-0.1659    8.6959     8.1734
-0.1796    8.6051     8.0358
-0.212     8.5005     7.8326
-0.2884    8.4199     7.6384
-0.3724    8.3566     7.4922
-0.4025    8.2733     7.3351
-0.5132    8.1501     7.2491
-0.6173    8.1133     7.1115
-0.7009    8.0849     6.9496
-0.8585    7.9668     6.8476
-0.9003    7.8603     6.6625
-0.8272    7.823      6.3995
-0.8085    7.6568     6.1588
-0.7778    7.4857     5.9158
-0.7309    7.3116     5.6161
-0.5883    7.2134     5.3781
-0.5735    7.0663     5.2883
-0.5279    6.7399     5.1287
-0.5599    6.4079     4.9504
-0.4437    6.1832     4.8216
-0.3113    6.064      4.6935
-0.1848    5.9526     4.5162
-0.0442    5.933      4.3829
0.1639     5.9375     4.2694
0.483      5.8643     4.186
0.725      5.8611     4.3254
0.9253     5.9258     4.5129
1.0349     5.9807     4.6453
1.2085     6.1413     4.8193
1.2498     6.3205     4.9493
1.3497     6.5425     5.0628
1.4733     6.7528     5.1459
1.6156     6.9626     5.2926
1.6656     7.1017     5.4613
1.7208     7.301      5.7415
1.7758     7.4536     6.0796
1.8009     7.5859     6.3367
1.7401     7.7099     6.6014
1.717      7.8616     6.7595
1.6094     8.0118     7.02
1.5254     8.1015     7.2436
1.4476     8.1858     7.3952
1.3517     8.326      7.6155
1.2743     8.4241     7.7651
1.2529     8.5298     7.9583
1.1652     8.6082     8.0821
1.0848     8.5282     8.1605
0.8562     8.4635     8.2689
0.7532     8.508      8.409
0.6993     8.7362     8.4752
0.517      8.7565     8.4977

















































































































































0.3715     5.9116     4.0626     NASP-PR
0.3766     5.8539     3.9004
0.3452     5.7906     3.7575
0.356      5.7968     3.5435
0.3663     5.777      3.4219
0.3809     5.8267     3.2099
0.3701     5.9965     2.9476

































































































































































































0.2777     10.3456    9.9757     R-PM/MAX
0.2291     10.2597    9.8552
0.1721     10.1732    9.7496
0.1395     10.0954    9.6647
0.1116     10.0071    9.5844
0.0545     9.9546     9.4932
0.0102     9.8487     9.3839
-0.0308    9.7614     9.2907
-0.0796    9.6836     9.1981
-0.1372    9.6056     9.0995
-0.1948    9.5122     8.9824
-0.2479    9.3791     8.8396
-0.3164    9.2412     8.7117
-0.3658    9.1397     8.5659
-0.4373    8.9803     8.4063
-0.4836    8.8867     8.3033
-0.5696    8.7669     8.1232
-0.62      8.6582     7.9763
-0.6921    8.5612     7.7915
-0.7925    8.4497     7.6667
-0.8712    8.3579     7.5055
-0.9504    8.3106     7.4031
-1.0368    8.2098     7.1894
-1.0896    8.1341     7.0223
-1.103     8.0775     6.8481
-1.1204    8.0019     6.6556
-1.137     7.964      6.4569
-1.1444    7.9253     6.2668
-1.1357    7.8495     6.0857
-1.1469    7.779      5.843
-1.168     7.7091     5.6451
-1.2357    7.6421     5.4399
-1.2971    7.5934     5.1989
-1.3719    7.5845     5.0045
-1.4348    7.5884     4.7903
-1.6054    7.4834     4.5476
-1.6786    7.4644     4.4
-1.7416    7.4671     4.2588
-1.7551    7.4338     4.1147
-1.776     7.5453     3.9536
































































































































































1.2699     10.3422    9.9201     L-PM/MAX
1.2646     10.1925    9.7981
1.254      10.1017    9.6183
1.2533     9.9602     9.4811
1.2358     9.8301     9.325
1.2359     9.7162     9.1949
1.2811     9.6143     9.079
1.2951     9.4997     9.005
1.3532     9.3474     8.8398
1.4022     9.1989     8.6775
1.4385     9.0687     8.5175
1.4737     8.9528     8.389
1.4957     8.8685     8.2466
1.5202     8.738      8.0867
1.5848     8.6159     7.9253
1.6502     8.5002     7.8337
1.7157     8.4125     7.6646
1.775      8.3245     7.5508
1.8027     8.2514     7.4335
1.8389     8.1539     7.2918
1.8736     8.0521     7.1413
1.9012     8.0051     7.0247
1.9368     7.9394     6.8472
1.9647     7.8688     6.6176
1.9663     7.8138     6.4802
1.9912     7.7275     6.2044
1.9822     7.667      6.0321
1.998      7.6034     5.869
2.0146     7.5521     5.7196
2.0471     7.5121     5.5364
2.0568     7.4764     5.3786
2.1156     7.4774     5.219
2.172      7.4584     5.0541
2.2605     7.4267     4.8929
2.3578     7.3777     4.7016
2.4218     7.3229     4.5293
