UCB LHES   104        Phq
13.2411    13.8355    13.2593    IN
10.3735    10.1207    16.2083    BR
6.7702     6.182      13.8454    GL
6.8433     6.2371     13.3348    NA
4.9089     4.317      8.6769     RH
3.9218     3.0815     5.8099     NS
3.7277     2.66       4.5717     PR
3.1497     3.3762     4.7173     R_PR2
5.2315     5.3787     9.5009     R_PMS
4.8222     9.5124     8.5532     R_ZMI
5.6979     8.0033     11.4854    R_ZMU
6.8349     6.7228     12.7197    R_DA
5.7106     7.3996     13.7326    R_MTI
5.6505     7.7372     14.2907    R_MTS
5.1362     9.2237     12.5827    R_FMO
5.2057     10.0907    12.8716    R_FMT
7.9361     13.5678    11.4662    R_PO
4.8614     10.776     9.9649     R_ZTS
4.4977     2.3385     4.6057     L_PR2
5.9934     4.3799     9.2467     L_PMS
10.1807    5.0257     8.2962     L_ZMI
8.7568     5.4862     11.3242    L_ZMU
7.4138     6.3008     12.7154    L_DA
8.4182     5.1618     13.7594    L_MTI
8.7312     5.3        14.2353    L_MTS
10.2536    5.1119     12.4182    L_FMO
11.0887    5.2972     12.5686    L_FMT
13.8841    8.9663     11.1046    L_PO
11.7598    5.373      9.7435     L_ZTS
2.8192     3.7172     4.5431     O1
5.8818     9.4092     14.1872    O2
13.7374    7.0954     10.4019    O3
9.5759     14.6889    12.0312    O4







































































































































































6.8688     6.0667     13.7067    GLRH
6.8273     6.1945     13.4175
6.8781     6.2836     13.1097
6.8966     6.3377     12.7397
6.9313     6.3177     12.463
6.9088     6.2819     12.2643
6.8372     6.2706     12.0586
6.8066     6.2182     11.8695
6.7406     6.1971     11.7171
6.7258     6.1309     11.5485
6.6089     6.0431     11.3033
6.5604     5.9305     11.0889
6.4401     5.8133     10.8662
6.3466     5.7201     10.683
6.2815     5.609      10.538
6.1842     5.5127     10.3719
6.1057     5.3739     10.2168
5.957      5.2532     10.0283
5.8836     5.1106     9.8641
5.7733     5.048      9.7438
5.6575     4.9428     9.5926
5.547      4.8301     9.4404
5.4555     4.7183     9.3344
5.3323     4.6059     9.1725
5.2024     4.461      9.0219
5.1409     4.3472     8.9115
















































5.1409     4.3472     8.9115
5.0594     4.2765     8.7934




























































































































5.0594     4.2765     8.7934     NOSE
4.9663     4.3146     8.7809
4.8317     4.408      8.7115
4.6951     4.485      8.5732
4.4776     4.5472     8.4119
4.3509     4.6566     8.3005
4.212      4.6918     8.1947
4.0772     4.6646     8.0211
4.0047     4.6518     7.9105
3.9049     4.6549     7.7953
3.8119     4.6557     7.6529
3.7525     4.5697     7.4835
3.7204     4.4736     7.2696
3.6792     4.3806     7.1338
3.6287     4.326      6.9872
3.5636     4.194      6.7465
3.4641     4.083      6.5745
3.5195     3.8608     6.4307
3.5733     3.7481     6.3716
3.5557     3.5561     6.2174
3.6234     3.407      6.102
3.6634     3.2438     5.9349
3.7947     3.0974     5.8121
3.8667     2.9851     5.7836
4.0507     2.8538     5.8533
4.1581     2.7005     5.9916
4.2771     2.6119     6.1047
4.4456     2.6485     6.1903
4.603      2.7191     6.2776
4.7175     2.8749     6.429
4.925      2.9265     6.6104
5.0617     2.9259     6.7362
5.1545     2.9571     6.8658
5.2877     3.0399     7.1331
5.3769     3.1059     7.3647
5.4235     3.2104     7.4818
5.4738     3.3144     7.713
5.5007     3.4196     7.9425
5.4548     3.5766     8.0933
5.429      3.7917     8.2269
5.3924     3.8037     8.4143
5.3233     3.8745     8.4904
5.2683     3.974      8.5806
5.1843     4.0819     8.6115
5.0853     4.142      8.7025
5.009      4.2184     8.6564


























































































































































3.9344     3.0637     5.8355     NASP-PR
3.7864     2.9807     5.6959
3.6988     2.8602     5.4766
3.6683     2.7348     5.3031
3.6582     2.6783     5.1049
3.6338     2.6013     4.9246
3.6131     2.7097     4.639
3.709      2.6121     4.5312
































































































































































































5.026      5.2477     9.3057     R-PM/MAX
4.8593     5.1317     9.1392
4.758      5.0925     9.0196
4.7033     5.0469     8.9391
4.5684     5.0002     8.7574
4.4234     4.9019     8.5819
4.2243     4.8793     8.3283
4.0523     4.8315     8.1154
3.9276     4.8508     7.9117
3.7784     4.8132     7.6789
3.6727     4.7357     7.4486
3.4988     4.7414     7.1623
3.323      4.7313     6.9543
3.2285     4.7002     6.7613
3.1255     4.6662     6.5524
3.0387     4.6387     6.3141
2.9776     4.61       6.1236
2.9442     4.5899     5.9043
2.8448     4.5983     5.6167
2.8864     4.6507     5.3645
3.0052     4.5494     5.1014
3.1544     4.4736     4.9881


















































































































































































5.9868     4.3307     9.209      L-PM/MAX
5.9708     4.1993     9.098
5.9251     4.0863     8.9366
5.879      3.9809     8.7976
5.7725     3.8484     8.651
5.7326     3.7386     8.5194
5.6915     3.6379     8.3584
5.6887     3.5638     8.2385
5.6953     3.4708     8.0993
5.7036     3.3372     7.8943
5.695      3.2571     7.75
5.6839     3.188      7.5848
5.6854     3.0733     7.3489
5.6882     3.0058     7.2038
5.6861     2.9269     7.0836
5.6951     2.8574     7.01
5.6932     2.7311     6.8475
5.656      2.6407     6.6602
5.5758     2.6035     6.4866
5.4933     2.5866     6.326
5.4795     2.5365     6.1583
5.514      2.4634     5.9774
5.5275     2.394      5.8653
5.5272     2.3383     5.7544
5.5602     2.2646     5.5666
