LHES       102        Phq2
-6.0044    -23.7904   13.3819    IN
-10.3174   -25.4094   16.1071    BR
-15.4779   -27.7842   14.4769    GL
-15.3562   -27.8753   14.0974    NA
-18.6622   -29.538    8.4965     RH
-19.7199   -30.1771   4.9419     NS
-19.6603   -30.256    3.7786     PR
-19.9544   -29.4543   3.9143     R_PR2
-17.7472   -28.5933   9.4004     R_PMS
-15.6202   -24.7504   9.1314     R_ZMI
-15.7396   -25.8845   11.9111    R_ZMU
-15.2182   -27.5745   13.2194    R_DA
-15.7587   -26.0679   14.4335    R_MTI
-15.3397   -26.0802   15.156     R_MTS
-15.555    -24.6591   13.1836    R_FMO
-15.2587   -23.7416   13.5372    R_FMT
-10.8687   -21.9536   11.5067    R_PO
-15.1029   -23.1181   10.1802    R_ZTS
-19.2054   -30.9854   4.0253     L_PR2
-17.2482   -29.3392   9.5837     L_PMS
-13.1471   -30.536    9.5116     L_ZMI
-14.3413   -29.3814   12.164     L_ZMU
-15.0481   -27.9789   13.2968    L_DA
-14.0354   -29.6176   14.6551    L_MTI
-13.7813   -29.321    15.3043    L_MTS
-13.0341   -30.1949   13.6041    L_FMO
-12.2358   -30.5586   13.8111    L_FMT
-7.8532    -28.8505   12.0802    L_PO
-11.3957   -31.2839   10.769     L_ZTS
-19.4459   -30.9726   4.926      O1
-14.3462   -24.8854   14.8365    O2
-9.6611    -30.9272   11.1997    O3
-6.0253    -24.8671   13.3914    O4







































































































































































-15.4908   -27.7942   14.5301    GLRH
-15.4522   -27.8266   14.3248
-15.403    -27.8214   14.1228
-15.3703   -27.815    13.9987
-15.3163   -27.828    13.8556
-15.2966   -27.8193   13.7016
-15.285    -27.814    13.5144
-15.2813   -27.8413   13.3605
-15.2838   -27.8569   13.2391
-15.3085   -27.8699   13.0204
-15.3465   -27.8612   12.8774
-15.364    -28.0059   12.7007
-15.4602   -27.9859   12.5075
-15.51     -28.0134   12.3815
-15.5574   -28.0411   12.2971
-15.6213   -28.0664   12.2397
-15.6801   -28.0993   12.076
-15.7936   -28.1477   11.8883
-15.9006   -28.2411   11.6611
-16.046    -28.3125   11.486
-16.137    -28.3418   11.3515
-16.242    -28.3799   11.2143
-16.3746   -28.4236   11.0283
-16.4868   -28.5139   10.8476
-16.6238   -28.549    10.699
-16.76     -28.6358   10.5442
-16.856    -28.7595   10.4266
-16.974    -28.7633   10.3242
-17.229    -28.8667   10.0419
-17.387    -28.9409   9.8857
-17.5442   -29.0212   9.7233
-17.6288   -29.0786   9.6256
-17.7564   -29.1512   9.4972
-17.8761   -29.1699   9.354
-17.999    -29.2513   9.2558
-18.1312   -29.3203   9.1333
-18.3011   -29.4076   8.9771
-18.4341   -29.4553   8.8446
-18.5213   -29.4785   8.7373
-18.5766   -29.5298   8.6696
-18.6819   -29.5603   8.4878































































































































































-18.7037   -29.5015   8.4892     NOSE
-18.7887   -29.2994   8.3228
-18.879    -29.1307   8.1729
-18.8413   -28.9617   8.0908
-18.913    -28.7448   7.9602
-19.0525   -28.6704   7.6909
-19.2294   -28.5514   7.4671
-19.3292   -28.5661   7.2409
-19.4065   -28.5851   7.0541
-19.4723   -28.6531   6.8171
-19.5392   -28.7063   6.5411
-19.5483   -28.7749   6.3421
-19.5725   -28.8428   6.1537
-19.5786   -28.981    5.9174
-19.676    -29.1318   5.7188
-19.7692   -29.3004   5.5947
-19.8472   -29.4971   5.4893
-19.8675   -29.7152   5.3259
-19.8111   -29.8789   5.1541
-19.7855   -30.0593   5.0068
-19.7583   -30.1228   4.9267
-19.6623   -30.267    5.0192
-19.5626   -30.4808   5.1644
-19.4671   -30.6179   5.3648
-19.2498   -30.7194   5.6596
-19.0943   -30.6924   5.7907
-18.9338   -30.7828   5.9701
-18.8528   -30.8279   6.135
-18.7582   -30.8644   6.4023
-18.7457   -30.9066   6.5769
-18.6377   -30.8714   6.901
-18.6072   -30.7929   7.0304
-18.5612   -30.6919   7.2143
-18.4643   -30.5778   7.4376
-18.3742   -30.5578   7.7141
-18.3006   -30.3859   7.9139
-18.26     -30.264    8.0412
-18.2998   -30.1113   8.1673
-18.3739   -29.9791   8.1972
-18.4846   -29.8082   8.3685
-18.5591   -29.6254   8.5398































































































































































-19.7653   -30.1881   4.9129     NASP-PR
-19.7858   -30.2204   4.7678
-19.7926   -30.2142   4.6017
-19.7735   -30.2272   4.4306
-19.7348   -30.2352   4.312
-19.7533   -30.2425   4.1159
-19.7373   -30.2582   4.0343
-19.7251   -30.2407   3.936
-19.6514   -30.2584   3.7587































































































































































































-17.9039   -28.5782   9.1755     R-PM/MAX
-18.1294   -28.5862   9.0709
-18.2941   -28.6212   8.8903
-18.4466   -28.6513   8.7071
-18.6425   -28.6663   8.5179
-18.7529   -28.5946   8.2475
-18.8912   -28.6292   8.0431
-19.0716   -28.5257   7.7826
-19.15     -28.4876   7.5711
-19.2271   -28.4624   7.3831
-19.306    -28.436    7.0717
-19.3888   -28.4418   6.7977
-19.4534   -28.417    6.5972
-19.4863   -28.3368   6.3073
-19.5135   -28.2622   6.0528
-19.5404   -28.2479   5.7867
-19.562    -28.2381   5.6207
-19.579    -28.2078   5.348
-19.5429   -28.1326   5.0943
-19.4702   -28.2649   4.7723
-19.3073   -28.323    4.5024



















































































































































































-17.2438   -29.3575   9.5205     L-PM/MAX
-17.4294   -29.4338   9.3972
-17.5632   -29.5761   9.2347
-17.5962   -29.6619   9.1076
-17.7131   -29.7266   9.0007
-17.7431   -29.856    8.8576
-17.8113   -29.9744   8.6836
-17.8647   -30.0224   8.5806
-17.9212   -30.0743   8.4901
-17.9858   -30.1614   8.3386
-18.0605   -30.2852   8.2045
-18.1286   -30.3431   8.111
-18.1568   -30.5677   7.9552
-18.1878   -30.6203   7.7345
-18.2146   -30.7373   7.5765
-18.2695   -30.8281   7.2873
-18.2656   -30.8645   7.0997
-18.2881   -30.9676   6.9317
-18.3052   -31.01     6.7512
-18.2829   -31.1061   6.4803
-18.2826   -31.1437   6.2932
-18.2641   -31.1989   6.0972
-18.293    -31.2761   5.9229
-18.234    -31.4049   5.7176
-18.2243   -31.4803   5.5108
-18.1966   -31.4449   5.3705
-18.068    -31.457    5.1489
-18.0915   -31.3854   4.9904
-18.0913   -31.3029   4.8628











































































































































































-16.3693   -26.241    6.1452     ROSTRUM
-16.6006   -26.3135   6.3688
-16.672    -26.4246   6.7249
-16.7379   -26.6431   6.9034
-16.7624   -26.8112   7.0713
-16.7646   -26.934    7.1945
-16.7559   -27.0514   7.4121
-16.8387   -27.0984   7.678
-16.9962   -27.077    7.9929
-17.1742   -27.1141   8.1923
-17.3405   -27.2046   8.3949
-17.3949   -27.1904   8.5795
-17.4758   -27.1869   8.7583
-17.6753   -27.1844   8.8816
-17.8126   -27.1932   9.0278
-17.8692   -27.2382   9.2932
-17.9417   -27.5073   9.412
-17.9182   -27.708    9.4464
-17.8083   -27.9691   9.507
-17.7173   -28.137    9.5044
-17.6167   -28.3871   9.5149
-17.5616   -28.5757   9.6224
-17.5229   -28.8691   9.8022
-17.4958   -28.9731   9.7974
-17.3808   -29.1336   9.7617
-17.2283   -29.2532   9.6999
-17.1781   -29.3403   9.5733
-17.0438   -29.5205   9.6467
-17.0009   -29.6674   9.6025
-16.9876   -29.8624   9.6333
-16.91     -29.9985   9.6967
-16.8031   -30.1691   9.6524
-16.6797   -30.2916   9.6681
-16.5969   -30.441    9.5813
-16.2992   -30.4684   9.3993
-16.1214   -30.3166   9.2087
-16.0154   -30.2194   8.9311
-15.8583   -30.1758   8.7495
-15.6837   -30.143    8.5507
-15.4568   -30.0547   8.3388
-15.3041   -29.9729   7.9823
-15.1826   -29.9281   7.7623
-15.0511   -29.9805   7.6024
-14.9359   -30.0955   7.4542
-14.9022   -30.2476   7.3087
-14.832    -30.4027   7.1809
-14.749    -30.4949   7.0437
-14.6534   -30.5245   6.831
-14.5593   -30.5174   6.6203
-14.512    -30.4584   6.4677






















































































































































-15.2494   -23.7089   13.5419    SUPORB
-15.3021   -23.8044   13.7715
-15.3153   -23.947    14.0229
-15.3179   -24.0044   14.1755
-15.3715   -24.2108   14.4197
-15.424    -24.374    14.5451
-15.489    -24.6112   14.7167
-15.5778   -24.8163   14.8001
-15.6003   -25.0949   14.8923
-15.5999   -25.2445   14.9475
-15.4978   -25.65     15.0657
-15.416    -25.8791   15.1342
-15.3695   -26.0418   15.1582
-15.2989   -26.2396   15.1933
-15.2241   -26.368    15.2062
-15.1105   -26.6399   15.2444
-14.9716   -26.843    15.261
-15.01     -27.1318   15.2559
-15.0649   -27.2976   15.224
-15.0823   -27.6181   15.1856
-14.9086   -27.7791   15.2476
-14.6755   -27.9003   15.2972
-14.5327   -28.0637   15.3151
-14.4489   -28.2381   15.2869
-14.4358   -28.448    15.2726
-14.3663   -28.6264   15.207
-14.2559   -28.7421   15.2073
-14.0139   -28.9132   15.2361
-13.8626   -28.9999   15.28
-13.7373   -29.2139   15.3061
-13.7193   -29.4542   15.2883
-13.4643   -29.7142   15.2621
-13.2125   -29.8334   15.1797
-13.0122   -29.9656   15.0851
-12.7965   -30.0857   14.9754
-12.6052   -30.3432   14.595
-12.4467   -30.4069   14.3732
-12.3665   -30.4567   14.2576
-12.2195   -30.4576   14.1368
-12.2216   -30.5181   13.9706
-12.2293   -30.5624   13.7996































































































































































-15.7217   -26.292    11.9201    RORBIT
-15.7219   -26.0757   11.9136
-15.729    -25.8658   11.9173
-15.7254   -25.625    11.9419
-15.6333   -25.3882   12.0746
-15.649    -25.2257   12.2011
-15.6912   -24.9684   12.3917
