FSM        47993      Phq7stv
-1.7637    21.7568    14.1111    IN
-1.1137    16.4075    16.4015    BR
-0.185     10.1602    15.4629    GL
-0.1094    10.1694    15.1913    NA
0.4326     5.1446     10.0386    RH
0.7199     2.8536     6.9827     NS
0.9291     2.0098     5.0032     PR
-0.2143    2.0073     4.8115     R_PR2
-0.4888    6.7226     10.8604    R_PMS
-4.2082    9.3784     9.1805     R_ZMI
-2.3444    10.135     13.0048    R_ZMU
-0.75      10.4713    14.3885    R_DA
-2.4887    10.2562    15.3465    R_MTI
-2.3562    11.0603    16.2352    R_MTS
-3.9044    10.7139    14.3005    R_FMO
-4.7413    11.6172    14.7294    R_FMT
-5.6115    16.8907    11.9856    R_PO
-6.3897    11.351     11.1131    R_ZTS
1.9875     2.4671     4.8844     L_PR2
0.904      6.8685     10.7437    L_PMS
3.9193     10.5007    9.2614     L_ZMI
1.9138     10.6894    12.9278    L_ZMU
0.2465     10.6156    14.3178    L_DA
1.775      10.9409    15.3078    L_MTI
1.7184     11.7784    16.177     L_MTS
3.117      11.7383    14.1604    L_FMO
3.9834     12.5454    14.5219    L_FMT
3.2036     18.1843    11.5468    L_PO
5.2467     13.051     10.7502    L_ZTS
-0.6867    1.931      4.7485     O1
2.8852     12.7187    15.5922    O2
-6.9131    13.2123    11.3663    O3
0.2888     21.3684    13.0563    O4







































































































































































-0.2152    10.1693    15.5399    GLRH
-0.2194    10.1654    15.3021
-0.2223    10.1522    15.08
-0.233     10.1727    14.9095
-0.2451    10.1889    14.7525
-0.2157    10.1999    14.5555
-0.2557    10.2131    14.4272
-0.2759    10.1388    14.2329
-0.2701    10.0326    14.0256
-0.278     9.9317     13.8661
