BPI        M3147      Phr1stv
4.6529     19.2106    7.5039     IN
9999       9999       9999       BR
9999       9999       9999       GL
9999       9999       9999       NA
9999       9999       9999       RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
9999       9999       9999       R_PMS
10.8082    28.6118    5.802      R_ZMI
9.3644     28.3726    8.6663     R_ZMU
9999       9999       9999       R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
9999       9999       9999       L_PMS
3.5372     30.0668    6.4323     L_ZMI
5.7145     29.3738    8.7257     L_ZMU
9999       9999       9999       L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
3.9867     28.8115    9.9739     L_FMO
3.376      28.2754    9.9587     L_FMT
1.6445     23.7445    6.9396     L_PO
9999       9999       9999       L_ZTS
9.3272     33.2218    4.0468     O1
8.1004     24.372     11.2935    O2
0.9106     25.9195    8.0813     O3
5.4123     20.7119    7.2166     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX

































































































































































































