UWMA       SWP29      Phr2stv
9999       9999       9999       IN
9999       9999       9999       BR
9999       9999       9999       GL
9999       9999       9999       NA
28.7915    -3.9859    7.6431     RH
30.5812    -3.2295    5.0454     NS
30.9904    -3.1379    4.2099     PR
31.2195    -3.9997    4.5371     R_PR2
28.7043    -4.8328    7.6949     R_PMS
9999       9999       9999       R_ZMI
9999       9999       9999       R_ZMU
9999       9999       9999       R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
23.8504    -11.0727   7.0525     R_PO
9999       9999       9999       R_ZTS
30.3937    -2.5642    4.2564     L_PR2
9999       9999       9999       L_PMS
25.1996    -2.547     4.9876     L_ZMI
25.7825    -3.6666    7.4823     L_ZMU
25.854     -5.02      8.9011     L_DA
24.3096    -4.0544    10.1298    L_MTI
9999       9999       9999       L_MTS
23.7167    -2.9479    8.6756     L_FMO
22.9105    -2.9195    8.6835     L_FMT
20.069     -4.9376    5.809      L_PO
22.8388    -2.4799    6.0958     L_ZTS
31.41      -3.4079    4.3902     O1
21.3781    -3.29      8.2931     O2
24.3749    -11.2643   6.5392     O3
18.1761    -6.5621    6.5915     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































30.5818    -3.2437    5.0327     NASP-PR
30.6969    -3.204     4.9526
30.8381    -3.1113    4.7917
30.8952    -3.0869    4.6109
30.9313    -3.1057    4.4604
30.9752    -3.1306    4.2814
30.9866    -3.1642    4.076

































































































































































































28.5979    -4.8235    7.7444     R-PM/MAX
28.8134    -4.7741    7.629
28.9412    -4.7447    7.5477
29.0478    -4.7176    7.3927
29.7496    -4.7762    6.7368
29.8889    -4.7376    6.5861
30.1101    -4.718     6.373
30.159     -4.7826    6.2011
30.2582    -4.7784    6.054
30.3302    -4.7598    5.9747
30.4018    -4.7443    5.8512
30.5241    -4.7667    5.5827
30.6253    -4.7738    5.4078
30.738     -4.7635    5.2007
30.766     -4.7869    5.0406
30.8304    -4.7346    4.8923
30.7821    -4.7165    4.7034






























