TMP        SK 560     Phr3stv
9999       9999       9999       IN
9999       9999       9999       BR
9999       9999       9999       GL
9999       9999       9999       NA
16.2438    12.5536    9.7659     RH
15.8841    7.7565     8.9373     NS
15.8049    7.0772     8.7354     PR
14.8472    7.248      8.5318     R_PR2
15.634     13.6287    9.5175     R_PMS
9999       9999       9999       R_ZMI
9999       9999       9999       R_ZMU
9999       9999       9999       R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
16.8366    6.8474     8.5353     L_PR2
16.9948    13.0514    9.6294     L_PMS
9999       9999       9999       L_ZMI
9999       9999       9999       L_ZMU
9999       9999       9999       L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
14.6108    7.8271     9.0111     O1
13.7414    17.2173    8.9911     O2
20.3476    20.1937    9.502      O3
16.8593    23.935     8.9304     O4







































































































































































9999       9999       9999       GLRH







































































































































































































16.249     12.5346    9.7936     NOSE
15.8919    12.506     9.7143
15.7609    12.359     9.6905
15.6004    12.1649    9.5442
15.4928    11.9386    9.4844
15.3452    11.7284    9.4094
15.2491    11.5185    9.3441
15.1252    11.2867    9.2972
15.045     11.0354    9.2568
14.9174    10.8014    9.1664
14.8717    10.5565    9.1548
14.8451    10.262     9.1911
14.785     10.138     9.2347
14.7902    9.9206     9.3082
14.7798    9.6131     9.2702
14.7851    9.2992     9.233
14.8019    8.9393     9.1936
14.887     8.6558     9.1811
14.9843    8.4069     9.1773
15.1163    8.2742     9.1902
15.2145    8.1374     9.1471
15.3411    8.0703     9.1091
15.4597    7.9418     9.0445
15.5942    7.868      8.9685
15.7378    7.7955     8.9288
15.8631    7.7664     8.9298
16.0667    7.8247     8.9628
16.271     7.8441     9.0384
16.4752    7.9773     9.1142
16.6051    8.1241     9.1316
16.7974    8.2497     9.1865
16.9737    8.3489     9.2442
17.0293    8.6033     9.2647
17.1206    8.7973     9.2956
17.1957    8.9827     9.3172
17.3036    9.2934     9.4119
17.3087    9.5281     9.4531
17.3079    9.7453     9.49
17.3072    10.0223    9.5381
17.2901    10.2258    9.5209
17.2193    10.4178    9.5322
17.2207    10.5573    9.5319
17.154     10.7984    9.5102
17.1444    11.0631    9.6094
17.0591    11.2928    9.5891
17.0159    11.3869    9.5734
16.9449    11.5232    9.6395
16.8848    11.7812    9.6682
16.7688    11.9569    9.6327
16.7117    12.0941    9.7028
16.6277    12.2878    9.7965
16.5294    12.383     9.7789
16.4677    12.4715    9.7889
16.2432    12.5341    9.7772



























































































