TMP        SK2 25     Phr6stv
14.608     22.3931    7.1232     IN
14.9251    19.1385    10.9034    BR
15.2544    12.9351    10.9483    GL
15.2458    12.9124    10.6425    NA
15.0754    9.6107     8.6675     RH
14.8905    7.4837     7.1938     NS
14.9286    6.8866     6.5296     PR
14.0096    7.1385     6.4728     R_PR2
14.5393    11.2633    8.7606     R_PMS
9999       9999       9999       R_ZMI
13.4619    12.5935    8.9068     R_ZMU
9999       9999       9999       R_DA
13.6654    13.4037    10.8394    R_MTI
13.8707    13.8191    11.3423    R_MTS
12.523     13.4799    10.0965    R_FMO
9999       9999       9999       R_FMT
11.8892    19.331     7.2076     R_PO
9999       9999       9999       R_ZTS
15.7253    7.1422     6.5624     L_PR2
15.7603    10.9061    8.7443     L_PMS
17.3775    13.0293    5.9642     L_ZMI
16.7251    13.3638    8.6076     L_ZMU
9999       9999       9999       L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
17.9616    19.1962    6.3597     L_PO
9999       9999       9999       L_ZTS
15.5937    7.3034     7.0516     O1
12.1729    14.0503    10.4948    O2
19.3003    17.3078    5.75       O3
15.5677    22.0839    8.0277     O4







































































































































































9999       9999       9999       GLRH







































































































































































































15.0836    9.5497     8.6078     NOSE
14.65      9.5591     8.6933
14.3455    9.5092     8.7651
14.0267    9.2943     8.7055
13.9325    9.1116     8.5827
13.911     8.96       8.4925
13.9434    8.7735     8.3432
13.9247    8.6494     8.1865
13.9613    8.4717     7.949
14.02      8.2336     7.8156
14.0863    8.036      7.6647
14.1832    7.8818     7.5661
14.2551    7.6743     7.4561
14.3587    7.4564     7.3583
14.5342    7.4406     7.2753
14.7046    7.4578     7.1703
14.905     7.5199     7.1576
15.0822    7.6381     7.2353
15.3746    7.6588     7.3472
15.5421    7.7395     7.4243
15.6158    8.0112     7.5233
15.6656    8.2062     7.5808
15.7695    8.421      7.673
15.8403    8.6386     7.7639
15.9783    8.8432     7.8848
15.9672    8.9802     8.0316
16.0103    9.1221     8.1975
15.9665    9.3307     8.322
15.8542    9.5706     8.4352
15.6217    9.646      8.4755
15.3586    9.6566     8.5447
15.0315    9.6084     8.6391








































































































































































14.8617    7.4763     7.1726     NASP-PR
14.8811    7.2584     7.0939
14.9002    7.0869     6.9932
14.9208    6.9567     6.8769
14.941     6.9067     6.7504
14.9877    6.8592     6.5724
14.9997    6.8572     6.411

































































































































































































14.4834    11.1585    8.7056     R-PM/MAX
14.2441    10.5949    8.7765
14.1361    10.2692    8.8212
14.002     9.9969     8.8111
13.8201    9.7199     8.7711
13.6695    9.4607     8.6218
13.6122    9.2406     8.4542
13.5492    9.0189     8.2599
13.4927    8.829      8.0094
13.4209    8.6967     7.7574
13.3379    8.4889     7.5595
13.2919    8.3196     7.354
13.2196    8.1379     7.1674
13.1742    8.0001     7.0301
13.1198    7.9206     6.842
13.1282    7.7525     6.6981
13.2018    7.6693     6.6327
13.2465    7.5647     6.5073
13.4079    7.5047     6.4032





















































































































































































15.7863    11.0495    8.7069     L-PM/MAX
15.8704    10.7207    8.6961
15.9516    10.4547    8.5664
16.0581    10.2835    8.4468
16.1425    10.1091    8.3407
16.1609    9.8714     8.2824
16.1955    9.5949     8.1508
16.21      9.3999     8.0395
16.2676    9.1883     7.798
16.298     8.9968     7.5439
16.3325    8.827      7.3251
16.3956    8.6856     7.112
16.4823    8.5326     6.883
16.4964    8.367      6.7462
16.4824    8.287      6.5946
16.4834    8.2214     6.466
16.4628    8.1635     6.3573
16.4571    8.1962     6.2509
16.3456    8.1146     6.0497





















































































































































































12.4557    10.6926    5.7558     ROSTRUM
12.3628    10.7062    6.1296
12.4639    10.7727    6.395
12.6332    10.8245    6.5738
12.7928    10.8368    6.675
12.8945    10.8584    6.9012
12.9867    10.8105    7.1495
13.1084    10.7985    7.5184
13.1183    10.8977    7.8311
13.2717    10.8988    8.3472
13.44      10.876     8.6223
13.54      10.8649    8.6902
13.7068    10.902     8.7335
13.9781    10.8678    8.7292
14.2709    10.8764    8.7407
14.5002    10.9007    8.7523
14.7722    10.9224    8.7875
15.0378    10.9681    8.7324
15.3198    10.9365    8.6069
15.5679    11.0062    8.6846
15.8592    11.0311    8.7214
16.1609    11.0784    8.4637
16.2706    11.0412    8.3733
16.4771    11.0734    8.1112
16.5451    11.0678    7.896
16.5434    10.9939    7.6564
16.5121    11.015     7.4319
16.4245    10.9735    7.1652
16.404     11.0187    6.8535
16.4268    11.0134    6.548
16.5033    11.0021    6.2934
16.5519    11.0029    6.1771
16.6233    10.9881    5.9916
16.6301    10.9633    5.8737
16.6456    10.9264    5.6106
16.6353    10.8894    5.4243
16.6935    10.8721    5.2951



































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS





































