UWMA       ZA 726     Phu101sf
18.3635    21.5716    12.8008    IN
14.9132    17.696     15.3769    BR
11.0305    13.1887    14.2866    GL
11.0387    13.1831    14.2893    NA
8.0489     8.9376     8.9312     RH
6.3248     6.7245     5.5725     NS
6.0944     6.3695     4.4142     PR
5.4577     7.1466     4.5223     R_PR2
9.1247     10.8083    10.0348    R_PMS
8.1139     15.0665    7.8779     R_ZMI
9.569      14.2544    11.5774    R_ZMU
10.7771    13.3637    12.7882    R_DA
9.7451     14.6619    14.422     R_MTI
10.7104    15.4067    15.2068    R_MTS
8.9417     16.2954    12.8933    R_FMO
8.8058     17.1551    12.9385    R_FMT
12.3558    21.2744    9.9457     R_PO
8.0964     17.6654    9.4335     R_ZTS
6.981      5.9434     4.4503     L_PR2
9.7        10.3761    10.2317    L_PMS
14.156     10.0994    8.3191     L_ZMI
12.7931    11.7214    11.7738    L_ZMU
11.4025    12.7402    12.8499    L_DA
12.8975    12.135     14.5839    L_MTI
13.4654    13.0051    15.4019    L_MTS
14.5232    11.5757    13.2981    L_FMO
15.5734    11.5954    13.7666    L_FMT
19.2959    15.7791    10.5765    L_PO
16.4739    10.7       9.9925     L_ZTS
6.3505     5.7301     4.6019     O1
9.7558     16.6921    14.3415    O2
18.4808    12.1366    9.9744     O3
18.7262    20.8326    12.3914    O4







































































































































































11.0549    13.1842    14.3017    GLRH
11.0252    13.1252    14.101
10.9772    13.0974    13.7879
10.9737    13.0417    13.6084
10.9355    12.9814    13.3947
10.8974    12.8547    13.1292
10.7998    12.7404    12.9103
10.7889    12.7126    12.8785
10.7523    12.5454    12.6549
10.6622    12.3642    12.4374
10.5827    12.2344    12.2426
10.4842    12.124     12.0819
10.4043    11.9912    11.8947
10.2728    11.8129    11.6713
10.17      11.6244    11.4784
10.0528    11.4803    11.2908
9.9655     11.3415    11.1729
9.881      11.1917    11.0358
9.7226     10.9999    10.811
9.6011     10.8252    10.6394
9.5129     10.6501    10.5198
9.4249     10.5102    10.3738
9.1775     10.2929    10.1639
8.9575     10.1133    9.991
8.8252     9.8732     9.8374
8.6539     9.7055     9.6314
8.5207     9.5293     9.4488
8.4184     9.3635     9.2666
8.2811     9.1993     9.1344
8.1853     9.0509     9.0353
8.103      8.9776     8.9791
8.061      8.9177     8.8909








































































































































































8.0778     8.8918     8.9296     NOSE
7.8985     9.0683     8.8915
7.6775     9.1556     8.7976
7.525      9.3019     8.5919
7.2384     9.2628     8.4189
7.0989     9.2252     8.2594
6.9705     9.1147     8.0738
6.8063     9.0645     7.8807
6.7043     9.019      7.8184
6.3621     8.8103     7.5333
6.2555     8.6589     7.3674
6.1955     8.5155     7.1827
6.0643     8.3361     6.9853
5.9487     8.1275     6.7529
5.8879     7.9706     6.5725
5.8146     7.8064     6.4274
5.8353     7.6547     6.3724
5.9047     7.5175     6.2763
5.8934     7.3498     6.1678
5.9173     7.2019     6.0723
5.9157     7.0889     5.9158
6.0012     6.9752     5.7466
6.088      6.8787     5.5903
6.3114     6.7068     5.5557
6.3843     6.5752     5.5493
6.5522     6.527      5.6194
6.6956     6.2525     5.8609
6.913      6.1798     6.0707
7.0924     6.2137     6.1633
7.298      6.2905     6.2799
7.4515     6.3868     6.4115
7.6019     6.5143     6.5445
7.7699     6.5543     6.6649
7.8721     6.6543     6.8254
8.0325     6.8174     7.0248
8.1213     6.9293     7.1371
8.2193     7.0494     7.3002
8.419      7.1651     7.5991
8.5571     7.3527     7.751
8.5903     7.5929     7.9468
8.4974     7.8261     8.1803
8.5962     7.9325     8.4355
8.6004     8.2818     8.6349
8.5751     8.4337     8.645
8.4334     8.5198     8.7832
8.2938     8.6963     8.8312
8.2596     8.7501     8.8983
8.0593     8.9415     8.9303
























































































































































6.3506     6.7134     5.5545     NASP-PR
6.2197     6.6411     5.4829
6.183      6.4608     5.3444
6.0946     6.3521     5.1028
6.099      6.3301     4.9147
6.09       6.339      4.7297
6.0792     6.3463     4.6419
6.0899     6.328      4.5187
































































































































































































9.098      10.8057    10.0037    R-PM/MAX
9.0011     10.671     9.9024
8.8841     10.5645    9.8237
8.7974     10.4807    9.7276
8.6843     10.3657    9.6304
8.4965     10.305     9.4905
8.3067     10.2284    9.3241
8.167      10.1639    9.1884
7.9901     10.0943    9.0142
7.8022     10.004     8.8701
7.6204     9.9037     8.7524
7.4241     9.8361     8.5864
7.1258     9.6794     8.3604
6.9386     9.5789     8.2259
6.7686     9.5095     8.0741
6.6069     9.4234     7.9653
6.4559     9.3389     7.7505
6.3461     9.2884     7.4458
6.1922     9.1874     7.116
6.1351     9.1709     6.8792
6.0028     9.1164     6.6829
5.8812     9.0616     6.447
5.7331     8.9882     6.1575
5.5173     9.0614     5.9036
5.4278     8.9229     5.6811
5.3101     8.8551     5.2828
5.4023     8.6938     4.9891













































































































































































9.7324     10.3877    10.2616    L-PM/MAX
9.5662     10.1736    10.0222
9.4635     9.9614     9.8654
9.373      9.6953     9.6762
9.3081     9.4074     9.4412
9.2071     9.0503     9.1617
9.1817     8.786      8.935
9.0707     8.4579     8.6979
9.0235     8.256      8.5283
8.9683     8.0833     8.4327
8.9835     7.9555     8.3277
8.9864     7.757      8.1477
8.9512     7.6101     8.0091
8.9335     7.4362     7.8185
8.8905     7.2513     7.5886
8.9088     7.1661     7.3166
