UWMA       ZA 1442    Phu105stv
19.3323    10.5992    11.5134    IN
22.8888    11.5173    15.1643    BR
29.1683    12.3015    14.3618    GL
29.1867    12.2884    14.1014    NA
32.4113    12.4521    9.8212     RH
34.501     12.8233    7.3366     NS
35.087     12.9821    6.6257     PR
34.9766    12.0437    6.6566     R_PR2
31.6175    11.8893    10.2853    R_PMS
29.4454    8.83       8.969      R_ZMI
29.2479    10.4429    11.6683    R_ZMU
28.9805    11.8835    12.8846    R_DA
29.1722    10.6522    14.0871    R_MTI
28.4892    10.6651    15.0294    R_MTS
28.6849    9.1113     12.9355    R_FMO
28.1919    8.5147     12.9475    R_FMT
23.7826    7.2701     10.3777    R_PO
28.059     7.5586     9.8645     R_ZTS
34.5716    13.8413    6.8551     L_PR2
31.1981    12.763     10.4612    L_PMS
28.4083    15.4475    8.8194     L_ZMI
28.6063    13.982     11.5667    L_ZMU
28.8329    12.6008    12.9257    L_DA
28.5544    14.0718    13.9745    L_MTI
27.7272    13.8045    14.9565    L_MTS
27.6461    15.3093    12.7333    L_FMO
26.8973    15.5796    12.599     L_FMT
22.3035    15.1845    10.2117    L_PO
26.5968    16.1652    9.6191     L_ZTS
35.2616    13.5781    6.4934     O1
27.8411    9.124      14.0382    O2
25.2136    16.5019    9.6653     O3
19.4427    12.1944    11.6579    O4







































































































































































29.1724    12.3025    14.4047    GLRH
29.1924    12.291     14.222
29.1702    12.3003    14.1268
29.1872    12.3101    13.893
29.1835    12.3074    13.714
29.191     12.2851    13.4736
29.23      12.2437    13.2465
29.2585    12.2495    13.0747
29.303     12.247     12.892
29.3777    12.2651    12.739
29.4467    12.2602    12.5464
29.5185    12.2654    12.3782
29.5978    12.2656    12.2786
29.7186    12.2813    12.1043
29.8398    12.2847    11.9701
29.9962    12.3047    11.7599
30.1955    12.2751    11.5598
30.3272    12.2713    11.407
30.4502    12.285     11.3031
30.5736    12.2883    11.1837
30.7       12.303     11.08
30.8438    12.3162    10.9727
31.019     12.3433    10.8465
31.167     12.3402    10.7278
31.3511    12.3384    10.5954
31.48      12.3476    10.5028
31.5923    12.3447    10.428
31.7511    12.3806    10.2904
31.9141    12.4194    10.1939
32.0294    12.4097    10.0987
32.1421    12.4088    10.011
32.2886    12.4581    9.9048
32.4215    12.4853    9.7788







































































































































































32.4006    12.4717    9.8301     NOSE
32.4762    12.2557    9.7767
32.5838    12.0911    9.6144
32.6975    11.989     9.4965
32.8044    11.9125    9.3809
33.0031    11.835     9.1784
33.1346    11.7805    9.0442
33.2988    11.764     8.8931
33.4598    11.733     8.7267
33.6186    11.7524    8.5286
33.6877    11.7769    8.4086
33.7824    11.8755    8.238
33.9424    11.931     8.1402
34.1098    12.0106    8.0058
34.2166    12.0956    7.948
34.3677    12.2164    7.8529
34.4776    12.3649    7.7403
34.6272    12.5083    7.596
34.6908    12.6545    7.4381
34.69      12.7677    7.3407
34.648     12.8634    7.2779
34.6312    13.0145    7.4151
34.5337    13.1409    7.5798
34.4257    13.2151    7.7007
34.2816    13.2415    7.8247
34.1063    13.3884    7.9594
33.9646    13.4896    8.0366
33.7876    13.589     8.1697
33.5939    13.6553    8.3108
33.3815    13.5778    8.5137
33.213     13.5341    8.6739
33.0804    13.5189    8.8235
32.9512    13.4712    8.9881
32.8115    13.4003    9.1253
32.6637    13.2759    9.2765
32.5894    13.2053    9.3756
32.51      13.1258    9.4669
32.5246    12.9704    9.5009
32.4794    12.9043    9.5955
32.4107    12.7557    9.7014
32.369     12.6591    9.7741
32.3847    12.5653    9.8043
32.4364    12.4796    9.8008





























































































































































34.5328    12.8282    7.3217     NASP-PR
34.7809    12.9092    7.239
34.8814    12.9252    7.1307
34.9931    12.964     6.9658
35.0661    12.9563    6.8243
35.0868    12.9879    6.7163
35.1009    13.0082    6.5859

































































































































































































31.6548    11.8905    10.2605    R-PM/MAX
31.8206    11.8433    10.1147
32.0626    11.8175    9.9398
32.2161    11.7443    9.7633
32.4429    11.7064    9.5554
32.6173    11.6354    9.4191
32.7892    11.5956    9.2574
32.9027    11.5156    9.1254
33.0635    11.4568    8.9799
33.2708    11.4458    8.751
33.4118    11.4223    8.5881
33.5447    11.3992    8.3394
33.634     11.3844    8.1806
33.756     11.3132    7.9197
33.8078    11.3062    7.7613
33.8545    11.2612    7.5904
33.8756    11.2046    7.4373
33.9323    11.1622    7.2853
34.0437    11.1349    7.0407
34.1959    11.1667    6.8728
34.2913    11.4874    6.464



















































































































































































31.186     12.7564    10.4595    L-PM/MAX
31.3845    12.7975    10.3339
31.519     12.8757    10.2063
31.6433    12.9438    10.0842
31.8704    13.0296    9.9244
32.0139    13.0367    9.8444
32.1124    13.1164    9.7295
32.2138    13.1913    9.6139
32.3567    13.281     9.4831
32.5221    13.402     9.3
32.6417    13.511     9.166
32.7693    13.5965    9.0192
32.8876    13.6654    8.8332
32.9709    13.691     8.7273
33.0421    13.7912    8.619
33.1649    13.8506    8.4116
33.2511    13.8862    8.2765
33.3058    13.9351    8.0963
33.3181    14.009     7.937
33.3719    14.0749    7.7943
33.4285    14.1342    7.6527
33.4692    14.2483    7.4587
33.4576    14.3629    7.2491
33.5269    14.3941    7.0925
33.6087    14.3926    6.9804
33.5183    14.3286    6.7009
33.4725    14.2029    6.5792













































































































































































31.1021    10.0987    6.9738     ROSTRUM
31.1126    10.1275    7.2117
31.1487    10.2135    7.4926
31.1351    10.373     7.6011
31.1237    10.4777    7.703
31.1506    10.5868    7.8145
31.1598    10.6928    8.0342
31.1799    10.714     8.1133
31.2192    10.7348    8.2605
31.2749    10.7295    8.6098
31.3632    10.7758    8.8816
31.4106    10.847     9.0879
31.3886    10.8315    9.2179
31.4647    10.7902    9.3474
31.5621    10.8066    9.641
31.5771    10.905     9.7855
31.5907    11.0985    9.8693
31.5985    11.2563    9.9185
31.5918    11.3843    10.0102
31.5713    11.581     10.1201
31.5855    11.7018    10.1909
31.5891    11.8383    10.2779
31.5784    12.0591    10.4081
31.5635    12.2004    10.4281
31.5525    12.3443    10.4356
31.5187    12.5059    10.4036
31.5056    12.6414    10.337
31.4524    12.789     10.3065
31.4176    12.9578    10.2136
31.3305    13.1336    10.1078
31.2838    13.3138    10.0335
31.2468    13.3932    9.9637
31.2179    13.6288    9.8424
31.0479    13.8325    9.7789
30.9234    13.926     9.7121
30.7208    13.948     9.513
30.6988    13.9011    9.2213
30.6545    13.9085    9.0292
30.5785    13.9725    8.7788
30.4853    13.9975    8.5352
30.4606    14.0023    8.3384
30.4077    14.0373    8.2133
30.3914    14.0808    8.0332
30.3625    14.1552    7.9362
30.3282    14.2383    7.8474
30.3127    14.3167    7.7381
30.2676    14.4396    7.6213
30.222     14.4906    7.5286
30.26      14.5222    7.3977
30.2348    14.5583    7.2692
30.2216    14.5912    7.1447
30.2001    14.6061    7.0161
30.2075    14.624     6.8827



















































































































































28.1623    8.4889     12.9062    SUPORB
28.1036    8.5604     13.1175
28.1687    8.625      13.3956
28.2008    8.7118     13.6455
28.2133    8.784      13.8314
28.3455    9.0322     14.1452
28.3345    9.153      14.2616
28.3525    9.2823     14.3732
28.358     9.436      14.4731
28.3507    9.5358     14.5525
28.2794    9.761      14.6954
28.2784    9.9868     14.8182
28.2723    10.2291    14.9438
28.2273    10.4058    15.0162
28.2683    10.6267    15.0667
28.3211    10.8519    15.0925
28.4185    11.0272    15.1104
28.4801    11.222     15.1144
28.5318    11.3857    15.128
28.6423    11.4765    15.0798
28.7952    11.7309    14.9749
28.8767    11.9351    14.8922
28.8975    12.1094    14.8323
28.9025    12.1816    14.8286
28.884     12.252     14.818
28.7686    12.4711    14.8401
28.659     12.6587    14.9043
28.4354    12.8496    15.0015
28.3145    13.0203    15.0432
28.1407    13.1386    15.0702
27.9697    13.2069    15.1028
27.8683    13.4417    15.0597
27.8282    13.6321    14.9983
27.7798    13.8199    14.9447
27.7886    13.9888    14.8517
27.7961    14.1699    14.7614
27.7882    14.3352    14.6633
27.7868    14.4858    14.5234
27.7305    14.6488    14.4354
27.6199    14.7748    14.3485
27.5252    14.8923    14.2655
27.4314    14.9999    14.1518
27.3307    15.0611    14.0852
27.2448    15.1662    13.9582
27.1834    15.2649    13.8034
27.1504    15.359     13.6229
27.0756    15.3925    13.4912
26.9813    15.4538    13.3167
26.9872    15.4701    13.1667
26.9436    15.5103    13.0137
26.9125    15.5321    12.8974
26.8829    15.5672    12.6821
26.8569    15.5907    12.5405
26.8535    15.5932    12.4119


















































































































































29.1932    10.4724    11.6803    RORBIT
29.2248    10.1692    11.7782
29.2005    9.951      11.875
29.1541    9.7398     12.0087
29.061     9.5572     12.1459
28.9933    9.3965     12.2719
28.9003    9.2802     12.4202
28.8257    9.1684     12.591
28.7364    9.0902     12.7958
28.7133    9.0883     12.9472
28.6874    9.0347     13.1164
28.6626    9.1322     13.2888
28.7378    9.2808     13.5915
28.8104    9.4111     13.7565
28.9223    9.5649     13.9151
29.0326    9.8229     14.069
29.0781    10.0347    14.1483
29.1139    10.2656    14.1337
29.2258    10.6724    14.1372
29.2416    10.9213    14.2661
29.125     11.0652    14.2303
29.0805    11.2764    14.2157
28.9772    11.5153    14.1947
