UWMA       ZA 1439    Phu106sf
18.4057    9.7403     11.5805    IN
22.1575    10.5028    15.1869    BR
28.3194    11.7744    14.5876    GL
28.2962    11.7245    14.2467    NA
32.0568    12.4831    9.7582     RH
34.2148    12.7926    7.2773     NS
34.718     12.9843    6.4356     PR
34.5739    11.8591    6.4692     R_PR2
30.7481    11.9119    10.6973    R_PMS
29.0216    8.6197     9.1627     R_ZMI
28.5673    10.0886    11.8704    R_ZMU
28.2009    11.4677    13.1976    R_DA
28.4082    10.0209    14.2544    R_MTI
27.482     9.9645     15.2247    R_MTS
28.1159    8.4836     12.8558    R_FMO
27.459     7.9875     12.9998    R_FMT
23.0201    6.614      10.4024    R_PO
27.7464    7.2843     10.1132    R_ZTS
34.2516    13.8881    6.408      L_PR2
30.64      12.669     10.6397    L_PMS
27.5487    15.035     9.2979     L_ZMI
27.7846    13.5285    11.9529    L_ZMU
28.0062    12.1391    13.1022    L_DA
27.6896    13.4816    14.3087    L_MTI
26.7436    13.2144    15.2127    L_MTS
26.6945    14.707     13.0283    L_FMO
25.9344    14.9652    12.9429    L_FMT
21.2239    14.2938    10.447     L_PO
25.9258    15.7389    10.1663    L_ZTS
34.9446    13.6175    6.2577     O1
26.5836    8.9148     14.6235    O2
23.0948    15.7005    9.9579     O3
18.354     10.4032    11.4205    O4







































































































































































28.3118    11.7844    14.567     GLRH
28.3064    11.7166    14.2923
28.2922    11.7419    14.032
28.298     11.776     13.844
28.3014    11.7892    13.6097
28.3202    11.823     13.4398
28.4303    11.8663    13.1815
28.5269    11.8465    12.9703
28.6053    11.8818    12.8567
28.7559    11.8939    12.6665
28.8557    11.9377    12.5424
28.9624    11.9401    12.421
29.103     11.9408    12.2627
29.2287    11.9468    12.1248
29.3617    11.9776    12.0097
29.4974    11.9924    11.8491
29.6508    12.0207    11.7326
29.793     12.086     11.6057
29.9435    12.0917    11.4858
30.0668    12.089     11.3655
30.2173    12.1004    11.232
30.4043    12.1569    11.1233
30.5519    12.1894    11.0176
30.7502    12.2222    10.871
30.8952    12.2319    10.745
31.0156    12.2808    10.6603
31.1475    12.3206    10.5429
31.2712    12.3212    10.41
31.3978    12.3431    10.3173
31.5225    12.3929    10.1929
31.7109    12.4358    10.0533
31.8205    12.451     9.9586
31.976     12.4787    9.8606
32.0284    12.5027    9.8048
32.0812    12.5226    9.7416





































































































































































32.071     12.5467    9.7231     NOSE
32.0804    12.3828    9.7164
32.2149    12.2345    9.6677
32.2915    12.0866    9.5457
32.4571    11.9667    9.3624
32.596     11.9455    9.1997
32.7717    11.8704    9.0182
32.9246    11.796     8.873
33.1271    11.7679    8.6154
33.294     11.8098    8.4343
33.4301    11.8802    8.2899
33.6166    11.9889    8.1126
33.7561    12.1081    8.0281
33.9476    12.172     7.9196
34.047     12.2426    7.8547
34.1623    12.341     7.7228
34.2709    12.4477    7.6009
34.2507    12.5669    7.498
34.282     12.7017    7.3456
34.2643    12.8487    7.2803
34.2089    12.975     7.3532
34.0734    13.1014    7.5532
33.9475    13.2222    7.7352
33.7904    13.2193    7.796
33.6627    13.2943    7.9029
33.4763    13.394     8.009
33.2958    13.5008    8.117
33.1684    13.564     8.2292
33.0233    13.5721    8.3903
32.8777    13.5456    8.5377
32.7429    13.4792    8.723
32.6174    13.4024    8.9045
32.5567    13.3856    8.9572
32.4507    13.3275    9.094
32.3158    13.2457    9.2387
32.2103    13.1492    9.3105
32.1368    13.1122    9.4477
32.1011    13.0018    9.5896
