AMNH       80771      Phu10stv
18.0434    14.02      14.1162    IN
15.5099    10.8525    17.0328    BR
10.5452    5.644      15.9852    GL
10.4347    5.6642     15.3176    NA
7.4902     3.137      9.7515     RH
5.9804     1.7747     6.5496     NS
5.6417     1.5436     5.155      PR
5.0906     2.3555     5.1712     R_PR2
8.609      4.7213     11.3069    R_PMS
7.7604     8.9816     9.5046     R_ZMI
9.0025     7.4418     12.9942    R_ZMU
10.2347    6.1755     14.3551    R_DA
9.4269     7.3629     15.7289    R_MTI
10.1362    7.8188     16.8247    R_MTS
8.6027     8.987      14.4461    R_FMO
8.5368     9.7685     14.4152    R_FMT
11.9496    14.0557    11.9869    R_PO
8.0879     10.7346    11.2509    R_ZTS
6.5182     0.9739     5.1631     L_PR2
9.3205     4.041      11.2154    L_PMS
13.3647    3.6122     9.1305     L_ZMI
12.1249    4.5903     12.7255    L_ZMU
10.8321    5.5109     14.0217    L_DA
12.1671    4.7126     15.4922    L_MTI
12.7552    5.5001     16.6851    L_MTS
13.9483    4.3087     13.886     L_FMO
14.767     4.6022     13.7829    L_FMT
18.5833    8.4879     11.5026    L_PO
15.776     4.2841     10.6831    L_ZTS
5.9078     0.882      4.8683     O1
7.2397     9.5985     10.7639    O2
14.145     5.2012     15.7074    O3
15.0891    15.2849    12.4462    O4







































































































































































10.4735    5.7058     15.9424    GLRH
10.4682    5.6484     15.8173
10.4592    5.6418     15.6845
10.4452    5.6526     15.5105
10.4397    5.6742     15.3338
10.4479    5.6578     15.1671
10.4364    5.6844     14.9754
10.4439    5.6981     14.835
10.4445    5.7026     14.6257
10.4372    5.6894     14.4927
10.4111    5.6567     14.2846
10.3477    5.6204     14.091
10.3063    5.5823     13.9402
10.2251    5.5359     13.7821
10.1599    5.459      13.6149
10.0402    5.3937     13.4439
9.9307     5.2755     13.2538
9.8661     5.1476     13.1048
9.7613     5.03       12.9028
9.6639     4.9854     12.7578
9.6147     4.9283     12.6687
9.56       4.8358     12.5554
9.471      4.7525     12.4109
9.3797     4.6834     12.2957
9.3323     4.6173     12.185
9.2698     4.5737     12.0947
9.1961     4.5291     12.0026
9.1312     4.4819     11.9304
9.0683     4.3856     11.7869
8.9859     4.2806     11.649
8.9282     4.2181     11.5857
8.8134     4.1631     11.4618
8.7741     4.0738     11.3656
8.6649     3.986      11.2408
8.5934     3.9083     11.1501
8.4976     3.8328     11.0333
8.4107     3.7851     10.9271
8.311      3.7067     10.796
8.2264     3.6604     10.736
8.1225     3.6297     10.6328
8.0221     3.5763     10.5116
7.917      3.493      10.3587
7.811      3.4193     10.2421
7.7448     3.3098     10.1532
7.6695     3.2262     9.9937
7.5986     3.1711     9.8896
7.5402     3.119      9.7957

























































































































































7.4603     3.1455     9.7109     NOSE
7.3043     3.2658     9.7162
7.1868     3.3505     9.5808
7.0551     3.4994     9.5167
6.9188     3.5089     9.4308
6.7416     3.5457     9.3196
6.6316     3.5403     9.146
6.5295     3.5331     8.9971
6.4234     3.5029     8.9121
6.2292     3.4585     8.7725
6.1294     3.4519     8.6998
6.045      3.3945     8.5879
5.9695     3.3521     8.4424
5.886      3.2998     8.3324
5.7961     3.2796     8.1673
5.7595     3.2342     8.0933
5.6935     3.1701     7.94
5.628      3.1441     7.8216
5.5849     3.0925     7.7628
5.5368     3.049      7.6681
5.4475     2.9977     7.5235
5.405      2.8589     7.4206
5.42       2.7364     7.3302
5.4005     2.6238     7.2069
5.3681     2.4811     7.1165
5.3717     2.336      7.0191
5.3887     2.2676     6.9618
5.4353     2.1935     6.9078
5.5533     2.0476     6.8253
5.6311     1.9355     6.7629
5.8014     1.915      6.7656
5.8245     1.843      6.6918
5.8977     1.8289     6.5795
5.9555     1.7829     6.5591
6.0865     1.6909     6.5806
6.1665     1.5877     6.6355
6.19       1.4887     6.7202
6.2836     1.4108     6.8046
6.4605     1.2496     6.8991
6.5823     1.2633     6.958
6.7022     1.2287     7.0171
6.8536     1.2644     7.1224
6.9879     1.2993     7.1886
7.0399     1.2906     7.2378
7.1538     1.2889     7.3455
7.2644     1.2285     7.4523
7.361      1.2754     7.6288
7.4536     1.2752     7.8311
7.5511     1.4025     7.9194
7.6016     1.4398     8.0119
7.6294     1.4817     8.0761
7.6789     1.5354     8.1413
7.7499     1.6708     8.3309
7.7744     1.7318     8.4451
7.8247     1.8408     8.6359
7.8658     1.9339     8.7924
7.8838     2.0197     8.9306
7.8755     2.1101     9.007
7.9037     2.2153     9.1303
7.9055     2.3572     9.2741
7.9229     2.4522     9.3904
7.9143     2.5903     9.5024
7.8081     2.6724     9.5609
7.7142     2.8354     9.6596
7.6374     2.9563     9.7254
7.4741     3.1179     9.7511






































































































































6.0187     1.815      6.5782     NASP-PR
5.8621     1.6982     6.4139
5.7346     1.6239     6.2261
5.6746     1.5684     6.0291
5.6689     1.5294     5.8845
5.6342     1.5307     5.8067
5.6362     1.5009     5.6611
5.5959     1.5204     5.4866
5.5901     1.5375     5.3205
5.625      1.5159     5.1969






























































































































































































8.6073     4.7179     11.3086    R-PM/MAX
8.4794     4.6375     11.1414
8.3523     4.5571     10.9859
8.2587     4.4831     10.8705
8.1509     4.4357     10.7484
8.0496     4.4042     10.6595
7.9284     4.3622     10.5278
7.7986     4.336      10.4152
7.7131     4.3227     10.3378
7.5419     4.2637     10.2169
7.4112     4.2031     10.1059
7.2674     4.1109     9.9805
7.119      4.0585     9.8235
7.0154     4.0479     9.6729
6.8595     4.0072     9.5564
6.7362     3.9757     9.437
6.6229     3.912      9.3234
6.5015     3.8471     9.1985
6.364      3.8284     9.0807
6.2629     3.7985     8.9729
6.0928     3.7196     8.7584
6.026      3.6895     8.598
5.9481     3.669      8.4348
5.8677     3.6407     8.2912
5.8187     3.6263     8.1731
5.7201     3.5752     8.0483
5.6544     3.5865     7.8498
5.5713     3.544      7.6978
5.4873     3.5288     7.4884
5.4282     3.4942     7.3009
5.3866     3.5791     7.1054
5.3598     3.597      7.0049
5.2591     3.6279     6.8737
5.1133     3.6316     6.6845
5.0455     3.6296     6.5023
5.0026     3.6537     6.3988
4.9446     3.5999     6.2109
4.9374     3.6068     6.126
4.9536     3.7019     5.8974
5.0213     3.7312     5.7438
5.1437     3.6694     5.6731































































































































































9.3455     4.0622     11.2255    L-PM/MAX
9.2489     3.9207     11.0579
9.1897     3.8284     10.9308
9.1346     3.7214     10.8051
9.0705     3.5779     10.6491
9.0231     3.4598     10.5175
8.9731     3.3783     10.4322
8.9014     3.2358     10.2721
8.8568     3.1273     10.1501
8.8106     2.9759     10.0332
8.7373     2.8935     9.9582
8.6895     2.7931     9.8406
8.686      2.707      9.7818
8.6228     2.6394     9.6826
8.5854     2.5152     9.62
8.5285     2.4285     9.5243
8.4877     2.3491     9.4549
