TMP        AZ784      Phu111sf
16.221     22.4831    11.1598    IN
15.8785    18.4521    15.6922    BR
15.7551    11.8181    16.7979    GL
15.7408    11.6285    16.265     NA
16.1479    4.4235     11.3636    RH
16.2719    0.366      8.3363     NS
16.3773    -0.1984    6.8404     PR
15.2903    0.0618     6.9165     R_PR2
15.5173    5.6637     11.8184    R_PMS
12.0119    9.92       10.1617    R_ZMI
13.6639    11.2349    13.9566    R_ZMU
15.3935    11.4284    15.1817    R_DA
13.6347    11.8896    16.3814    R_MTI
13.8814    13.0393    17.2189    R_MTS
12.065     12.3889    14.5714    R_FMO
11.426     13.0957    14.3117    R_FMT
11.6332    17.8055    10.0695    R_PO
10.6358    11.9461    11.0976    R_ZTS
17.4546    0.08       6.9027     L_PR2
16.7219    5.7327     11.8923    L_PMS
20.1691    9.9058     10.3856    L_ZMI
18.0612    11.3243    14.2433    L_ZMU
16.2086    11.5131    15.3947    L_DA
18.1056    11.8176    16.6249    L_MTI
17.6965    13.0986    17.3613    L_MTS
19.558     12.2916    14.9568    L_FMO
20.3597    12.9482    14.7388    L_FMT
20.53      17.6215    10.517     L_PO
21.3901    12.0511    11.6822    L_ZTS
15.7775    -0.5866    6.8091     O1
19.4109    13.627     16.1375    O2
10.1133    13.6999    10.5326    O3
16.8708    22.1308    10.9125    O4







































































































































































15.7227    11.8353    16.8209    GLRH
15.7286    11.73      16.5079
15.7569    11.6356    16.283
15.7461    11.5293    16.0674
15.7622    11.4681    15.8698
15.7879    11.3913    15.6852
15.8119    11.274     15.465
15.8357    11.1239    15.2884
15.8427    10.9418    15.1029
15.8526    10.7429    14.921
15.8752    10.5487    14.7786
15.9067    10.344     14.6332
15.8944    10.1953    14.5227
15.9221    9.9817     14.3888
15.9399    9.7983     14.2377
15.9312    9.6387     14.1105
15.921     9.4038     13.9505
15.9451    9.1324     13.7823
15.9942    8.9005     13.6587
15.9899    8.6883     13.5365
15.9953    8.5037     13.4348
15.9653    8.3514     13.3004
15.988     8.1557     13.2034
16.0052    7.929      13.1005
16.039     7.7258     12.9966
16.0088    7.4743     12.8828
16.0335    7.2357     12.7717
16.0015    7.0363     12.6358
16.0098    6.8484     12.5634
16.0377    6.6205     12.4711
16.047     6.3892     12.3685
16.0634    6.1453     12.2673
16.0715    5.8941     12.1387
16.0596    5.6965     12.0178
16.0609    5.4666     11.9242
16.0692    5.2845     11.8625
16.0618    5.0696     11.7463
16.0846    4.9094     11.6533
16.0896    4.8148     11.5842
