TMP        AZ 798     Phu113sf
16.8938    18.2624    10.0718    IN
16.7501    15.1204    14.9738    BR
16.8632    8.7326     15.2509    GL
16.8197    8.5491     14.8489    NA
16.4395    4.2698     10.7374    RH
16.4168    1.5747     8.591      NS
16.3801    0.4219     7.4404     PR
15.5634    0.7103     7.3006     R_PR2
16.0428    5.6285     11.2243    R_PMS
13.0677    7.8614     9.3715     R_ZMI
14.8513    8.4265     12.4665    R_ZMU
16.3186    8.4143     13.2933    R_DA
15.3004    9.0123     14.9794    R_MTI
15.6082    9.6635     15.7844    R_MTS
13.5292    9.5248     13.6327    R_FMO
13.1022    10.303     13.8665    R_FMT
12.6322    14.2921    10.2009    R_PO
12.3787    9.5657     10.4418    R_ZTS
17.1261    0.6754     7.1873     L_PR2
16.9571    5.4862     11.2121    L_PMS
20.0746    7.5928     9.2131     L_ZMI
18.4711    8.3451     12.4282    L_ZMU
17.1461    8.4126     13.3271    L_DA
18.5537    8.9066     14.9353    L_MTI
18.4278    9.5853     15.5574    L_MTS
20.009     9.4103     13.4939    L_FMO
20.3888    10.0714    13.4044    L_FMT
20.6672    14.0984    10.0394    L_PO
20.9585    9.468      10.1452    L_ZTS
15.6693    0.7392     8.206      O1
13.9079    11.0874    14.7105    O2
21.4835    12.2756    9.7155     O3
17.3251    18.1296    10.209     O4







































































































































































16.8475    8.7381     15.2571    GLRH
16.8472    8.7341     15.14
16.8507    8.6551     15.0206
16.8523    8.5394     14.852
16.8644    8.5003     14.7251
16.7906    8.4336     14.4605
16.7996    8.3703     14.2183
16.7489    8.3146     13.9808
16.7419    8.2587     13.7917
16.7363    8.2026     13.6175
16.7185    8.112      13.4476
16.7083    7.989      13.2873
16.6828    7.7956     13.0782
16.6959    7.6117     12.8749
16.7153    7.445      12.729
16.6947    7.2104     12.5328
16.6559    6.9896     12.3404
16.66      6.8281     12.2036
16.6274    6.5968     12.0347
16.611     6.383      11.8875
16.5834    6.1288     11.75
16.568     5.8924     11.6371
16.5348    5.6741     11.5174
16.5182    5.4467     11.4147
16.5328    5.2631     11.3249
16.4856    5.0861     11.2415
16.5087    4.8591     11.1003
16.4697    4.6333     10.9712
16.4797    4.4441     10.9072
16.4579    4.3193     10.8602
16.4541    4.2396     10.7603









































































































































































16.4432    4.2639     10.7548    NOSE
16.1664    4.1907     10.7292
15.9183    4.0483     10.6266
15.7551    3.8835     10.4736
15.6545    3.7726     10.3315
15.567     3.6684     10.2225
15.4813    3.5122     10.1421
15.4119    3.3721     10.0004
15.3868    3.1837     9.8051
15.3697    2.9862     9.595
15.428     2.7665     9.3988
15.4172    2.6552     9.2825
15.4333    2.4976     9.1909
15.4864    2.3203     9.0873
15.5913    2.1348     9.033
15.7118    1.9406     8.9764
15.7928    1.7321     8.8837
15.9797    1.627      8.75
16.143     1.6402     8.6848
16.3828    1.6961     8.6785
16.6325    1.6516     8.7385
16.8822    1.6432     8.8325
17.0853    1.8768     8.9175
17.1615    2.0631     8.9852
17.2296    2.229      9.059
17.352     2.4062     9.2431
17.3953    2.6226     9.4568
17.3407    2.8615     9.7164
17.2919    3.0334     9.8533
17.2689    3.2267     10.0287
17.2168    3.4059     10.1549
17.1718    3.6145     10.3283
17.1072    3.7441     10.4127
17.0168    3.9637     10.5648
16.8425    4.0855     10.6261
16.7123    4.2036     10.7261
16.6405    4.2483     10.6958
16.4888    4.2589     10.805


































































































































































16.4082    1.5009     8.5812     NASP-PR
16.336     1.3021     8.4638
16.358     1.0011     8.2432
16.3546    0.7624     8.0329
16.3441    0.6241     7.8905
16.3583    0.5468     7.7393
16.3639    0.4567     7.5874
16.363     0.4317     7.4357
































































































































































































16.0394    5.6449     11.2267    R-PM/MAX
16.0128    5.5097     11.1278
15.9894    5.3422     11.0847
15.9188    5.2026     11.0157
15.8674    5.0791     10.9612
15.781     4.8822     10.8556
15.6778    4.6998     10.7377
15.5735    4.508      10.6481
15.4918    4.2696     10.5074
15.4156    4.1025     10.4146
15.3589    4.0246     10.3632
15.2203    3.9454     10.1614
15.2033    3.7249     10.0377
15.1632    3.4866     9.8936
15.0886    3.2734     9.7414
15.0458    3.1209     9.5807
14.9571    3.0379     9.4228
14.902     2.9675     9.2527
14.8053    2.9352     9.0932
14.7206    2.8344     8.882
14.7128    2.6789     8.6961
14.69      2.5301     8.5524
14.6674    2.3619     8.3775
14.6145    2.2595     8.2063
14.6153    2.1136     8.0175
14.5458    1.989      7.7676
14.6647    1.8985     7.544
14.8324    1.9223     7.4162












































































































































































16.9771    5.3189     11.1377    L-PM/MAX
17.0356    5.0729     11.0219
17.1239    4.7854     10.8886
17.2487    4.6041     10.7719
17.3088    4.3743     10.6424
17.3551    4.1312     10.5346
17.4523    3.9986     10.4368
17.6228    4.0742     10.3502
17.5782    3.77       10.1556
17.6681    3.5462     9.9927
17.6791    3.3973     9.8982
17.7213    3.1958     9.7374
17.7666    3.0636     9.614
17.813     2.9228     9.4035
17.8909    2.804      9.1695
18.0297    2.748      8.9733
18.0448    2.5848     8.7644
18.092     2.3937     8.509
18.1035    2.2399     8.2805
18.136     2.0443     8.0233
18.169     1.8731     7.7949
18.1259    1.8328     7.65
17.969     1.9209     7.4297

















































































































































































14.135     5.2096     7.3095     ROSTRUM
14.13      5.1166     7.7327
14.2394    5.1888     8.0093
14.3849    5.2057     8.2139
14.6191    5.2004     8.456
14.7898    5.2682     8.6504
14.8882    5.2935     8.9276
14.8886    5.2618     9.2393
14.8259    5.2391     9.5057
14.7894    5.2148     9.7115
14.7714    5.2129     9.9974
14.7714    5.1555     10.3098
14.933     5.1355     10.5786
15.1405    5.1651     10.6666
15.3556    5.2044     10.7738
15.6584    5.1216     10.8784
15.7976    5.1511     10.9519
15.9498    5.1113     11.0645
16.1686    5.1192     11.1712
16.4098    5.069      11.2313
16.5886    5.0785     11.2396
16.8209    5.0692     11.1806
16.9694    5.0643     11.0985
17.1838    5.051      10.9353
17.3789    5.0408     10.8412
17.6221    5.0745     10.771
17.7651    5.0952     10.7486
17.8926    5.1066     10.71
18.0345    5.1211     10.6181
18.1064    5.0864     10.3433
18.0785    5.1469     10.0195
17.9851    5.1228     9.7148
17.9478    5.1387     9.3826
17.9251    5.2406     9.0254
17.9715    5.2525     8.6839
18.1042    5.2433     8.5229
18.3804    5.267      8.3525
18.5376    5.209      8.261
18.715     5.1691     8.1508
18.8553    5.1633     7.9426
18.9183    5.1875     7.7738
18.9102    5.1324     7.4704






























































































































































13.071     10.2747    13.8133    SUPORB
13.1627    10.3355    14.1454
13.4175    10.2566    14.6374
13.4654    10.2828    14.6739
13.6623    10.2312    14.8531
13.8524    10.0891    15.0545
14.023     9.9989     15.1758
14.3115    9.8927     15.3417
14.5828    9.8723     15.4591
14.8815    9.819      15.5619
15.1552    9.8433     15.6365
15.4337    9.8042     15.7211
15.6439    9.7834     15.7811
15.8758    9.6844     15.8083
16.0711    9.6129     15.8106
16.2254    9.4754     15.7957
16.3933    9.3232     15.7756
16.7066    9.2406     15.7103
16.8334    9.1658     15.6923
17.1088    9.324      15.7153
17.5082    9.5756     15.7717
17.8673    9.6787     15.7352
18.1641    9.7118     15.6389
18.4095    9.7429     15.5593
18.7051    9.7321     15.4517
18.8847    9.6412     15.3839
19.0901    9.6844     15.2609
19.3672    9.8307     15.1172
19.5171    9.913      14.9907
19.7833    9.8669     14.8371
20.0325    9.9419     14.5649
20.1854    10.0635    14.3222
20.3456    10.1082    14.0102
20.4311    10.1518    13.5806
20.4829    9.9918     13.2711





































































































































































14.8759    8.4577     12.4622    RORBIT
14.3969    8.4999     12.5803
14.0718    8.6803     12.7535
13.8358    8.8497     12.9207
13.6859    9.0353     13.0942
13.564     9.2192     13.273
13.4869    9.402      13.4664
13.4468    9.5574     13.7346
13.4896    9.6613     13.9457
13.603     9.6551     14.1955
13.732     9.6099     14.4948
13.8404    9.5244     14.7572
14.028     9.3657     14.9935
14.2104    9.2865     15.0842
14.4581    9.1238     15.1444
14.6707    8.9802     15.2055
14.9783    8.9023     15.1427
15.1903    8.9195     15.05
15.4326    8.9891     15.0143
15.6572    8.968      15.0266
15.9664    8.9393     15.0249
16.2606    8.9403     14.8983
16.3795    8.8629     14.6997
16.3949    8.8398     14.3689
16.3968    8.8318     14.1382
16.4148    8.7897     13.89
16.404     8.6908     13.7315
16.3899    8.6401     13.6263
16.3972    8.5459     13.5109
16.3206    8.416      13.2785










































































































































































18.4077    8.3723     12.4136    LORBIT
18.752     8.3747     12.4391
19.0146    8.3783     12.4977
19.217     8.4794     12.5577
19.4346    8.5325     12.6183
19.6514    8.6649     12.7332
19.7397    8.8275     12.8291
19.8333    9.0887     12.9903
19.9443    9.2658     13.2258
20.0727    9.4197     13.5376
20.0615    9.5015     13.7623
20.0478    9.4373     14.2009
19.941     9.4649     14.1081
19.7265    9.3844     14.4619
19.6345    9.2442     14.7282
19.3757    9.0912     14.9239
19.1027    9.0052     14.9975
18.8469    8.9169     14.9929
18.5606    8.846      14.9586
18.2991    8.846      14.9148
18.01      8.8878     14.8666
17.8091    8.9168     14.8947
17.5805    8.974      14.9554
17.344     8.8965     14.813
17.1933    8.7902     14.3818
17.1114    8.7439     14.048
17.0839    8.6863     13.8552
17.0734    8.6081     13.738
17.082     8.5601     13.6348
17.0742    8.4902     13.5481
17.137     8.4231     13.3356









































































































































































13.0358    10.1895    13.5869    RTEMFOS
12.9734    9.9804     13.3244
12.9484    9.8751     13.1439
12.9266    9.7222     12.9035
12.9162    9.5897     12.7057
12.905     9.4585     12.5799
12.9138    9.3225     12.4043
12.9129    9.1186     12.1688
12.9117    9.0264     11.9784
12.9253    8.9112     11.7806
12.8745    8.7225     11.6333
12.8477    8.6235     11.3521
12.8036    8.5495     11.2055
12.7287    8.4974     10.9915
12.6157    8.662      10.6546
12.4959    8.9481     10.4796
