TMP        AZ 1033    Phu119stv
17.0337    17.1524    10.4394    IN
16.7985    13.9576    14.6751    BR
16.8275    7.8709     14.1011    GL
16.7773    7.8213     13.7403    NA
16.7523    4.4755     10.2487    RH
16.6704    2.5373     8.3948     NS
16.7059    1.9847     7.502      PR
15.8809    2.1999     7.3866     R_PR2
16.6101    6.4177     11.2461    R_PMS
13.8447    7.5454     9.1435     R_ZMI
15.1201    7.6835     11.6537    R_ZMU
16.5147    7.9345     12.8271    R_DA
15.1413    8.1336     13.9118    R_MTI
15.4737    8.7445     14.6057    R_MTS
13.8386    8.6726     12.5113    R_FMO
13.3588    9.1745     12.189     R_FMT
13.0355    13.2333    9.6754     R_PO
12.8392    9.016      9.9023     R_ZTS
17.5119    2.2483     7.321      L_PR2
17.2576    5.7506     10.7728    L_PMS
19.8997    7.413      9.1778     L_ZMI
18.3393    7.7705     11.7178    L_ZMU
17.1413    7.8431     12.6933    L_DA
18.493     8.0752     13.9167    L_MTI
18.4506    8.6915     14.4502    L_MTS
19.7794    8.7181     12.5317    L_FMO
20.2863    9.1522     12.3504    L_FMT
20.8026    12.921     9.5113     L_PO
20.9241    8.8609     9.8887     L_ZTS
16.1342    1.7772     7.2603     O1
19.7081    10.1123    13.6304    O2
12.4681    11.4308    9.2968     O3
17.6538    16.9923    10.6134    O4







































































































































































16.8065    7.8657     14.0952    GLRH
16.7739    7.8495     13.8608
16.7532    7.8349     13.7611
16.7793    7.7622     13.5682
16.7853    7.7694     13.323
16.79      7.7493     13.1366
16.7964    7.692      12.8929
16.8311    7.5271     12.6084
16.8268    7.409      12.4164
16.8213    7.2605     12.2191
16.8324    7.0466     11.9527
16.864     6.7845     11.6878
16.8964    6.4594     11.4306
16.8779    6.1712     11.2645
16.8501    5.9443     11.1209
16.8251    5.7358     10.9877
16.8259    5.5381     10.859
16.8128    5.3009     10.7277
16.8101    5.1236     10.6255
16.778     4.9264     10.5048
16.7577    4.6965     10.3832
16.7584    4.5478     10.3086
16.7942    4.4666     10.2722

















































































































































































16.7601    4.4735     10.2547    NOSE
16.5673    4.4819     10.2562
16.405     4.5122     10.2203
16.2624    4.4744     10.1753
16.1616    4.2817     10.0218
16.0269    4.0236     9.8484
15.9767    3.8161     9.6761
15.9007    3.6488     9.4465
15.8945    3.5007     9.3199
15.9171    3.3375     9.1594
15.987     3.2202     9.0139
16.0471    3.0366     8.9074
16.1644    2.9147     8.8573
16.2691    2.7944     8.7887
16.384     2.6872     8.6385
16.4919    2.6349     8.5052
16.6128    2.5651     8.412
16.7122    2.5518     8.398
16.8796    2.5728     8.4271
16.9762    2.659      8.5677
17.1165    2.6704     8.7702
