TMP        AZ 1006    Phu126sf
14.0543    18.7245    10.727     IN
14.5579    15.2537    15.0285    BR
15.0523    8.9058     14.1333    GL
14.9966    8.9026     13.8596    NA
15.3452    5.125      10.2704    RH
15.3977    2.6194     8.098      NS
15.4028    1.8013     6.8289     PR
14.3397    1.9368     6.9977     R_PR2
14.7125    5.7201     10.604     R_PMS
11.4924    7.9363     8.9312     R_ZMI
13.1437    8.6371     11.6192    R_ZMU
14.7143    8.9506     12.7755    R_DA
13.1939    9.0521     14.0134    R_MTI
13.3228    10.0206    14.8617    R_MTS
11.8179    9.533      12.6669    R_FMO
11.3208    10.1146    12.4452    R_FMT
10.579     14.4975    10.2706    R_PO
10.6779    9.7817     9.9669     R_ZTS
16.355     2.237      6.7837     L_PR2
15.7562    5.8429     10.6191    L_PMS
18.1842    8.4383     8.6395     L_ZMI
16.6651    8.9992     11.569     L_ZMU
15.3285    9.0472     12.7998    L_DA
16.7116    9.3234     13.8867    L_MTI
16.4909    10.2325    14.7689    L_MTS
17.9672    10.0325    12.4555    L_FMO
18.3614    10.5979    12.2404    L_FMT
17.9891    15.1518    9.9472     L_PO
18.9223    10.5488    9.7491     L_ZTS
14.7666    1.4121     6.9028     O1
17.5501    11.5731    13.8896    O2
9.97       12.2377    9.8047     O3
14.9945    18.5659    11.3695    O4







































































































































































15.0479    8.9045     14.1315    GLRH
15.0587    8.8884     13.9468
15.0157    8.8985     13.684
15.0193    8.8946     13.492
15.052     8.8684     13.3185
15.0544    8.8456     13.1858
15.0484    8.7741     13.0325
15.0616    8.6892     12.8594
15.1134    8.5197     12.6613
15.085     8.4412     12.5552
15.1211    8.3151     12.3982
15.1419    8.0473     12.1542
15.1215    7.8432     11.9949
15.1662    7.6019     11.8034
15.1815    7.3546     11.6041
15.2038    7.0881     11.4216
15.1828    6.8467     11.284
15.1794    6.5781     11.1391
15.2014    6.3036     10.9937
15.2213    5.9759     10.8172
15.2491    5.65       10.6245
15.271     5.47       10.4917
15.273     5.2759     10.4323
15.2851    5.1931     10.3558
15.301     5.1023     10.3275




































































































































































