TMP        AZ 1001    Phu127sfv
15.2374    17.2733    10.1835    IN
15.9272    13.7162    14.9874    BR
16.3651    7.6104     14.2499    GL
16.3618    7.5664     13.8689    NA
16.6864    3.6031     10.1161    RH
16.8402    1.2794     8.0496     NS
16.9096    0.6609     7.2447     PR
15.8918    0.853      7.2342     R_PR2
16.1173    4.9405     10.6603    R_PMS
12.8231    6.3948     9.3038     R_ZMI
14.6804    7.2014     11.8742    R_ZMU
16.0537    7.5706     12.9597    R_DA
14.7044    7.7218     14.2271    R_MTI
14.7673    8.6155     14.9475    R_MTS
13.158     7.943      13.0586    R_FMO
12.6177    8.5782     12.8445    R_FMT
11.7652    12.6263    9.8118     R_PO
11.9692    7.9597     10.0687    R_ZTS
17.8215    1.0843     7.2272     L_PR2
17.0446    5.3297     10.7554    L_PMS
19.6758    7.0241     8.9472     L_ZMI
17.976     7.5541     11.637     L_ZMU
16.6531    7.5819     12.8474    L_DA
17.9278    8.1256     13.9348    L_MTI
17.6507    8.9631     14.8311    L_MTS
19.4405    8.6197     12.6533    L_FMO
19.8206    9.3216     12.4374    L_FMT
19.4813    13.5998    9.5424     L_PO
20.3584    8.8218     9.6933     L_ZTS
16.3496    0.3143     7.3524     O1
18.8673    10.3976    14.0162    O2
11.0846    10.2699    9.7597     O3
14.793     16.9464    11.0699    O4







































































































































































16.3952    7.5689     14.1929    GLRH
16.4208    7.5405     13.9627
16.4253    7.5446     13.811
16.4306    7.5154     13.693
16.416     7.4498     13.4378
16.4499    7.3522     13.1502
16.4515    7.245      13.0087
16.4516    7.1279     12.7948
16.4881    6.9518     12.6087
16.5315    6.7997     12.4162
16.5582    6.6083     12.2014
16.5682    6.4211     12.0267
16.5976    6.1895     11.8431
16.6134    5.9227     11.6291
16.6226    5.7166     11.457
16.6518    5.4836     11.28
16.6857    5.1826     11.0914
16.6835    4.8999     10.9178
16.7082    4.5984     10.7263
16.7084    4.2807     10.5569
16.7254    4.0541     10.4208
16.7448    3.9053     10.3471
16.7554    3.715      10.2764
16.7373    3.6474     10.2216
16.7511    3.6063     10.166















































































































































































16.7393    3.6097     10.1639    NOSE
16.4927    3.6012     10.111
16.3466    3.4969     10.0448
16.1499    3.4141     9.864
16.0571    3.1797     9.6762
15.9595    3.0037     9.5009
15.9372    2.847      9.3397
15.8684    2.6233     9.1789
15.8684    2.3978     8.9955
15.9467    2.1435     8.7669
16.0863    1.8828     8.6399
16.2596    1.6048     8.5708
16.3998    1.3677     8.4425
16.5318    1.2788     8.3272
16.7877    1.2707     8.0841
16.8705    1.219      8.0295
17.0447    1.2536     8.1194
17.2335    1.3335     8.2843
17.411     1.4949     8.3966
17.4973    1.7955     8.5086
17.5368    2.0694     8.5436
17.7048    2.3779     8.6696
17.7666    2.6032     8.7998
17.7353    2.8337     8.9474
17.6949    3.0588     9.2248
17.633     3.2251     9.444
17.5861    3.3524     9.5586
17.4759    3.4562     9.6706
17.3798    3.5806     9.796
17.3274    3.642      9.8875
17.1074    3.6035     10.0336
17.0344    3.623      10.0838
16.8716    3.6677     10.1759
16.7727    3.629      10.1953






































































































































































16.8818    1.2341     8.0318     NASP-PR
16.8936    1.0315     7.9292
16.906     0.8424     7.7619
16.8955    0.7621     7.6346
16.9011    0.6569     7.478
16.9173    0.6454     7.285


































































































































































































16.1214    4.917      10.6617    R-PM/MAX
16.1141    4.7314     10.5403
16.1178    4.4892     10.4413
16.0622    4.2014     10.2914
15.9811    3.9526     10.1436
15.9028    3.7709     9.9995
15.8922    3.5647     9.8771
15.8524    3.4181     9.7837
15.8462    3.2964     9.7012
15.7401    3.136      9.5707
15.6951    2.8801     9.3621
15.6144    2.6959     9.0904
15.5647    2.5993     8.9423
15.4968    2.4346     8.7303
15.428     2.3362     8.6145
15.3355    2.1964     8.378
15.2696    2.1209     8.238
15.2049    2.0376     8.0818
15.1543    1.8862     7.9235
15.1405    1.7129     7.7132
15.136     1.6227     7.5665
15.2929    1.6349     7.2422


















































































































































































17.1017    5.2723     10.6916    L-PM/MAX
17.118     5.0537     10.595
17.1914    4.8651     10.4718
17.2513    4.6627     10.3644
17.3441    4.4178     10.2264
17.4389    4.1947     10.0686
17.5231    3.9733     9.9104
17.56      3.8645     9.8116
17.6105    3.7112     9.6809
17.7217    3.5366     9.5196
17.7744    3.3992     9.4003
17.8915    3.2245     9.232
17.9034    3.0442     9.0405
17.9806    2.8824     8.8348
18.0788    2.6525     8.4841
18.1583    2.5571     8.2899
18.2389    2.4609     8.0907
18.3587    2.4105     7.8375
18.4055    2.3085     7.6771
18.4386    2.0877     7.2859
18.3486    1.9846     7.174
18.2583    1.9261     7.0784


















































