TMP        AV 1010    Phu143sf
20.8578    5.9749     11.707     IN
24.9055    5.807      15.8269    BR
31.2195    5.4455     15.6455    GL
31.2412    5.3689     15.1061    NA
36.2188    5.001      11.1063    RH
39.5925    4.7792     8.4979     NS
40.1728    4.7159     7.2916     PR
39.8879    3.7478     7.3014     R_PR2
34.5422    4.4806     11.7176    R_PMS
31.5853    1.1967     10.0524    R_ZMI
31.1155    3.6135     13.2425    R_ZMU
31.2464    4.8209     13.8386    R_DA
31.0058    3.4582     15.3957    R_MTI
30.0295    3.6144     16.4471    R_MTS
30.0881    2.0306     13.852     R_FMO
28.9853    1.3003     14.1648    R_FMT
24.6785    1.1642     10.6335    R_PO
29.4938    0.5341     11.0381    R_ZTS
39.9744    5.8445     7.4082     L_PR2
34.6646    5.7971     11.5904    L_PMS
32.1322    9.3471     9.9589     L_ZMI
31.2652    7.0976     13.1356    L_ZMU
31.1281    5.9153     14.0412    L_DA
31.1808    7.6466     15.3261    L_MTI
30.0048    7.4103     16.3999    L_MTS
30.3019    9.03       13.9519    L_FMO
29.479     9.695      13.8191    L_FMT
25.1395    10.0888    10.395     L_PO
29.8989    10.4212    10.8243    L_ZTS
31.5853    1.1967     10.0524    O1
32.1322    9.3471     9.9589     O2
38.6472    2.8711     7.2929     O3
38.9414    6.6038     7.3553     O4







































































































































































31.2099    5.4338     15.762     GLRH
31.2344    5.4755     15.417
31.2251    5.4406     15.1132
31.2824    5.4315     14.8557
31.3802    5.4254     14.5761
31.5138    5.3956     14.2901
31.708     5.379      14.0312
31.9439    5.3213     13.7866
32.1827    5.3141     13.5429
32.3715    5.3224     13.3943
32.6899    5.3275     13.1674
32.9245    5.3047     13.0395
33.1282    5.2806     12.918
33.4185    5.2764     12.6886
33.7129    5.2422     12.5327
33.991     5.2039     12.3843
34.3829    5.1887     12.1795
34.6171    5.1684     12.0548
34.9184    5.1342     11.8518
35.2696    5.0887     11.6314
35.4861    5.1021     11.502
35.6405    5.0852     11.37
35.833     5.0519     11.2665
36.0176    5.014      11.1801
36.1455    5.0111     11.1212
36.2243    5.0075     11.0542














































































































































































36.2171    5.0441     11.0899    NOSE
36.1996    4.6922     11.0478
36.3044    4.4244     10.9348
36.3506    4.2259     10.9034
36.6371    4.1483     10.6861
36.9303    4.044      10.425
37.1065    3.9526     10.18
37.3315    3.9036     9.8884
37.5285    3.8957     9.6953
37.8274    3.8492     9.5368
38.0131    3.8229     9.4278
38.2726    3.8255     9.2939
38.4838    3.8396     9.2142
38.6314    3.8731     9.1651
38.8048    3.9785     9.1173
39.0128    4.0007     9.0751
39.273     4.0285     9.0139
39.5286    4.1752     8.8779
39.6675    4.398      8.6193
39.6742    4.623      8.4926
39.5922    4.8075     8.4933
39.6368    5.0978     8.5523
39.5876    5.2934     8.7399
39.4334    5.4812     8.9053
39.0703    5.6504     9.037
38.7206    5.69       9.0551
38.4479    5.8104     9.1999
38.3087    5.8807     9.2879
38.0555    5.987      9.4206
37.8559    6.0425     9.5314
37.6438    6.1678     9.8083
37.4851    6.1395     9.9064
37.3186    6.1881     10.0305
37.1467    6.1016     10.0888
36.9379    5.9425     10.2174
36.8642    5.8385     10.3746
36.642     5.7844     10.5352
36.4813    5.7723     10.6661
36.2584    5.654      10.8313
36.188     5.4944     11.016
36.1982    5.0219     11.0878































































































































































39.6289    4.7867     8.4756     NASP-PR
39.852     4.7877     8.3121
40.0092    4.7811     8.1104
40.0741    4.7452     7.8334
40.1453    4.7797     7.634
40.1856    4.7705     7.495
40.2019    4.7437     7.3467
40.1494    4.7268     7.2475
































































































































































































34.4939    4.4864     11.7476    R-PM/MAX
34.6943    4.4428     11.6658
34.9123    4.3551     11.5699
35.1688    4.2877     11.4821
35.4153    4.1993     11.3366
35.6512    4.06       11.1803
35.945     3.9241     10.9997
36.2539    3.8287     10.8943
36.3352    3.6973     10.8043
36.5539    3.5759     10.5743
36.8549    3.5352     10.3087
37.1664    3.44       10.042
37.4425    3.3345     9.7618
37.793     3.2771     9.4857
37.982     3.1442     9.2234
38.152     2.9604     8.8483
38.2032    2.8444     8.5883
38.4176    2.7109     8.2622
38.5041    2.6668     7.9357
38.5795    2.7083     7.6993
38.6008    2.735      7.5599
38.6472    2.8711     7.2929


















































































































































































34.6801    5.8236     11.5666    L-PM/MAX
35.0078    5.828      11.4554
35.29      5.9065     11.3037
35.5835    5.9873     11.0835
35.8502    6.1199     10.9027
36.1399    6.166      10.7922
36.4037    6.3191     10.7341
36.6156    6.4578     10.5915
36.9791    6.4217     10.3961
37.355     6.3954     10.013
37.5427    6.4772     9.7229
37.7182    6.5678     9.5308
37.9822    6.6918     9.2698
38.1417    6.7046     9.0721
38.3393    6.7728     8.8507
38.5825    6.9314     8.398
38.6266    6.9851     8.2533
38.7884    6.9249     8.1206
38.9169    6.8718     7.8639
38.9429    6.7856     7.4794
38.9414    6.6038     7.3553



















































































































































































34.2728    2.5151     7.3239     ROSTRUM
34.2961    2.5066     7.5927
34.3228    2.5042     7.9192
34.3628    2.624      8.229
34.3738    2.7344     8.4318
34.4372    2.8903     8.7064
34.52      2.9869     8.9548
34.5419    3.0173     9.3392
34.5462    3.0076     9.6326
34.5648    2.9983     9.8994
34.5732    2.9489     10.209
34.6196    2.8413     10.524
34.6154    2.7134     10.7415
34.6299    2.6694     11.1114
34.6651    2.8312     11.2962
34.6577    2.8931     11.5115
34.6822    3.1804     11.5599
34.7154    3.5828     11.4945
34.7202    3.8829     11.5362
34.7426    4.0872     11.6091
34.7318    4.3415     11.6172
34.7504    4.4414     11.6711
34.7981    4.5455     11.8061
34.7768    4.8122     11.9409
34.7487    5.092      11.972
34.7769    5.2943     11.9182
34.7749    5.4733     11.8478
34.7338    5.6906     11.699
34.6797    5.8227     11.573
34.7129    6.0205     11.4527
34.6691    6.2461     11.3861
34.703     6.5035     11.3839
34.7338    6.7208     11.3931
34.7677    6.8539     11.5182
34.724     7.0021     11.4771
34.7779    7.1365     11.4854
34.7957    7.3119     11.467
34.7706    7.5569     11.3924
34.6968    7.5907     11.2106
34.7163    7.5961     11.0771
34.6644    7.6144     10.827
34.7052    7.5089     10.5528
34.6356    7.4695     10.3817
34.6239    7.4383     10.1457
34.5997    7.3294     9.8348
34.6427    7.3022     9.6776
34.5449    7.2979     9.2676
34.5612    7.3092     9.0121
34.524     7.3684     8.8425
34.5117    7.4872     8.5519
34.5505    7.6276     8.3066
34.5238    7.7348     8.0874
34.5235    7.8042     7.8212
34.4916    7.8059     7.5441
34.4926    7.7899     7.3805
34.4631    7.8008     7.2674
34.4638    7.7246     7.1091















































































































































29.0452    1.2627     14.0016    SUPORB
29.0031    1.3164     14.2828
29.0184    1.3984     14.5761
29.0189    1.5091     14.9313
29.238     1.7236     15.3215
29.462     1.9873     15.598
29.6257    2.2774     15.8019
29.7732    2.4682     15.9203
29.8355    2.6987     16.0601
29.7387    2.9824     16.2305
29.6854    3.2306     16.3188
29.792     3.6111     16.4593
29.8154    3.9817     16.4943
29.9677    4.2988     16.5256
30.2404    4.7188     16.5063
30.4528    4.966      16.4555
30.5646    5.0555     16.401
30.7612    5.2509     16.3182
30.7464    5.4749     16.2801
30.5335    5.7526     16.334
30.2968    6.067      16.4142
30.1546    6.3318     16.4482
30.1397    6.6219     16.4764
30.0665    7.064      16.4541
30.1284    7.5259     16.3579
30.1949    7.753      16.2979
30.1829    7.98       16.1977
30.2322    8.2966     16.0333
30.2187    8.4661     15.9578
30.0911    8.7175     15.8151
29.8688    9.0404     15.5688
29.8448    9.2023     15.4077
29.7442    9.3694     15.2263
29.6145    9.4672     15.054
29.4846    9.5644     14.8553
29.413     9.651      14.4811
29.462     9.7026     14.232
29.3411    9.693      13.9994
29.433     9.7279     13.83

































































































































































31.0947    3.5819     13.2634    RORBIT
30.9322    3.1393     13.276
30.8105    2.8631     13.2826
30.7389    2.6199     13.3387
30.5213    2.3709     13.444
30.3053    2.1271     13.5986
30.1415    1.9794     13.778
30.023     1.902      13.9931
29.9892    1.868      14.2446
30.1272    1.9014     14.5204
30.2587    1.956      14.7556
30.5348    2.1957     15.0597
30.6249    2.3692     15.1782
30.7875    2.5984     15.3059
30.8972    2.9393     15.3218
30.9247    3.2173     15.3177
30.9397    3.5693     15.2876
30.9394    4.0178     15.3913
30.8898    4.16       15.4049
30.8582    4.4443     15.4411
