MNHN       A-3904     Phu168sf
-0.1193    21.5902    14.5388    IN
-0.6048    15.4451    16.6975    BR
-0.7733    8.4781     14.8446    GL
-0.6716    8.6658     14.2171    NA
-0.6309    4.2801     9.2804     RH
-0.6643    0.5348     5.7625     NS
-0.5926    -0.2872    4.4021     PR
-1.7069    0.0616     4.4783     R_PR2
-1.3563    6.1703     10.1627    R_PMS
-4.1721    9.9932     8.7504     R_ZMI
-3.6304    9.7288     12.1924    R_ZMU
-1.1493    9.3875     13.4168    R_DA
-2.9493    9.0391     14.3704    R_MTI
-2.6808    9.6559     15.9696    R_MTS
-4.512     10.415     13.1384    R_FMO
-5.4357    11.4338    13.7004    R_FMT
-4.8882    17.7434    10.9236    R_PO
9999       9999       9999       R_ZTS
0.3848     -0.0604    4.7873     L_PR2
0.0517     6.1697     10.1016    L_PMS
3.498      9.7736     9.1128     L_ZMI
2.0785     9.6308     12.5095    L_ZMU
0.0492     9.4304     13.3278    L_DA
1.8664     8.8552     14.8046    L_MTI
1.7304     9.8406     16.2366    L_MTS
3.346      10.2389    13.8144    L_FMO
4.2489     11.2097    14.7148    L_FMT
4.9375     17.6765    11.6233    L_PO
5.4773     11.5064    10.5954    L_ZTS
-0.0366    -0.7209    4.0838     O1
-4.0272    10.911     15.5002    O2
6.4696     13.4905    11.2194    O3
-5.1874    18.9386    11.2352    O4







































































































































































-0.6469    8.4523     14.8478    GLRH
-0.6771    8.4974     14.5854
-0.6588    8.6411     14.26
-0.6767    8.6782     14.0912
-0.6703    8.7883     13.8971
-0.657     8.8896     13.7145
-0.6882    8.975      13.5674
-0.6826    9.0615     13.3926
-0.6665    9.0696     13.1857
-0.6362    9.0029     12.8865
-0.6448    8.8942     12.6534
-0.6336    8.7573     12.4504
-0.6204    8.6236     12.2764
-0.6224    8.471      12.1113
-0.6427    8.2949     11.9323
-0.646     8.1247     11.77
-0.6155    7.9413     11.632
-0.6091    7.8177     11.5565
-0.6148    7.7076     11.4725
-0.6557    7.5792     11.3839
-0.6783    7.4527     11.2772
-0.7108    7.308      11.1867
-0.7089    7.0673     11.069
-0.7271    6.8866     10.9805
-0.7338    6.6791     10.853
-0.7475    6.4315     10.7206
-0.7354    6.1415     10.5547
-0.7452    5.9301     10.431
-0.7761    5.7067     10.303
-0.7668    5.4798     10.1913
-0.7879    5.2657     10.0492
-0.7399    5.0594     9.915
-0.7375    4.9017     9.7871
-0.7402    4.7072     9.6445
-0.7432    4.5363     9.5168
-0.7463    4.4396     9.467
-0.7872    4.3569     9.3819
-0.7952    4.2593     9.3194


































































































































































-0.685     4.2909     9.2585     NOSE
-1.0129    4.2157     9.3301
-1.3377    4.1146     9.267
-1.5375    3.8823     9.1074
-1.6147    3.6758     8.9431
-1.7067    3.468      8.723
-1.9131    3.2322     8.4236
-2.1645    2.7686     8.2029
-2.1958    2.4996     7.9099
-2.1541    2.2502     7.6469
-2.1331    1.9506     7.3568
-2.1214    1.7283     7.1263
-1.9497    1.4766     6.7937
-1.8083    1.1584     6.5423
-1.5729    0.93       6.3755
-1.3479    0.7587     6.2356
-1.0953    0.6923     6.1473
-0.9459    0.5643     6.0088
-0.7331    0.5525     5.7371
-0.5158    0.5799     5.8802
-0.3241    0.6161     5.9891
-0.1531    0.7308     6.2528
0.0866     0.9221     6.4354
0.3102     1.0956     6.5952
0.5461     1.3572     6.8459
0.627      1.6643     7.0924
0.7389     1.8878     7.3187
0.8144     2.0606     7.5101
0.9183     2.2453     7.7464
