MNHN       1970.409   Phu169sf
0.0949     22.9286    12.7331    IN
-0.2771    17.6749    16.057     BR
-0.2944    11.526     15.1251    GL
-0.2743    11.4038    14.7505    NA
-0.3148    5.6467     9.6759     RH
-0.3285    2.5216     6.2426     NS
-0.3881    2.0103     4.5182     PR
-1.2568    2.1661     4.5513     R_PR2
-1.111     6.5039     10.1659    R_PMS
-4.4175    10.9114    8.9864     R_ZMI
-2.3082    11.4304    12.6499    R_ZMU
-0.8202    11.4196    13.6701    R_DA
-2.5453    11.864     15.1564    R_MTI
-2.0414    12.6921    16.0484    R_MTS
-3.8839    12.5622    13.5179    R_FMO
-4.5649    13.297     13.7225    R_FMT
-4.6823    18.6456    10.6702    R_PO
-5.6134    13.2017    10.1349    R_ZTS
0.6348     2.0426     4.7108     L_PR2
0.5102     6.4585     10.0785    L_PMS
3.6846     10.5702    8.5828     L_ZMI
1.7707     11.4322    12.6408    L_ZMU
0.4029     11.4174    13.555     L_DA
2.0749     11.8753    15.2469    L_MTI
2.1046     12.4354    15.9559    L_MTS
3.3026     12.6782    13.6323    L_FMO
3.9157     13.2686    13.7359    L_FMT
4.088      18.4377    10.698     L_PO
5.0485     13.0185    10.1396    L_ZTS
-0.9396    1.6477     5.1348     O1
3.1225     13.6922    15.1409    O2
-6.0136    15.9935    10.3885    O3
1.3395     21.9094    11.9344    O4







































































































































































-0.3139    11.5095    15.0475    GLRH
-0.3016    11.4353    14.7977
-0.2576    11.337     14.5557
-0.2929    11.2562    14.2432
-0.3026    11.1576    13.9645
-0.3199    11.0518    13.7432
-0.3308    10.9534    13.5221
-0.2826    10.7789    13.3151
-0.2437    10.5204    13.0384
-0.2242    10.2459    12.7588
-0.2476    9.9755     12.5146
-0.2559    9.7046     12.3083
-0.2871    9.3975     12.0761
-0.2348    8.9946     11.8271
-0.2482    8.6552     11.6163
-0.2322    8.3279     11.4044
-0.2765    7.9682     11.2057
-0.3316    7.6482     11.0357
-0.3264    7.3253     10.8298
-0.3032    7.0412     10.6772
-0.306     6.7853     10.526
-0.3423    6.4507     10.327
-0.3432    6.13       10.1287
-0.3124    5.9422     9.9804
-0.2767    5.7444     9.8239
-0.2756    5.6366     9.6565














































































































































































-0.2211    5.6541     9.7021     NOSE
-0.4668    5.6614     9.6734
-0.6469    5.6476     9.6408
-0.8375    5.6733     9.5064
-0.9801    5.533      9.3851
-1.0454    5.3337     9.2065
-1.1444    5.1071     8.9335
-1.3193    4.8439     8.5695
-1.3942    4.5734     8.2958
-1.4134    4.2742     7.9945
-1.497     4.0252     7.7253
-1.4856    3.8518     7.4786
-1.4521    3.6181     7.2236
-1.3303    3.3542     7.0607
-1.0679    3.0742     6.9022
-0.9578    2.8093     6.8158
-0.8322    2.6319     6.7141
-0.6445    2.4726     6.6009
-0.518     2.4274     6.5028
-0.417     2.4937     6.2605
-0.3268    2.5266     6.2301
-0.1368    2.5336     6.2585
0.082      2.474      6.4127
0.1744     2.5602     6.5623
0.2814     2.8028     6.7193
0.3587     3.0533     6.8179
0.5268     3.2353     6.9232
0.5972     3.35       6.949
0.7569     3.5965     7.0709
0.8452     3.7286     7.132
0.9589     3.8952     7.3096
0.9834     4.037      7.4506
1.0466     4.1574     7.6559
1.0651     4.2724     7.7935
1.0916     4.389      7.8905
1.1063     4.4736     8.0226
1.1681     4.5514     8.1553
1.1237     4.6805     8.2193
1.0984     4.8917     8.4822
0.9825     5.0635     8.6562
0.7579     5.2647     8.7956
0.6599     5.424      8.9041
0.5816     5.5132     9.1529
0.5511     5.6306     9.2768
0.4981     5.719      9.451
0.4598     5.8263     9.4928
0.2308     5.6961     9.5464
0.0047     5.6895     9.5984
-0.1593    5.6959     9.6381























































































































































-0.3539    2.51       6.211      NASP-PR
-0.3309    2.2999     5.9619
-0.3369    2.1127     5.698
-0.3243    1.98       5.4251
-0.375     1.9313     5.2227
-0.3771    1.9171     4.9607
-0.4373    1.9464     4.7388
-0.4032    1.9724     4.6162
-0.3518    2.0248     4.5038































































































































































































-1.0734    6.5002     10.1686    R-PM/MAX
-1.1301    6.332      10.0117
-1.155     6.1785     9.8924
-1.1857    6.0187     9.7359
-1.3074    5.8689     9.5578
-1.4486    5.6999     9.3576
-1.5977    5.5203     9.1799
-1.6432    5.299      8.9413
-1.7314    5.1859     8.7282
-1.8219    4.9209     8.409
-1.904     4.6265     7.9992
-1.9979    4.3681     7.5236
-2.0637    4.2271     7.3061
-2.1748    4.0176     6.9641
-2.313     3.9133     6.5655
-2.5098    3.8523     6.1611
-2.641     3.7529     5.7287
-2.6903    3.6632     5.3581
-2.5814    3.5885     5.2088
-2.3776    3.7353     4.9895




















































































































































































0.4971     6.6697     10.1535    L-PM/MAX
0.5942     6.3113     9.9596
0.6956     6.1668     9.7984
0.7867     5.976      9.6199
0.8874     5.7855     9.4026
0.944      5.7015     9.2792
1.0507     5.5622     9.1146
1.1559     5.369      8.8846
1.2382     5.1588     8.6202
1.3244     4.9904     8.3544
1.3698     4.8533     8.1542
1.4455     4.6163     7.7211
1.4812     4.5117     7.4826
1.5067     4.424      7.3151
1.5483     4.2503     7.1044
1.624      4.2143     6.8699
1.6566     4.1344     6.6684
1.7372     4.1021     6.4738
1.8603     3.9978     6.1959
1.8887     3.93       6.0097
1.9368     3.9546     5.8716
2.0444     3.9467     5.6789
2.1423     3.9626     5.484
2.2111     3.8929     5.2769
2.1708     3.7845     5.0508
2.179      3.7383     4.8803
2.0099     3.7091     4.7395













































































































































































-3.228     7.8319     5.9345     ROSTRUM
-3.2397    7.7917     6.1926
-3.2115    7.7648     6.4042
-3.1322    7.729      6.6605
-3.0277    7.7046     6.8947
-2.8733    7.7169     7.1678
-2.7289    7.7101     7.4144
-2.6281    7.7005     7.6346
-2.5455    7.7039     7.9141
-2.5092    7.6877     8.2401
-2.49      7.6651     8.4518
-2.5536    7.6701     8.7501
-2.7265    7.6326     9.0469
-2.7289    7.5668     9.2743
-2.8114    7.5891     9.4787
-2.758     7.6436     9.7573
-2.698     7.5627     9.9685
-2.5014    7.5802     10.1244
-2.3737    7.6207     10.2045
-2.0331    7.7222     10.2899
-1.7156    7.7245     10.4176
-1.4342    7.7019     10.5524
-1.2315    7.7158     10.6986
-0.9978    7.6967     10.7558
-0.7474    7.6793     10.9013
-0.5481    7.7022     10.9993
-0.3492    7.6919     11.0343
-0.1104    7.6628     11.0189
0.1064     7.6901     10.9155
0.2634     7.6902     10.8362
0.4695     7.7059     10.7715
0.6285     7.7299     10.749
0.8262     7.7277     10.62
1.0283     7.8192     10.5297
1.2212     7.8436     10.4515
1.4199     7.9086     10.3755
1.6142     7.9762     10.3187
1.8803     8.0205     10.2218
2.0724     8.0207     10.1954
2.1707     8.0184     9.8545
2.1903     8.0421     9.6357
2.1044     8.0813     9.4552
2.0471     8.1016     9.2424
1.9785     8.0872     8.9776
1.9144     8.0556     8.7975
1.8501     8.0932     8.5908
1.8374     8.083      8.3386
1.8736     8.1089     8.1096
1.9124     8.1283     7.8927
2.0024     8.1359     7.6256
2.1205     8.1468     7.3947
2.2891     8.1494     7.0756
2.4305     8.1387     6.7532
2.4854     8.1071     6.6068
2.5215     8.0958     6.4623
2.5301     8.0793     6.2371
2.526      8.1057     6.0577
2.5176     8.1704     5.9302
2.4975     8.1488     5.7699













































































































































-4.5265    13.2642    13.8588    SUPORB
-4.4791    13.3671    14.0112
-4.4231    13.4331    14.2314
-4.3703    13.442     14.5152
-4.2898    13.4068    14.6932
-4.1329    13.3973    14.9493
-3.9844    13.2769    15.1632
-3.7743    13.1418    15.3884
-3.5323    12.9469    15.5877
-3.3864    12.9544    15.6294
-3.1769    12.8144    15.7403
-3.0366    12.7453    15.7908
-2.9109    12.7775    15.8289
-2.8133    12.8672    15.8632
-2.6096    12.8772    15.9323
-2.2675    12.8039    15.9897
-1.9738    12.7673    16.0131
-1.6686    12.7072    16.0436
-1.3638    12.6163    16.0487
-1.0801    12.5641    16.0332
-0.8897    12.4963    15.9858
-0.6272    12.1909    15.7945
-0.4966    12.1388    15.7384
-0.3146    12.0643    15.71
-0.0333    12.1016    15.7666
