UCMVZ      118062     Phu16
15.6533    15.9396    13.5086    IN
12.7929    12.1511    16.6471    BR
9.2129     7.7845     14.8266    GL
9.2466     7.8648     14.1942    NA
7.5506     6.0904     9.4042     RH
6.3745     4.7431     6.4956     NS
6.0365     4.3541     5.3347     PR
5.4095     5.208      5.3818     R_PR2
7.8044     6.8684     10.171     R_PMS
6.9105     10.8353    9.3008     R_ZMI
7.8983     9.4255     12.2032    R_ZMU
9.1265     8.318      13.3891    R_DA
7.8913     9.1725     14.6955    R_MTI
8.5731     9.2064     15.559     R_MTS
7.1526     10.7725    13.5481    R_FMO
7.3493     11.7262    13.744     R_FMT
10.126     15.5236    11.5895    R_PO
6.9315     12.3763    10.5801    R_ZTS
6.9533     3.9323     5.4721     L_PR2
8.5316     6.8583     10.5157    L_PMS
12.3616    6.4189     9.2863     L_ZMI
10.7987    7.2        12.042     L_ZMU
9.6104     8.0304     13.3985    L_DA
10.7483    6.9391     14.6629    L_MTI
11.1814    7.5472     15.4717    L_MTS
12.5042    6.6467     13.3904    L_FMO
13.3217    7.1035     13.4661    L_FMT
16.1309    10.7387    11.4249    L_PO
13.7568    6.9446     10.3688    L_ZTS
5.4803     5.2845     6.4431     O1
7.6273     11.2844    14.1101    O2
16.0106    8.6046     10.7573    O3
12.8177    16.9306    12.9915    O4







































































































































































9.2002     7.7982     14.7993    GLRH
9.2159     7.8373     14.6038
9.2489     7.8726     14.3997
9.2647     7.8743     14.1863
9.258      7.9088     14.0159
9.2982     7.9028     13.8523
9.2867     7.9436     13.7021
9.2734     7.9452     13.4963
9.2531     7.9256     13.3063
9.2216     7.9038     13.1018
9.1838     7.8588     12.8962
9.1502     7.8029     12.7318
9.0879     7.7796     12.5761
9.0522     7.732      12.4218
9.027      7.7034     12.3222
8.9949     7.6407     12.1653
8.9403     7.6151     12.0433
8.9085     7.5573     11.8797
8.8626     7.5091     11.7152
8.833      7.4184     11.5599
8.7964     7.3524     11.4416
8.758      7.3139     11.3502
8.636      7.2663     11.185
8.5584     7.1633     11.0294
8.4773     7.0821     10.885
8.4199     6.9782     10.7857
8.3288     6.8768     10.6202
8.2417     6.7979     10.5262
8.1424     6.6978     10.4053
8.0833     6.6029     10.285
7.9862     6.5355     10.1673
7.8869     6.43       9.979
7.8298     6.314      9.8231
7.8035     6.2413     9.7282
7.7328     6.1622     9.6399
7.587      6.0594     9.4367




































































































































































7.5645     6.0617     9.4184     NOSE
7.3667     6.2114     9.4596
7.1495     6.2389     9.3557
7.0417     6.2647     9.2136
6.9472     6.2619     9.1237
6.8657     6.2167     9.0057
6.809      6.1884     8.8646
6.6918     6.168      8.7656
6.61       6.148      8.6505
6.5101     6.1632     8.5413
6.4274     6.1291     8.4232
6.3062     6.0919     8.2363
6.2178     6.104      8.0869
6.1113     6.0112     7.9628
6.0249     5.9474     7.7904
5.9867     5.8611     7.6401
5.9087     5.7945     7.4972
5.9275     5.7219     7.3935
5.8791     5.5863     7.2539
