LSZT       R30        Phu171stv
1.8199     21.2386    13.4764    IN
1.8515     16.4328    16.6874    BR
1.5699     9.8195     14.9731    GL
1.5426     9.8057     14.2714    NA
0.9532     5.1296     9.1963     RH
1.1166     2.4465     5.8076     NS
1.089      2.2057     4.6453     PR
0.137      2.4463     4.6619     R_PR2
0.3248     6.21       9.7171     R_PMS
-2.4301    9.7876     8.9608     R_ZMI
-0.548     9.9923     12.1209    R_ZMU
0.999      9.9881     13.275     R_DA
-0.3035    10.1059    14.6678    R_MTI
0.0743     10.88      15.8625    R_MTS
-2.0053    10.969     13.5595    R_FMO
-2.7891    11.5485    13.6935    R_FMT
-2.7944    17.3234    11.5724    R_PO
-3.9767    11.7517    10.6974    R_ZTS
2.0213     2.4038     4.5108     L_PR2
1.8731     6.3975     9.7113     L_PMS
4.8808     9.7962     8.632      L_ZMI
3.3263     9.9188     12.0392    L_ZMU
1.9681     9.9596     13.1977    L_DA
3.6164     10.0135    14.4319    L_MTI
3.7451     10.9496    15.5208    L_MTS
4.9839     10.9262    13.1052    L_FMO
5.7811     11.5952    13.0717    L_FMT
5.8939     17.2006    10.8288    L_PO
6.6487     11.5797    9.9834     L_ZTS
3.7969     4.5489     2.8418     O1
-1.4353    11.749     15.3822    O2
7.1446     13.2156    10.0933    O3
1.366      20.9981    13.5995    O4







































































































































































1.5745     9.816      14.9927    GLRH
1.5373     9.788      14.8094
1.516      9.7965     14.5834
1.5159     9.7788     14.4065
1.556      9.7869     14.2585
1.5412     9.77       14.0546
1.5397     9.7552     13.8459
1.5727     9.7381     13.6716
1.5645     9.7173     13.5435
1.5388     9.655      13.3715
1.5412     9.6065     13.2426
1.5128     9.5024     13.0717
1.4549     9.3647     12.8791
1.4242     9.2149     12.6828
1.3841     9.0816     12.5241
1.3411     8.8899     12.3198
1.3329     8.6746     12.1457
1.3327     8.5056     12.0138
1.2786     8.3249     11.842
1.268      7.9965     11.5543
1.2208     7.7735     11.3331
1.2074     7.628      11.2449
1.1957     7.4354     11.1008
1.1847     7.2333     10.9189
1.1744     7.0034     10.788
1.1111     6.8443     10.6497
1.0863     6.6499     10.4857
1.0704     6.4481     10.3259
1.0462     6.2861     10.1827
1.0175     6.0805     9.9926
1.0188     5.8278     9.8213
1.0403     5.6175     9.6707
1.0641     5.3983     9.5242
1.0212     5.1305     9.2596






































































































































































1.0249     5.1504     9.2786     NOSE
0.7632     5.1368     9.1614
0.4502     5.1635     9.0832
0.2375     5.2333     8.9392
0.1195     5.0011     8.7208
-0.0028    4.8339     8.4985
-0.2       4.5372     8.2545
-0.2124    4.3245     7.979
