LSZT       R28        Phu173sf
0.1913     20.3895    14.7346    IN
0.4093     15.1437    17.1088    BR
0.7525     8.6772     15.7707    GL
0.7731     8.6864     15.1741    NA
0.8022     4.1348     8.8355     RH
0.99       1.7831     5.576      NS
1.0187     1.1327     3.8677     PR
-0.1017    1.3987     3.9696     R_PR2
0.1257     4.8649     9.3861     R_PMS
-3.3265    8.8495     8.7257     R_ZMI
-1.258     8.9704     13.062     R_ZMU
0.2149     8.8335     14.1719    R_DA
-1.2623    8.9347     15.557     R_MTI
-0.9944    9.7658     16.6463    R_MTS
-3.2596    9.78       14.2602    R_FMO
-4.0771    10.5209    14.3641    R_FMT
-4.2546    16.5476    11.9318    R_PO
-4.8443    10.8021    10.7063    R_ZTS
2.0695     1.445      3.9273     L_PR2
1.3324     5.2351     9.6534     L_PMS
4.7037     9.0562     8.8605     L_ZMI
2.5704     9.1977     12.9826    L_ZMU
1.2876     8.8997     13.9319    L_DA
2.9326     9.1248     15.5613    L_MTI
2.6765     10.1553    16.568     L_MTS
4.7037     10.2099    14.2257    L_FMO
5.2136     11.0355    14.2636    L_FMT
4.866      17.0162    11.8152    L_PO
5.9848     11.1197    10.5115    L_ZTS
1.6715     0.7932     3.2236     O1
-2.8259    11.1348    15.9302    O2
6.5481     13.4064    10.7132    O3
-0.5351    20.1023    14.0353    O4







































































































































































0.7767     8.6658     15.6865    GLRH
0.749      8.667      15.4316
0.7573     8.6811     15.1718
0.7528     8.6955     14.7641
0.7335     8.6992     14.4827
0.7946     8.6478     14.2251
0.7505     8.5524     13.9737
0.7622     8.386      13.6393
0.7078     8.2033     13.3865
0.7315     8.0197     13.123
0.7265     7.8273     12.8091
0.7408     7.693      12.5453
0.719      7.5696     12.3859
0.7256     7.381      12.1379
0.7163     7.2105     11.9002
0.7359     7.0367     11.7513
0.7188     6.8695     11.5885
0.6897     6.678      11.3906
0.7112     6.3694     11.0908
0.7191     6.0835     10.8603
0.6909     5.8343     10.6411
0.7103     5.6343     10.47
0.6976     5.4128     10.2514
0.7047     5.1856     10.0261
0.7128     4.9788     9.8071
0.7443     4.6603     9.4993
0.7389     4.4071     9.2192
0.7357     4.2929     9.0988
0.7727     4.1962     8.9839
0.7643     4.1215     8.8462










































































































































































0.7669     4.1459     8.8146     NOSE
0.5009     4.0832     8.8226
0.3765     4.0751     8.7329
0.2098     4.1155     8.6412
0.0133     3.958      8.5321
-0.0753    3.7688     8.3043
-0.2153    3.5053     8.0341
-0.3157    3.2264     7.7169
-0.3332    3.0368     7.4259
-0.3395    2.8792     7.1029
-0.2742    2.7465     6.873
-0.2043    2.6339     6.5938
-0.1603    2.4144     6.3328
0.0705     2.1852     6.1113
0.1611     2.0325     6.0441
0.254      1.8244     5.9387
0.5114     1.6106     5.7289
0.6727     1.611      5.6189
0.875      1.6291     5.5178
0.9493     1.6332     5.5059
1.1902     1.4885     5.5352
1.4722     1.5209     5.6732
1.8077     1.6297     5.8947
1.9985     1.925      6.096
2.1546     2.2184     6.3312
2.2158     2.4052     6.517
2.212      2.5307     6.6893
2.243      2.6869     6.9076
2.1661     2.8107     7.1011
2.1436     3.0004     7.3713
2.1052     3.132      7.5314
2.0325     3.2675     7.7226
1.9598     3.3721     7.9182
1.9329     3.523      8.1495
1.766      3.6301     8.2501
1.5914     3.8437     8.4383
1.479      4.068      8.5742
1.2942     4.0608     8.5701
1.1877     4.0394     8.7076
1.0088     4.143      8.7612
0.7826     4.1527     8.8229































































































































































0.9479     1.6955     5.5376     NASP-PR
0.9833     1.4705     5.3666
0.9815     1.3529     5.2541
0.9886     1.1944     5.0326
0.9919     1.132      4.891
1.0061     1.0693     4.7465
0.9898     1.036      4.5436
0.9978     1.0079     4.3486
1          1.033      4.1639
0.9834     1.0936     3.9777
0.9857     1.1211     3.8652
1.0341     1.2057     3.7596




























































































































































































0.1372     4.879      9.378      R-PM/MAX
0.0854     4.6829     9.2058
0.0092     4.3614     8.9002
-0.123     4.0618     8.6451
-0.211     3.789      8.3862
-0.3594    3.5854     8.1274
-0.5148    3.3278     7.7525
-0.5779    3.2044     7.4103
-0.6577    3.0575     7.1232
-0.7584    2.9446     6.6286
-0.8752    2.8293     6.164
-0.9335    2.7633     5.9614
-0.9679    2.6723     5.7674
-1.0872    2.6947     5.561
-1.1297    2.6652     5.4829
-1.2573    2.544      5.0022
-1.2388    2.5516     4.756
-1.1667    2.6208     4.5136
-0.9506    2.7628     4.3491





















































































































































































1.3326     5.1094     9.5759     L-PM/MAX
1.4508     4.7799     9.2878
1.5399     4.5835     9.1245
1.6984     4.227      8.8028
1.8269     4.0527     8.6291
2.0035     3.7466     8.3614
2.0964     3.6233     8.1925
2.1855     3.4309     7.8527
2.1877     3.2988     7.6441
2.3638     3.1948     7.3019
2.4837     3.1166     7.0399
2.5958     3.005      6.7411
2.6381     2.9682     6.6554
2.7107     2.903      6.4453
2.8338     2.7807     6.0875
3.0162     2.7036     5.8388
3.1226     2.6406     5.5277
3.1647     2.5511     5.2364
3.1446     2.4816     5.0184
3.1379     2.4311     4.8539
2.9191     2.5232     4.5605



















































































































































































-2.0996    6.9132     5.986      ROSTRUM
-2.0468    6.8146     6.2937
-1.9824    6.6689     6.5103
-1.7243    6.546      6.7028
-1.514     6.5264     6.8489
-1.3527    6.4191     7.1052
-1.2558    6.3337     7.3963
-1.2244    6.279      7.7036
-1.2187    6.1574     8.0277
-1.2068    6.1116     8.252
-1.1994    5.9636     8.6044
-1.1774    5.8915     8.934
-1.2202    5.839      9.1284
-1.2872    5.7445     9.316
-1.4193    5.6923     9.5242
-1.4318    5.612      9.6876
-1.4014    5.5562     9.9204
-1.2882    5.4755     10.0844
-1.0692    5.4369     10.1808
-0.8951    5.417      10.2853
-0.6093    5.4279     10.2369
-0.3249    5.4503     10.1065
-0.1339    5.4771     10.104
0.0185     5.4889     10.0543
0.1851     5.5361     9.9801
0.3899     5.4313     10.1593
0.6106     5.4282     10.2561
0.7194     5.447      10.2882
0.9666     5.4837     10.2227
1.2215     5.538      10.0775
1.3138     5.5367     9.9903
1.6584     5.5334     10.1482
1.8452     5.5928     10.1335
2.1305     5.5694     10.1427
2.3389     5.5987     10.1595
2.5655     5.6774     10.2139
2.7459     5.7056     10.1474
2.9473     5.8639     9.8697
2.9052     5.9615     9.6382
2.8041     6.0701     9.362
2.7179     6.2686     9.1863
2.7329     6.3864     8.8813
2.7616     6.47       8.6061
2.7667     6.4585     8.3452
2.7822     6.5516     8.1272
2.7896     6.5999     7.9257
2.8059     6.6884     7.7461
2.8571     6.8098     7.5226
2.9293     6.9019     7.3283
3.0306     6.9019     7.1645
3.1658     6.9341     7.022
3.3966     6.949      6.8613
3.6118     7.039      6.6012
3.6655     7.1234     6.3374
3.6701     7.1781     6.1172
3.6541     7.246      5.9456
















































































































































-4.065     10.5138    14.4062    SUPORB
-4.0037    10.5456    14.6605
-3.8965    10.5425    14.9342
-3.758     10.524     15.2493
-3.5568    10.4115    15.5495
-3.3079    10.317     15.7502
-2.9832    10.1476    15.961
-2.7691    10.0494    16.0683
-2.5049    9.9081     16.1577
-2.1553    9.7501     16.2488
-1.8082    9.7614     16.3638
