LSZT       R1         Phu188sf
-0.7966    20.9145    13.4692    IN
-0.8785    15.7965    16.6531    BR
-0.9455    8.8851     15.9198    GL
-0.9263    8.8276     15.5934    NA
-0.6346    3.9671     9.3585     RH
-0.4519    1.2659     5.4497     NS
-0.1529    0.8296     3.6979     PR
-1.4382    0.9211     3.948      R_PR2
-1.5685    4.5628     9.7025     R_PMS
-4.7826    8.8741     9.2726     R_ZMI
-2.9417    9.0722     13.2296    R_ZMU
-1.2767    8.9928     14.7623    R_DA
-2.9589    9.3478     15.9032    R_MTI
-2.6635    10.2776    17.0435    R_MTS
-4.5634    10.2525    14.0838    R_FMO
-5.4855    11.1476    14.2266    R_FMT
-5.3079    16.9332    11.6805    R_PO
-6.3177    10.8177    10.8807    R_ZTS
1.009      0.9724     4.2436     L_PR2
0.4958     4.6257     9.4769     L_PMS
3.7292     8.817      9.6363     L_ZMI
1.4637     9.0934     13.3283    L_ZMU
-0.2644    9.0805     14.707     L_DA
1.4794     9.436      16.032     L_MTI
1.0258     10.2779    17.0241    L_MTS
3.1438     10.3307    14.3154    L_FMO
3.8545     10.9869    14.5843    L_FMT
4.0276     16.8652    11.9935    L_PO
5.0701     10.8541    11.2782    L_ZTS
0.9795     1.0352     5.2354     O1
-4.4769    11.3989    15.8303    O2
5.7446     12.6095    11.5785    O3
-1.966     20.5074    12.8951    O4







































































































































































-0.9106    8.8951     15.9936    GLRH
-0.9123    8.841      15.7859
-0.9043    8.8098     15.6335
-0.8534    8.7883     15.4499
-0.8363    8.7721     15.2271
-0.85      8.737      15.0571
-0.8005    8.6533     14.7789
-0.8155    8.5822     14.5375
-0.7986    8.4712     14.3222
-0.8197    8.3546     14.0808
-0.7954    8.2392     13.8906
-0.7917    8.0949     13.6744
-0.756     7.9572     13.4889
-0.7394    7.8173     13.2831
-0.7372    7.6717     13.0865
-0.7269    7.545      12.9187
-0.7346    7.3835     12.7023
-0.7388    7.2727     12.5759
-0.7311    7.1061     12.4259
-0.7206    6.9697     12.2751
-0.7138    6.7924     12.0915
-0.6933    6.5925     11.8409
-0.7031    6.4141     11.6528
-0.7252    6.2305     11.4528
-0.706     6.0318     11.2958
-0.6731    5.8141     11.1474
-0.6723    5.4745     10.9106
-0.6637    5.2847     10.7084
-0.6861    5.1198     10.5352
-0.6964    5.022      10.3965
-0.6748    4.792      10.1795
-0.6765    4.6276     9.9924
-0.6586    4.4176     9.8205
-0.6024    4.2159     9.6442
-0.5739    4.0898     9.5239
-0.5862    4.0074     9.4591
-0.6232    3.9633     9.3808



































































































































































-0.5938    3.9984     9.2729     NOSE
-0.8978    3.8953     9.3037
-1.1837    3.8796     9.2486
-1.368     3.8586     9.0981
-1.4669    3.7458     8.9584
-1.5463    3.6178     8.7639
-1.6737    3.4998     8.5725
-1.7752    3.389      8.3805
-1.9273    3.2003     8.1477
-1.9618    2.9677     7.7558
-1.9476    2.7514     7.4134
-1.9083    2.62       7.1975
-1.8836    2.5133     7.0043
-1.8414    2.2889     6.6967
-1.7087    2.0474     6.4438
-1.6137    1.8213     6.2342
-1.5178    1.6142     6.1089
-1.392     1.4644     6.0429
-1.1975    1.3781     6.0337
-1.0946    1.2931     5.9158
-0.9131    1.2581     5.7037
-0.7301    1.3283     5.5952
-0.5847    1.3675     5.5443
-0.2963    1.3689     5.578
-0.0739    1.4064     5.7326
0.2636     1.2705     6.0184
0.4484     1.3589     6.1618
0.5771     1.5486     6.2942
0.7308     1.8833     6.5089
0.8184     2.0482     6.6531
0.8665     2.2744     6.8896
0.8679     2.508      7.161
0.9276     2.7121     7.4853
0.981      2.9166     7.8759
0.9226     3.1047     8.1541
0.8739     3.3267     8.4523
0.7129     3.6082     8.6735
0.7088     3.7762     8.8569
