HLD        R8         Phu190sf
0.1937     22.2625    13.4875    IN
0.096      18.2079    16.8482    BR
0.0971     10.6882    16.7841    GL
0.0302     10.6634    16.2976    NA
-0.0295    3.4914     9.9514     RH
0.0906     0.2095     6.5281     NS
0.1459     -0.2477    4.9008     PR
-0.9803    0.0627     5.1812     R_PR2
-0.6193    5.6641     11.2733    R_PMS
-4.338     9.4208     9.5662     R_ZMI
-2.1113    10.4539    13.8732    R_ZMU
-0.4406    10.6425    15.2059    R_DA
-2.118     10.7117    16.518     R_MTI
-2.1905    11.8333    17.4915    R_MTS
-3.9269    11.2303    14.9021    R_FMO
-4.7925    12.0699    14.9875    R_FMT
-4.832     17.8559    11.4509    R_PO
-5.6087    11.8639    10.9197    R_ZTS
1.3593     -0.1086    5.1516     L_PR2
0.6764     6.18       11.441     L_PMS
4.549      9.3249     9.3735     L_ZMI
2.305      10.5467    13.7138    L_ZMU
0.5858     10.6521    15.2525    L_DA
2.5587     10.7439    16.4438    L_MTI
2.6987     11.7112    17.3546    L_MTS
4.0454     11.3166    14.9424    L_FMO
5.0124     12.1405    14.954     L_FMT
4.75       18.1552    11.1769    L_PO
5.7296     12.0149    10.7931    L_ZTS
0.7376     -0.5773    4.6561     O1
-3.2504    12.3833    16.7703    O2
6.2454     13.4365    10.7543    O3
-0.7874    21.8613    13.1529    O4







































































































































































0.1497     10.6823    16.7241    GLRH
0.1367     10.6814    16.4697
0.1076     10.6457    16.2132
0.1051     10.6096    15.9751
0.0945     10.5395    15.6985
0.1189     10.4623    15.493
0.072      10.3326    15.2029
0.0291     10.1756    14.9473
0.0243     9.9906     14.7008
0.0499     9.7207     14.3602
0.0346     9.4353     14.0824
0.0277     9.1261     13.801
0.0362     8.7865     13.5349
0.0168     8.4081     13.2734
0.0222     8.0843     13.0665
0.021      7.7251     12.845
-0.0246    7.4295     12.6526
-0.0189    7.2183     12.4982
-0.0276    6.9988     12.387
-0.0544    6.6755     12.1881
-0.0471    6.341      11.9687
-0.0233    6.0444     11.7964
-0.0141    5.7664     11.6358
-0.0752    5.5446     11.4911
-0.0304    5.2882     11.3473
-0.0448    5.0586     11.2023
-0.0621    4.7561     11.013
-0.0551    4.4485     10.7936
-0.066     4.1864     10.5828
-0.0639    3.8998     10.3581
-0.0341    3.7511     10.2438
-0.0416    3.65       10.1475
-0.01      3.5054     10.0313







































































































































































-0.0158    3.4922     9.9816     NOSE
-0.444     3.5376     9.9658
-0.823     3.5905     9.8509
-1.0099    3.3776     9.6114
-1.1729    3.1103     9.3646
-1.3691    2.8023     9.102
-1.4437    2.4792     8.7606
-1.4115    2.2784     8.549
-1.4048    1.9466     8.2286
-1.3683    1.6973     7.9801
-1.3103    1.4361     7.7956
-1.2534    1.0534     7.4939
-1.1253    0.6503     7.2445
-0.8561    0.3676     7.0984
-0.601     0.1942     6.9917
-0.4366    0.106      6.8256
-0.2786    0.0713     6.6509
-0.0457    0.1201     6.5044
0.1133     0.1721     6.5178
0.2938     0.1868     6.6242
0.4848     0.1614     6.7818
0.7001     0.2096     7.0039
0.9632     0.3727     7.1923
1.1582     0.6063     7.3049
