FSM        77242      Phu197sf
1.5989     23.1735    12.6392    IN
1.3908     18.3675    16.6577    BR
1.3356     11.5967    16.4279    GL
1.3118     11.5133    16.0162    NA
1.2375     5.4917     10.3201    RH
1.2388     2.5334     6.86       NS
1.2934     1.948      5.2003     PR
0.2405     2.0757     5.4083     R_PR2
0.6718     7.0214     11.0629    R_PMS
-2.5068    10.9953    9.7893     R_ZMI
-0.6957    11.5388    13.5774    R_ZMU
0.8608     11.407     14.6629    R_DA
-0.6762    12.0288    16.2384    R_MTI
-0.6361    12.9958    17.3044    R_MTS
-2.1975    12.5479    14.7733    R_FMO
-3.0483    13.3841    15.1481    R_FMT
-3.4495    18.7003    11.0269    R_PO
-4.1738    13.0414    11.1743    R_ZTS
2.4419     2.1788     5.6844     L_PR2
2.0171     6.9933     11.0462    L_PMS
5.2621     10.7367    9.9424     L_ZMI
3.3424     11.4594    13.6515    L_ZMU
1.9012     11.4305    14.6499    L_DA
3.5618     11.9288    16.3485    L_MTI
3.6245     12.7213    17.1879    L_MTS
4.9576     12.475     14.8705    L_FMO
5.7529     13.3993    15.0674    L_FMT
6.1899     18.5593    11.06      L_PO
7.2483     13.1832    11.4537    L_ZTS
1.9502     1.6115     5.3919     O1
-2.0523    13.6817    16.088     O2
7.6513     14.2178    11.4754    O3
1.0437     23.0309    12.3321    O4







































































































































































1.3009     11.5992    16.5338    GLRH
1.2837     11.5518    16.2865
1.2877     11.5505    16.1365
1.3142     11.5154    15.9518
1.3073     11.4603    15.5439
1.2883     11.3728    15.3055
1.3104     11.2155    15.0974
1.2992     11.0708    14.8994
1.3067     10.9427    14.7718
1.3066     10.8245    14.6367
1.2833     10.7228    14.5073
1.2743     10.3835    14.2785
1.2492     10.1599    14.0984
1.2818     9.8962     13.9281
1.2738     9.6385     13.7174
1.2902     9.3627     13.513
1.2731     9.0595     13.2916
1.2944     8.7684     13.0761
1.3265     8.4809     12.8682
1.327      8.2122     12.6949
1.2689     7.9626     12.48
1.2704     7.7832     12.3531
1.257      7.537      12.1711
1.2501     7.2553     11.9616
1.2603     7.0098     11.7602
1.2947     6.6927     11.4792
1.2991     6.4511     11.2551
1.3224     6.2829     11.1263
1.3269     6.0223     10.8929
1.3013     5.8085     10.6926
1.2827     5.7166     10.5917
1.279      5.5322     10.4424
1.2325     5.493      10.3731







































































































































































1.238      5.4884     10.3724    NOSE
1.0048     5.4531     10.2688
0.8132     5.3894     10.1781
0.5771     5.3011     10.0098
0.3749     5.2187     9.7105
0.2631     5.0665     9.5378
0.2483     4.8895     9.2753
0.1366     4.7171     9.13
0.1052     4.5247     8.8837
0          4.2813     8.5895
-0.0886    4.0939     8.3867
-0.104     3.8727     8.1544
-0.091     3.6723     7.9435
-0.0413    3.4859     7.7428
0.0196     3.2586     7.5479
0.0918     3.0646     7.4536
0.2447     2.8802     7.3827
0.4003     2.7043     7.3051
0.4923     2.5827     7.2771
0.6588     2.4827     7.2636
0.8157     2.4266     7.2165
1.0029     2.4199     6.9958
1.1387     2.4609     6.889
1.2523     2.493      6.8345
1.4689     2.4614     6.9548
1.5626     2.4317     7.1389
1.7837     2.4715     7.2167
2.0312     2.6276     7.2853
2.2205     2.7705     7.3439
2.4568     3.0702     7.5005
2.5021     3.2153     7.6235
2.6053     3.4197     7.8273
2.613      3.5777     7.9763
2.6492     3.727      8.1903
2.6524     3.9115     8.3953
2.6006     4.0587     8.5505
2.5614     4.2203     8.6807
2.4999     4.3588     8.891
2.3825     4.6002     9.059
2.3476     4.7712     9.3252
2.3211     4.9269     9.4976
2.3007     5.0264     9.612
2.2278     5.1443     9.7694
2.0925     5.3717     9.9802
1.6803     5.3451     10.1719
1.2178     5.4853     10.3354


























































































































































1.2931     2.4244     6.7554     NASP-PR
1.2901     2.1847     6.52
1.2831     2.0496     6.2932
1.2771     1.9469     6.0576
1.2245     1.9106     5.8188
1.2392     1.9164     5.604
1.2378     1.9065     5.4782
1.243      1.9155     5.2921
































































































































































































0.6507     7.0303     11.0415    R-PM/MAX
0.5706     6.8047     10.855
0.4632     6.5893     10.6454
0.398      6.3916     10.4802
0.3243     6.1531     10.2826
0.2735     5.9895     10.1772
0.2165     5.8074     10.0309
0.1511     5.5723     9.8561
0.0779     5.3691     9.6988
-0.0377    5.1234     9.4816
-0.093     4.9641     9.2983
-0.1861    4.7624     9.0679
-0.2591    4.5712     8.8203
-0.283     4.4564     8.6882
-0.3168    4.2685     8.3868
-0.379     4.0798     8.0065
-0.4325    3.8129     7.5863
-0.4737    3.5762     7.3537
-0.7694    3.6319     7.1045
-0.9276    3.4912     6.7713
-1.0067    3.3719     6.4178
-0.9306    3.2177     6.2147
-0.8702    3.2136     6.0038
-0.8007    3.2123     5.8094
-0.5999    3.259      5.5857
-0.472     3.2771     5.5209














































































































































































1.9765     7.12       11.159     L-PM/MAX
2.017      6.9031     10.9258
2.1214     6.5301     10.6525
2.2383     6.2419     10.3916
2.2867     6.0513     10.3323
2.3522     5.7992     10.153
2.4044     5.627      10.0205
2.4725     5.4007     9.8451
2.5591     5.176      9.651
2.62       4.9757     9.4545
2.7094     4.7729     9.2483
2.7804     4.5001     8.9266
2.8383     4.3471     8.6928
2.8992     4.1675     8.3958
2.9231     4.0381     8.1432
2.9579     3.8334     7.83
3.0317     3.5456     7.5517
3.182      3.3871     7.2717
3.3112     3.2846     6.9664
3.3866     3.2335     6.7876
3.4571     3.1814     6.5361
3.4814     3.1848     6.3603
3.407      3.186      5.8759
3.2198     3.2252     5.6216
















































































































































































-1.2935    7.762      6.4182     ROSTRUM
-1.2559    7.6632     6.8595
-1.1434    7.5981     7.1244
-0.9942    7.5606     7.4016
-0.8402    7.4986     7.7145
-0.7398    7.473      7.992
-0.701     7.4086     8.2702
-0.7156    7.3576     8.6216
-0.7122    7.2858     8.9157
-0.7717    7.255      9.216
-0.8146    7.1688     9.5024
-0.9848    7.1347     9.8021
-1.1187    7.0149     9.9947
-1.1515    6.9604     10.183
-1.0982    6.9001     10.381
-0.9217    6.8682     10.6001
-0.7279    6.8134     10.7974
-0.4916    6.8234     10.7727
-0.1961    6.9038     10.7887
0.0368     6.8423     10.7816
0.3286     6.8496     10.8277
0.5677     6.8243     10.869
0.6434     6.7493     11.0967
0.8037     6.6818     11.3246
1.2845     6.6018     11.4797
1.3194     6.657      11.4431
1.4916     6.6473     11.4136
1.7024     6.6867     11.3571
1.9046     6.7695     11.2042
2.0495     6.9085     11.0242
2.2376     6.9129     11.0013
2.4067     6.9275     11.0229
2.7775     6.9283     11.0711
2.9598     6.8846     11.0597
3.2884     6.9119     11.0008
3.5551     6.9561     10.807
3.7496     7.0278     10.4834
3.6926     7.1448     10.2197
3.5063     7.2594     9.9374
3.4661     7.2255     9.6978
3.3969     7.2423     9.4377
3.3872     7.2998     9.2856
3.3872     7.3088     8.8893
3.3748     7.3138     8.6491
3.4174     7.3256     8.3784
3.4339     7.3922     8.2128
3.563      7.4924     7.9104
3.7098     7.5308     7.6755
3.8207     7.5603     7.5136
3.9392     7.5421     7.3045
4.0764     7.5517     7.0179
4.1824     7.5918     6.8005
4.1977     7.5765     6.5869
4.1841     7.6883     6.3961


















































































































































