NMNH       365737     Phu19
19.2974    18.7914    16.2353    IN
15.1898    14.997     18.251     BR
11.225     11.5138    15.7257    GL
11.2322    11.5108    15.7231    NA
8.6272     9.057      8.8085     RH
7.528      7.7665     4.695      NS
7.4991     7.6798     3.276      PR
7.0869     8.6429     3.0425     R_PR2
9.1033     10.1705    10.0836    R_PMS
9.4437     14.5199    9.8233     R_ZMI
10.4493    13.0338    13.4663    R_ZMU
11.1225    11.982     14.6489    R_DA
9.9667     13.126     16.0974    R_MTI
10.6413    13.4812    16.901     R_MTS
9.5914     14.9068    14.6759    R_FMO
9.6874     15.7972    14.9474    R_FMT
13.7417    19.3086    13.5073    R_PO
9.5831     16.4317    11.7049    R_ZTS
8.5577     7.1369     3.2833     L_PR2
9.7344     9.1265     9.9041     L_PMS
14.2793    9.2595     10.0621    L_ZMI
12.8389    10.4815    13.4672    L_ZMU
11.833     11.3624    14.5335    L_DA
12.8939    10.1092    16.1106    L_MTI
13.3784    10.6953    17.0083    L_MTS
14.5734    9.5642     14.9114    L_FMO
15.4625    9.6537     15.0231    L_FMT
19.1528    13.3568    13.5537    L_PO
16.1881    9.4624     11.9392    L_ZTS
8.1524     6.8296     5.1495     O1
10.5967    14.5623    16.6357    O2
18.2679    10.8301    12.4508    O3
19.5058    17.8041    15.5645    O4







































































































































































11.2126    11.5145    15.7423    GLRH
11.2132    11.4827    15.5972
11.2138    11.4632    15.4007
11.2309    11.4643    15.2618
11.2317    11.5012    15.0347
11.2344    11.5106    14.8292
11.2423    11.4649    14.6329
11.2317    11.4356    14.4863
11.2134    11.4163    14.3796
11.1778    11.3946    14.264
11.1376    11.3648    14.1128
11.108     11.333     13.9978
11.0683    11.2622    13.7885
10.9887    11.1902    13.5802
10.9422    11.1319    13.4621
10.8743    11.0761    13.2948
10.8222    11.0237    13.1585
10.7588    10.9633    13.0288
10.6802    10.9048    12.8386
10.5938    10.86      12.6984
10.5707    10.7886    12.5948
10.5254    10.7134    12.4602
10.4391    10.6708    12.2926
10.3469    10.5993    12.0932
10.3056    10.4948    11.9459
10.198     10.4198    11.7414
10.1054    10.3586    11.5721
10.0089    10.2618    11.3586
9.9286     10.2162    11.2365
9.8593     10.1405    11.1054
9.7638     10.0487    10.9204
9.6777     9.9741     10.7465
9.5741     9.893      10.5557
9.4694     9.8544     10.4294
9.4029     9.7685     10.2964
9.3606     9.615      10.1119
9.2902     9.4567     9.913
9.2017     9.4009     9.8056
9.1241     9.3279     9.6521
9.0703     9.2667     9.5241
8.9943     9.1828     9.3694
8.9549     9.1025     9.2323
8.8339     9.0003     9.0181
8.7033     8.9301     8.8019




























