AMNH        169432      phu1adr3
18.0988     6.3636      -17.4449    IN
14.5429     10.5133     -19.3607    BR
10.5999     15.4198     -17.9246    GL
10.5926     15.4449     -17.3477    NA
7.6488      18.8326     -10.4829    RH
6.3339      20.597      -6.8076     NS
6.3172      20.7772     -5.1046     PR
5.621       19.8092     -5.2505     R_PR2
7.5133      17.4969     -10.9957    R_PMS
7.97        12.042      -11.0039    R_ZMI
9.1641      13.6307     -15.0915    R_ZMU
10.3975     14.8855     -16.2853    R_DA
8.9585      13.7743     -17.5673    R_MTI
9.6997      13.2602     -18.7432    R_MTS
8.4656      12.1664     -16.2494    R_FMO
8.1207      10.8925     -16.3077    R_FMT
12.4995     6.2222      -14.6351    R_PO
7.9324      9.7944      -12.754     R_ZTS
7.3513      21.2556     -5.3953     L_PR2
9.0008      18.852      -11.0233    L_PMS
14.4658     17.279      -11.0927    L_ZMI
12.5458     16.4827     -15.0406    L_ZMU
11.2282     15.5259     -16.3182    L_DA
12.7302     16.8121     -17.5462    L_MTI
13.3825     16.2357     -18.6071    L_MTS
14.1828     16.983      -16.0091    L_FMO
15.6446     16.855      -16.5169    L_FMT
19.3114     11.9034     -14.5858    L_PO
16.6137     17.0669     -12.8338    L_ZTS
5.6688      18.0962     -7.1368     O1
10.4888     19.7756     -10.1341    O2
7.8742      11.5974     -15.6957    O3
17.6175     7.8306      -17.6129    O4







































































































































































10.6047     15.427      -17.9208    GLRH
10.5974     15.4225     -17.8207
10.598      15.434      -17.6778
10.6052     15.4441     -17.5891
10.6158     15.4527     -17.4662
10.6115     15.4533     -17.3711
10.5996     15.4761     -17.2689
10.5907     15.4792     -17.1497
10.5962     15.4723     -17.0318
10.5898     15.4679     -16.9204
10.5961     15.4613     -16.849
10.6013     15.4615     -16.7642
10.6212     15.453      -16.6076
10.6095     15.4464     -16.4936
10.6242     15.4745     -16.3895
10.6094     15.4782     -16.2883
10.5996     15.4906     -16.2045
10.6024     15.502      -16.1074
10.541      15.5242     -16.0256
10.53       15.5631     -15.9486
10.5273     15.5829     -15.8759
10.4925     15.6094     -15.7925
10.4651     15.6311     -15.7027
10.453      15.6684     -15.63
10.4111     15.6985     -15.5256
10.3982     15.7727     -15.432
10.3464     15.8241     -15.339
10.3184     15.8642     -15.2829
10.2924     15.9163     -15.1918
10.2489     16.0002     -15.0962
10.1481     16.1274     -14.8946
10.1064     16.1962     -14.8189
9.9939      16.2833     -14.7123
9.9599      16.3234     -14.6426
9.9244      16.3746     -14.5815
9.8465      16.4471     -14.4834
9.8213      16.508      -14.4259
9.751       16.5843     -14.3344
9.6822      16.6466     -14.2447
9.6361      16.6743     -14.1916
9.5932      16.7249     -14.0962
9.5533      16.7643     -14.0238
9.4837      16.8595     -13.8895
9.4125      16.9213     -13.8087
9.3692      16.9797     -13.73
9.3093      17.0437     -13.6262
9.276       17.1069     -13.5358
9.197       17.181      -13.4296
9.1509      17.2445     -13.3531
9.0906      17.329      -13.2449
9.0514      17.3972     -13.1561
8.9835      17.4483     -13.0702
8.9355      17.5018     -13.0056
8.8848      17.57       -12.9221
8.8257      17.631      -12.8622
8.7699      17.7041     -12.7573
8.714       17.7743     -12.6663
8.6741      17.8382     -12.5897
8.623       17.8963     -12.5046
8.533       17.9501     -12.409
8.4888      18.0085     -12.3394
8.4595      18.0455     -12.2492
8.3831      18.1457     -12.1246
8.3281      18.2152     -12.0061
8.2874      18.2691     -11.9274
8.2325      18.3162     -11.804
8.1981      18.3672     -11.6993
8.1427      18.4585     -11.5407
8.079       18.5115     -11.4288
8.05        18.5875     -11.3022
7.985       18.6424     -11.1267
7.9532      18.7227     -10.9897
7.8895      18.7757     -10.8795
7.8524      18.8167     -10.7881
7.7984      18.8905     -10.6346
7.7734      18.9073     -10.5105
7.7244      18.9098     -10.4267



























































































































7.7817      18.8556     -10.4227    NOSE
7.6594      18.7651     -10.436
7.6319      18.6593     -10.4582
7.5369      18.5878     -10.4673
7.4246      18.5671     -10.405
7.3769      18.5099     -10.3547
7.2809      18.4142     -10.2733
7.2306      18.3293     -10.2083
7.163       18.2885     -10.0907
7.1305      18.3158     -9.9341
7.0769      18.3154     -9.8468
6.9801      18.3095     -9.7157
6.9284      18.3613     -9.5828
6.8596      18.393      -9.4268
6.7371      18.389      -9.3024
6.6829      18.3936     -9.1337
6.5842      18.471      -9.0345
6.5039      18.5112     -8.8566
6.4784      18.5547     -8.6952
6.3981      18.6119     -8.5792
6.4161      18.6757     -8.386
6.3346      18.7745     -8.2241
6.186       18.8706     -8.0605
6.0433      18.9859     -7.9084
6.022       19.0894     -7.8156
5.9454      19.1761     -7.7315
5.9294      19.3053     -7.6448
5.8972      19.4444     -7.558
5.8912      19.5697     -7.4869
5.9228      19.7233     -7.4096
5.9429      19.9295     -7.3557
5.9831      20.0737     -7.2879
6.0297      20.2403     -7.1748
6.0887      20.3611     -7.0548
6.1269      20.4308     -6.951
6.216       20.5219     -6.8472
6.2986      20.5982     -6.7972
6.4439      20.7345     -6.8418
6.517       20.8538     -7.01
6.6414      20.973      -7.1529
6.7861      20.9857     -7.299
6.9562      20.9809     -7.3816
7.1444      20.9694     -7.457
7.3255      20.9273     -7.544
7.5376      20.934      -7.6388
7.7244      20.9247     -7.7261
7.8853      20.8349     -7.9308
7.9993      20.7687     -8.0608
8.053       20.6414     -8.2604
8.1109      20.5583     -8.3821
8.1873      20.4626     -8.5149
8.2624      20.4097     -8.6511
8.3187      20.2838     -8.8189
8.349       20.2006     -8.984
8.425       20.1247     -9.1543
8.4471      20.0037     -9.3103
8.4616      19.8728     -9.387
8.4002      19.6878     -9.5694
8.3432      19.5493     -9.6892
8.3309      19.416      -9.8478
8.3428      19.3346     -10.0016
8.3463      19.1496     -10.0923
8.2845      19.2007     -10.308
8.2288      19.1167     -10.3129
8.093       19.1158     -10.3765
8.0353      19.0741     -10.4581
7.9274      18.975      -10.4591
7.8255      18.9149     -10.5371
7.7587      18.8866     -10.4583



































































































































6.3325      20.6349     -6.8104     NASP-PR
6.2509      20.6774     -6.6691
6.2536      20.7723     -6.5277
6.199       20.8658     -6.2773
6.1816      20.8884     -6.0659
6.2331      20.9067     -5.8711
6.2641      20.8925     -5.7103
6.2887      20.8895     -5.5587
6.2864      20.8772     -5.4322
6.3121      20.8641     -5.2481
6.3546      20.791      -5.0773





























































































































































































