AMNH       169432     Phu1bjw
0.886      27.5239    14.1184    IN
1.0171     22.5227    17.021     BR
1.1265     16.0513    16.6737    GL
0.9557     15.9489    16.3183    NA
0.4187     10.2171    10.3628    RH
0.2348     7.1969     7.2246     NS
0.2687     6.9038     5.6227     PR
-0.8675    7.2153     6.0146     R_PR2
-0.4424    11.2309    10.9026    R_PMS
-3.4676    15.6411    10.1201    R_ZMI
-1.4983    15.9155    14.1938    R_ZMU
0.4523     16.174     15.3844    R_DA
-1.4705    16.3545    16.617     R_MTI
-1.6495    16.9793    17.4974    R_MTS
-2.82      16.8937    15.3325    R_FMO
-3.8457    17.5731    15.2612    R_FMT
-3.7185    23.3463    12.5653    R_PO
-4.935     17.6243    11.7957    R_ZTS
1.3775     7.1619     5.9483     L_PR2
1.4324     11.0663    10.7823    L_PMS
4.4227     15.6554    9.5529     L_ZMI
2.9618     15.8769    13.8394    L_ZMU
1.4474     16.0804    15.2121    L_DA
3.2767     16.3238    16.2327    L_MTI
3.3761     16.9162    17.1791    L_MTS
4.6887     16.9697    14.7441    L_FMO
5.6284     17.8894    14.7905    L_FMT
4.9112     23.4193    11.7196    L_PO
6.1047     17.4909    10.9372    L_ZTS
0.8617     6.5386     6.1885     O1
4.5676     18.1261    15.0041    O2
-2.7348    17.9471    15.3359    O3
0.7491     27.471     13.6054    O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9999       9999       9999       ROSTRUM







































































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































-0.2659    8.4683     14.2193    OP
-0.3678    10.6544    14.1572    BA
0.525      16.9882    12.2652    ST
1.1712     23.3384    11.5985    IV
9999       9999       9999       R_PG
-5.5255    13.635     11.5565    R_ZTI
-1.9402    17.9122    13.6912    R_M3D
-2.0167    20.5442    13.0643    R_M12
-1.4865    23.1956    12.4804    R_MP3
-0.588     24.9377    11.7904    R_PMI
4.0683     10.2145    13.98      L_PG
5.8883     12.5643    12.3755    L_ZTI
3.0066     17.4797    14.1188    L_M3D
3.6641     19.9747    13.4135    L_M12
3.6523     22.61      12.7485    L_MP3
3.2106     24.4592    11.7618    L_PMI
2.1674     26.5688    11.3584    O1
4.1059     12.1287    7.6181     O2
-3.2184    13.1758    7.3383     O3
-0.5503    4.7917     12.5488    O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































9999       9999       9999       L-ALV
