AMNH       169432     Phu1cms5
16.1241    11.464     15.7918    IN
21.3513    9.8675     17.9708    BR
27.3696    7.7403     16.7014    GL
27.5098    8.0426     16.1919    NA
32.0367    6.7053     9.5318     RH
34.2477    6.132      5.9694     NS
34.5642    6.1928     4.2389     PR
33.9765    5.1981     4.1893     R_PR2
30.8843    6.047      9.9723     R_PMS
25.7428    4.3605     9.7087     R_ZMI
26.4903    5.9883     13.8675    R_ZMU
27.1392    7.6854     15.1179    R_DA
26.5008    5.8971     16.3189    R_MTI
25.7435    6.2283     17.4782    R_MTS
25.3474    4.8382     15.0233    R_FMO
24.4305    3.976      14.8606    R_FMT
18.4573    6.114      13.1891    R_PO
23.5661    3.4885     11.4289    R_ZTS
34.6029    7.3228     4.3215     L_PR2
31.5732    7.874      9.9909     L_PMS
27.9676    12.2577    9.9735     L_ZMI
27.8548    10.2864    13.9129    L_ZMU
27.3163    8.7135     15.0691    L_DA
27.8467    10.6237    16.3971    L_MTI
27.1246    10.8083    17.4542    L_MTS
27.5367    12.1097    15.061     L_FMO
26.9723    13.1679    14.9955    L_FMT
20.9792    14.655     13.1783    L_PO
26.8632    14.088     11.6155    L_ZTS
32.9963    9.4213     6.2678     O1
28.2778    12.7645    11.4106    O2
21.5304    14.0552    14.0405    O3
17.4209    12.8325    14.5446    O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9999       9999       9999       ROSTRUM







































































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS




















