AMNH       169432     Phu1mam
-0.4701    20.9313    13.9296    IN
-0.2839    15.7411    16.4708    BR
0.3804     9.3235     15.7774    GL
0.336      9.2372     15.3313    NA
0.4491     3.8793     9.1082     RH
0.6407     1.1641     5.7238     NS
0.6929     0.8862     4.0743     PR
-0.4628    1.1631     4.2248     R_PR2
-0.5307    4.8567     9.544      R_PMS
-3.8785    9.0026     9.047      R_ZMI
-2.0331    9.1876     13.0722    R_ZMU
-0.1804    9.3914     14.2551    R_DA
-2.0767    9.3907     15.5878    R_MTI
-2.0566    10.3257    16.5244    R_MTS
-3.5658    10.0028    14.2087    R_FMO
-4.555     10.7554    14.1699    R_FMT
-4.7283    16.7668    11.8073    R_PO
-5.6215    11.0497    10.6065    R_ZTS
1.7122     1.1983     4.2232     L_PR2
1.2931     4.7456     9.5272     L_PMS
4.1405     9.6005     8.776      L_ZMI
2.518      9.4438     12.92      L_ZMU
0.7622     9.4257     14.2019    L_DA
2.8728     9.7123     15.4233    L_MTI
2.8145     10.7027    16.3315    L_MTS
3.8183     10.3495    13.5613    L_FMO
4.8662     11.4172    14.0917    L_FMT
4.0092     17.1869    11.3537    L_PO
5.5798     11.3642    10.3519    L_ZTS
1.4307     0.6258     4.2365     O1
3.9345     11.572     15.6156    O2
-5.6128    15.2763    11.194     O3
0.3101     20.5342    13.3243    O4







































































































































































0.3762     9.3097     15.8493    GLRH
0.3641     9.2956     15.7412
0.3565     9.258      15.5852
0.3656     9.2479     15.4854
0.348      9.2213     15.3211
0.3737     9.157      14.9692
0.3776     9.1446     14.7332
0.3631     9.1092     14.4318
0.3803     9.0473     14.2012
0.3876     8.9752     14.0229
0.3771     8.8437     13.8174
0.3861     8.7221     13.6316
0.3775     8.5733     13.4468
0.3978     8.426      13.284
0.3915     8.3086     13.1842
0.3937     8.1886     13.0721
0.3988     8.0906     13.0094
0.3972     7.9466     12.908
0.3901     7.7861     12.8
0.3957     7.6437     12.672
0.3981     7.5129     12.5831
0.4161     7.3611     12.445
0.4213     7.2315     12.3426
0.3962     7.0305     12.1662
0.3971     6.8568     12.013
0.4016     6.7076     11.9046
0.3842     6.6023     11.7922
0.3869     6.4042     11.6489
0.3896     6.2299     11.5162
0.3955     6.1271     11.4267
0.3983     5.9467     11.3124
0.3832     5.819      11.2187
0.4104     5.6431     11.0865
0.3829     5.4972     10.9714
0.3917     5.379      10.8566
0.345      5.0662     10.5708
0.3703     4.895      10.3986
0.3516     4.7502     10.2651
0.3423     4.6193     10.1306
0.3422     4.4647     9.936
0.3318     4.3686     9.8284
0.3678     4.253      9.6671
0.3748     4.0866     9.4878
0.3894     3.9962     9.3635
0.3988     3.9079     9.2472
0.3872     3.8531     9.1132


























































































































































0.457      3.848      9.0963     NOSE
0.1339     3.9243     9.0664
-0.0639    3.8988     8.9273
-0.2918    3.8914     8.7938
-0.3376    3.8036     8.6059
-0.4123    3.7318     8.3053
-0.5043    3.5429     8.0457
-0.6348    3.3193     7.8863
-0.6796    3.1309     7.6523
-0.6955    3.0122     7.4712
-0.7052    2.7603     7.1842
-0.7744    2.5284     6.9356
-0.7559    2.1168     6.6337
-0.6474    1.843      6.446
-0.3877    1.6295     6.3571
-0.1797    1.4427     6.2886
0.0182     1.2787     6.1706
0.2185     1.17       6.0276
0.3566     1.1554     5.8192
0.5781     1.1828     5.7443
0.7755     1.1887     5.7969
0.9177     1.2042     6.0156
1.0381     1.2657     6.1409
1.2441     1.3482     6.242
1.3884     1.5329     6.3492
1.5007     1.6853     6.3787
1.621      1.8307     6.4582
1.7669     2.0339     6.5353
1.8639     2.2728     6.7325
1.8978     2.4756     6.9056
1.8947     2.61       7.0698
1.8831     2.7487     7.2036
1.8897     2.9556     7.4231
1.8572     3.0722     7.5551
1.8282     3.2251     7.7562
1.8506     3.3729     8
1.4895     3.6029     8.0711
1.3879     3.685      8.31
1.3051     3.8153     8.4772
1.1755     3.9647     8.5926
1.1477     3.9949     8.8595
0.9507     3.9847     8.9618
0.7654     3.9272     9.0879
0.4708     3.8739     9.0616




























































































































































0.6277     1.1662     5.7442     NASP-PR
0.6324     1.1025     5.6789
0.6416     1.038      5.5811
0.6509     0.9838     5.501
0.6767     0.9188     5.393
0.6618     0.8534     5.232
0.6755     0.8457     5.1226
0.6604     0.8157     4.9776
0.6823     0.8164     4.8394
0.6973     0.809      4.6655
0.7109     0.8142     4.5845
0.6931     0.8137     4.4271
0.6957     0.8007     4.3755
0.6966     0.8089     4.2945
0.6905     0.8483     4.1301

























































































































































































-0.5437    4.8269     9.5318     R-PM/MAX
-0.571     4.6411     9.3833
-0.6257    4.5244     9.2247
-0.6621    4.4092     9.093
-0.6787    4.3398     9.0155
-0.6975    4.2763     8.9196
-0.7241    4.1476     8.8003
-0.7678    3.9947     8.6929
-0.7863    3.9015     8.5878
-0.7942    3.8114     8.4897
-0.8316    3.7103     8.3819
-0.9045    3.6189     8.2743
-0.9203    3.5228     8.1411
-0.9453    3.4511     8.0184
-0.9733    3.3726     7.8762
-0.9783    3.2823     7.7061
-1.0024    3.1934     7.4943
-1.0414    3.1092     7.3322
-1.0848    3.0106     7.1471
-1.0973    2.9322     7.0085
-1.1249    2.8866     6.8969
-1.1672    2.7806     6.6821
-1.201     2.6999     6.3675
-1.2575    2.5772     6.17
-1.3235    2.4798     5.9605
-1.3782    2.2979     5.6575
-1.4929    2.3356     5.4164
-1.43      2.4025     5.0872












































































































































































1.2816     4.7046     9.5416     L-PM/MAX
1.3158     4.6131     9.3995
1.3599     4.4781     9.2394
1.4104     4.381      9.1152
1.4689     4.3557     8.987
1.5276     4.2721     8.8545
1.565      4.1842     8.7639
1.5856     4.1157     8.6943
1.6163     4.0607     8.6448
1.7137     3.9141     8.4896
1.7973     3.7961     8.334
1.8404     3.7256     8.2315
1.9177     3.5755     8.029
1.9423     3.4842     7.9118
1.9757     3.4228     7.7796
1.9883     3.345      7.6913
2.0203     3.2639     7.5095
2.053      3.172      7.3183
2.0634     3.0799     7.124
2.1158     2.9867     6.9152
2.1465     2.9086     6.7054
2.1892     2.7983     6.4815
2.2133     2.7112     6.2868
2.2749     2.5819     6.0834
2.3988     2.506      5.9207
2.4649     2.4694     5.6876
2.5711     2.5227     5.5415
2.5016     2.4842     5.2992












































































































































































-2.5438    6.9324     5.72       ROSTRUM
-2.5813    6.8422     5.9292
-2.5546    6.8135     6.0893
-2.5415    6.7885     6.2806
-2.5187    6.7551     6.4464
-2.4584    6.7308     6.5681
-2.3646    6.7007     6.7333
-2.1969    6.6575     6.9922
-2.1427    6.6003     7.149
-2.0667    6.5668     7.3194
-2.0408    6.518      7.5221
-2.0432    6.4474     7.792
-2.1216    6.3836     8.1268
-2.1624    6.3271     8.3354
-2.2969    6.256      8.6718
-2.3593    6.1928     8.9097
-2.4658    6.1185     9.1666
-2.4756    5.9687     9.4815
