AMNH       169432     Phu1mam5
-0.4899    20.7696    13.8463    IN
-0.0694    15.6156    16.389     BR
0.5292     9.1673     15.7837    GL
0.4795     9.0868     15.2913    NA
0.6215     3.6827     9.0924     RH
0.8022     0.9877     5.7377     NS
0.8553     0.6518     4.1648     PR
-0.3062    0.8945     4.2869     R_PR2
-0.3763    4.6339     9.5385     R_PMS
-3.727     8.7303     9.032      R_ZMI
-1.9762    8.9814     13.066     R_ZMU
-0.0248    9.2251     14.2196    R_DA
-1.826     9.2251     15.5482    R_MTI
-1.6757    10.1309    16.5609    R_MTS
-3.4041    9.7886     14.2394    R_FMO
-4.4168    10.5231    14.2127    R_FMT
-4.7141    16.5321    11.7923    R_PO
-5.5537    10.7454    10.6175    R_ZTS
1.8764     1.0288     4.2179     L_PR2
1.4503     4.5734     9.4952     L_PMS
4.2124     9.4921     8.7008     L_ZMI
2.6023     9.2738     12.8735    L_ZMU
0.9153     9.2734     14.1577    L_DA
2.9418     9.5414     15.3758    L_MTI
2.8531     10.6287    16.3055    L_MTS
3.9259     10.2302    13.4657    L_FMO
4.9904     11.3112    13.9535    L_FMT
4.0192     17.0303    11.2586    L_PO
5.6894     11.3479    10.2296    L_ZTS
1.5586     0.4532     4.069      O1
4.1302     11.4895    15.4847    O2
-5.7725    14.5993    10.9832    O3
0.3166     20.3503    13.2973    O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR























































































