AMNH       169432     Phu1pwl
0.5113     24.258     13.7906    IN
-0.1643    19.2551    16.8328    BR
-0.762     12.8536    16.653     GL
-0.7299    12.7093    16.0394    NA
-1.0571    6.9555     10.1612    RH
-1.1075    4.0979     7.048      NS
-0.9804    3.6268     5.3894     PR
-2.0339    4.065      5.3052     R_PR2
-1.9383    8.0999     10.4868    R_PMS
-4.3456    12.7379    9.3237     R_ZMI
-2.8947    12.8963    13.6209    R_ZMU
-1.1199    12.8822    14.9118    R_DA
-3.115     13.1636    16.1514    R_MTI
-2.7583    14.1107    17.0922    R_MTS
-4.2064    13.8985    14.3411    R_FMO
-5.2221    14.8582    14.2448    R_FMT
-4.2478    20.6797    11.655     R_PO
-6.0098    15.048     10.7593    R_ZTS
0.0696     3.8156     5.5135     L_PR2
-0.0523    7.7697     10.6081    L_PMS
3.5298     12.0378    9.7743     L_ZMI
1.5276     12.4259    13.8455    L_ZMU
-0.1339    12.7823    14.9423    L_DA
1.8231     12.7941    16.3464    L_MTI
1.766      13.7579    17.2389    L_MTS
3.106      13.1517    14.6943    L_FMO
4.2345     14.2043    15.0035    L_FMT
4.5731     19.7521    12.0227    L_PO
5.1652     13.6911    11.4221    L_ZTS
-1.4567    3.4883     5.0327     O1
3.2867     14.4551    15.9672    O2
-6.1568    16.7401    10.8837    O3
1.1433     23.3231    13.6693    O4







































































































































































-0.8201    12.8485    16.5742    GLRH
-0.7761    12.7783    16.2639
-0.7548    12.7245    16.0379
-0.728     12.6557    15.842
-0.7177    12.6127    15.5928
-0.6768    12.5768    15.3569
-0.6649    12.5205    15.0915
-0.6808    12.4073    14.8067
-0.7132    12.2662    14.6103
-0.684     12.102     14.3972
-0.6769    11.9285    14.2105
-0.6992    11.7777    14.0627
-0.7213    11.4673    13.8337
-0.7954    11.1231    13.6074
-0.8311    10.6761    13.3126
-0.8126    10.4038    13.0718
-0.8367    10.1973    12.9638
-0.819     9.9518     12.768
-0.8492    9.7049     12.5864
-0.8634    9.4473     12.4037
-0.8864    9.2311     12.2781
-0.8911    9.0016     12.1238
-0.9634    8.743      11.9431
-0.9856    8.5014     11.7576
-1.0184    8.2424     11.5344
-1.0307    7.9965     11.3173
-1.0488    7.7222     11.0701
-1.0578    7.4889     10.8191
