AMNH       169432     Phu1pwl2
0.6182     24.1748    13.5866    IN
-0.014     19.1       16.6974    BR
-0.5793    12.7811    16.5081    GL
-0.5372    12.6351    15.9222    NA
-0.8965    6.8875     10.0508    RH
-1.0097    3.9825     6.9055     NS
-0.8846    3.5256     5.268      PR
-1.9927    3.9546     5.2956     R_PR2
-1.815     7.9871     10.3631    R_PMS
-4.3289    12.7457    9.2191     R_ZMI
-2.7379    12.8074    13.5236    R_ZMU
-0.9516    12.7786    14.7976    R_DA
-2.8846    13.1613    15.9816    R_MTI
-2.7023    14.1162    16.9603    R_MTS
-3.9818    13.7776    14.2503    R_FMO
-5.0646    14.7606    14.2068    R_FMT
-4.1835    20.5058    11.5485    R_PO
-5.8722    14.9009    10.7361    R_ZTS
0.1933     3.7497     5.5156     L_PR2
0.0939     7.6565     10.4653    L_PMS
3.6516     11.9639    9.5998     L_ZMI
1.6505     12.4099    13.6769    L_ZMU
0.0391     12.7176    14.8069    L_DA
1.9535     12.7428    16.1069    L_MTI
1.8486     13.8852    17.1229    L_MTS
3.1048     13.0415    14.3409    L_FMO
4.373      14.1571    14.7721    L_FMT
4.6908     19.702     11.7417    L_PO
5.2722     13.64      11.1906    L_ZTS
-1.3273    3.4326     4.814      O1
3.6531     14.3797    15.4234    O2
-6.0554    16.7389    10.9028    O3
1.1959     23.1418    13.5472    O4







































































































































































-0.5732    12.8174    16.509     GLRH
-0.5694    12.7112    16.2611
-0.5572    12.6513    16.0115
-0.5462    12.5939    15.8673
-0.5382    12.5582    15.6211
-0.4837    12.4993    15.2881
-0.53      12.4641    15.0586
-0.4642    12.3687    14.7829
-0.4692    12.2537    14.5938
-0.508     12.0884    14.37
-0.5533    11.9108    14.1387
-0.5252    11.657     13.9049
-0.5545    11.4036    13.7141
-0.5809    11.079     13.5087
-0.6017    10.8202    13.3531
-0.6258    10.6666    13.2362
-0.6713    10.3662    13.0138
-0.6794    10.1338    12.8535
-0.6891    9.8982     12.6631
-0.6861    9.6746     12.4931
-0.7768    9.436      12.3177
