AMNH       169432     Pha1Tosi2
18.878     16.7466    20.3415    IN
15.103     12.4929    21.6368    BR
11.1076    7.9903     19.4159    GL
11.09      8.0106     18.9341    NA
8.4635     5.3782     11.6322    RH
7.2915     4.0041     7.8109     NS
7.3415     4.0396     6.0526     PR
6.6304     4.9863     6.0655     R_PR2
8.3113     6.6055     12.307     R_PMS
8.9653     11.8978    12.7083    R_ZMI
9.8207     9.9729     16.8126    R_ZMU
11.0107    8.6387     17.9679    R_DA
9.5948     9.6211     19.2634    R_MTI
10.2041    10.1584    20.5419    R_MTS
9.1643     11.4282    18.09      R_FMO
8.6778     12.5985    18.198     R_FMT
13.2775    17.3156    17.5332    R_PO
8.6149     14.0452    14.8011    R_ZTS
8.3354     3.5753     6.1696     L_PR2
9.7179     5.294      12.1908    L_PMS
15.177     6.8868     12.5961    L_ZMI
13.2216    6.9852     16.6456    L_ZMU
11.8466    8.071      17.9292    L_DA
13.2649    6.5889     19.1129    L_MTI
13.7184    7.13       20.3103    L_MTS
14.8512    6.5726     17.8854    L_FMO
16.1477    6.619      18.1097    L_FMT
19.9855    11.7493    17.0279    L_PO
17.2076    6.7328     14.5342    L_ZTS
6.6004     4.4078     6.0356     O1
11.3316    4.7277     10.8793    O2
9.8467     11.6263    19.632     O3
19.9613    15.2321    18.9482    O4







































































































































































11.4324    7.8819     19.3153    GLRH
11.4443    7.9011     19.0697
11.4709    7.8596     18.8297
11.5046    7.9098     18.5185
11.5307    7.9726     18.1757
11.5259    7.9682     17.8889
11.475     7.9409     17.63
11.4161    7.8785     17.3489
11.3731    7.8275     17.1014
11.3045    7.7425     16.929
11.2165    7.6384     16.7035
11.0787    7.4775     16.4235
10.9923    7.3613     16.2667
10.8162    7.1897     15.9642
10.708     7.0697     15.7528
10.5606    6.9431     15.4516
10.4189    6.8286     15.2452
10.3287    6.6748     14.9948
10.2197    6.5926     14.7963
10.0697    6.4143     14.5115
9.9637     6.2418     14.2968
9.8572     6.1787     14.1369
9.7923     6.0854     13.9847
9.6709     5.9458     13.7483
9.518      5.8448     13.4881
9.4031     5.7491     13.2525
9.3503     5.6324     13.0524
9.2171     5.5114     12.7203
9.1275     5.4119     12.4422
9.0752     5.327      12.2363
8.9876     5.2602     12.0035
8.8498     5.223      11.6108








































































































































































8.9004     5.2353     11.5774    NOSE
8.75       5.4821     11.6207
8.6122     5.6237     11.5161
8.4484     5.7687     11.3972
8.2517     5.8662     11.1514
8.1674     5.8592     11.0274
8.0687     5.8589     10.829
7.9841     5.8355     10.6171
7.8553     5.7964     10.4024
7.7602     5.7849     10.154
7.7152     5.6992     9.8622
7.62       5.6127     9.5763
7.4778     5.5422     9.2684
7.3678     5.3927     9.0196
7.3086     5.2062     8.8002
7.2749     5.0048     8.634
7.2665     4.7712     8.4766
7.2353     4.5629     8.3679
7.2788     4.3359     8.2688
7.3824     3.9795     8.2223
7.4418     4.0213     7.9495
7.5661     3.9187     7.7256
7.7055     3.8082     7.6943
7.8209     3.6439     7.9091
7.8686     3.5639     8.0245
8.1009     3.5279     8.2656
8.2913     3.5076     8.3823
8.5659     3.5276     8.5261
8.8129     3.483      8.6827
8.9612     3.547      8.8085
9.0912     3.6241     8.9715
9.2069     3.6267     9.1329
9.311      3.6827     9.3271
9.3499     3.7529     9.4836
9.3442     3.9196     9.8934
9.5646     4.0133     10.073
9.6268     4.1309     10.36
9.6552     4.253      10.6706
9.6916     4.4642     10.9246
9.6997     4.6575     11.2017
9.5589     4.8505     11.3218
9.3898     4.9578     11.5139
