AMNH       169432     Phu1Tosi4
17.2962    19.8791    17.2074    IN
13.6827    15.6209    19.3344    BR
9.9104     10.6865    17.8861    GL
9.8356     10.6982    17.43      NA
6.9792     7.0536     10.6759    RH
5.6292     5.1985     7.028      NS
5.6049     5.0478     5.3521     PR
4.9167     5.9663     5.3752     R_PR2
6.7887     8.3956     11.161     R_PMS
7.1944     13.8197    10.9254    R_ZMI
8.4129     12.2988    15.1227    R_ZMU
9.6515     11.1896    16.4089    R_DA
8.3434     12.3119    17.6158    R_MTI
8.8696     12.8328    18.8118    R_MTS
7.6955     13.8906    16.2688    R_FMO
7.2435     15.1384    16.3772    R_FMT
11.3646    19.75      14.6091    R_PO
7.0176     16.2153    12.7824    R_ZTS
6.63       4.6204     5.4669     L_PR2
8.26       7.1343     11.1875    L_PMS
13.6379    8.919      11.0979    L_ZMI
11.8791    9.4864     15.1548    L_ZMU
10.5138    10.6351    16.3866    L_DA
12.1165    9.4263     17.6452    L_MTI
12.494     10.0168    18.7358    L_MTS
13.568     9.2699     16.4197    L_FMO
14.9252    9.3671     16.4457    L_FMT
18.4184    14.4382    14.6278    L_PO
15.7194    9.0903     12.8768    L_ZTS
4.921      5.3183     5.2306     O1
9.7592     6.3513     9.6209     O2
8.4562     14.3132    17.7294    O3
18.0004    18.1821    15.9733    O4







































































































































































9.8862     10.7059    17.8924    GLRH
9.873      10.7031    17.7417
9.8673     10.6979    17.5723
9.8518     10.7       17.4331
9.8459     10.6558    17.2597
9.8851     10.6634    17.008
9.8866     10.6612    16.7677
9.9009     10.6573    16.5939
9.875      10.6344    16.339
9.8279     10.5772    16.1343
9.7897     10.5328    15.9632
9.7596     10.4486    15.7945
9.7004     10.3729    15.6138
9.657      10.3151    15.5034
9.6242     10.2473    15.4152
9.5838     10.1706    15.2965
9.5208     10.1021    15.2026
9.4466     10.0262    15.0879
9.3921     9.9477     14.9925
9.3254     9.8603     14.9035
9.2352     9.7545     14.776
9.1302     9.6376     14.608
9.0639     9.5832     14.5519
9.0108     9.525      14.4746
8.9418     9.4109     14.3412
8.8999     9.3301     14.2578
8.8196     9.28       14.1043
8.7269     9.1516     13.9848
8.6349     9.0488     13.8302
8.5536     8.9778     13.7039
8.4841     8.9127     13.5941
8.4063     8.7762     13.4425
8.2889     8.6536     13.2723
8.1677     8.5301     13.1306
8.0869     8.4674     13.0404
7.988      8.3895     12.9111
7.8932     8.2856     12.7858
7.7829     8.1313     12.5985
7.671      8.0563     12.44
7.5744     7.848      12.1825
7.4636     7.735      11.9913
7.3402     7.6109     11.767
7.2567     7.4971     11.5446
7.1764     7.3964     11.3268
7.1146     7.3273     11.2118
7.0874     7.2757     11.1167
7.0319     7.2056     10.98
6.9895     7.1126     10.7934
6.9496     7.0866     10.6545























































































































































6.9496     7.1222     10.6355    NOSE
6.8312     7.291      10.5885
6.6244     7.4766     10.492
6.4633     7.6475     10.3196
6.3317     7.6876     10.1661
6.1948     7.6488     9.965
6.0353     7.5875     9.7603
5.8721     7.4902     9.4776
5.7867     7.4299     9.2065
5.6244     7.3273     8.9141
5.5354     7.2298     8.6565
5.4517     7.1438     8.4403
5.3512     6.9978     8.2584
5.2706     6.8957     8.143
5.2371     6.7716     8.0066
5.2185     6.6145     7.8936
5.1924     6.4965     7.8004
5.167      6.4079     7.7721
5.1932     6.2261     7.6717
5.1798     6.091      7.6119
5.2283     5.9084     7.5765
5.241      5.7597     7.5143
5.2615     5.6145     7.4365
5.3024     5.4872     7.3453
5.3169     5.3881     7.2417
5.4711     5.3131     7.0731
5.5623     5.2494     7.0219
5.7142     5.1076     7.1123
5.7762     5.0051     7.2137
5.8386     4.9575     7.347
6.0034     4.948      7.5115
6.0943     4.9489     7.5726
6.2698     4.9469     7.6758
6.4684     4.9956     7.7463
6.6305     5.0219     7.8202
6.7587     5.0572     7.8564
6.8936     5.0349     7.9636
7.0501     5.1084     8.1031
7.0859     5.1374     8.1337
7.1444     5.1711     8.2124
7.2348     5.2962     8.357
7.3231     5.3198     8.5262
7.39       5.4047     8.6819
7.4602     5.4737     8.8004
7.5213     5.5565     8.9516
7.5496     5.6336     9.0593
7.6282     5.7927     9.2783
7.683      5.799      9.4031
7.6992     5.9007     9.521
7.7436     6.0454     9.7505
7.7446     6.2056     9.9151
7.7903     6.3766     10.0033
7.7786     6.4718     10.1445
7.7659     6.5356     10.2189
7.6708     6.6702     10.2916
7.5458     6.7883     10.4933
7.4225     6.8137     10.5821
7.273      6.8988     10.6412
7.1753     6.9814     10.6865
7.0545     7.0548     10.7073












































































































































5.6125     5.1855     7.0366     NASP-PR
5.5662     5.1071     6.9296
5.5531     5.0465     6.7995
5.5016     5.0084     6.6866
5.4876     4.9562     6.5505
5.4634     4.9516     6.3733
5.4699     4.9597     6.1658
5.504      4.9443     6.0157
5.5273     4.9607     5.8435
5.5513     4.9321     5.7197
5.5609     4.9293     5.5753
5.5997     4.998      5.3761




























































































































































































6.7842     8.3903     11.1816    R-PM/MAX
6.627      8.2793     10.9566
6.586      8.2567     10.8779
6.4673     8.1844     10.7043
6.3894     8.1401     10.55
6.2765     8.0527     10.3693
6.1419     7.9624     10.2292
6.0008     7.8904     10.0222
5.9042     7.8503     9.8439
5.7582     7.7681     9.5906
5.6732     7.7297     9.3721
5.5985     7.6571     9.1569
5.5104     7.626      8.8501
5.4202     7.5887     8.6583
5.3684     7.5611     8.4598
5.2606     7.5128     8.1316
5.1934     7.4876     8.0692
5.1452     7.455      7.8937
5.1461     7.4619     7.7865
5.1123     7.4553     7.6937
5.0359     7.4191     7.5151
4.9141     7.3796     7.2593
4.8587     7.3641     7.0645
4.7925     7.3788     6.8913
4.7765     7.41       6.7622
4.8923     7.4607     6.4975
4.9802     7.4087     6.3329















