NMNH       197176     Phu24stv
20.5033    19.7743    14.5346    IN
16.7308    16.2074    17.2922    BR
12.6029    12.3133    15.4511    GL
12.7144    12.3417    14.6287    NA
10.3522    10.2202    8.9614     RH
9.1452     9.0365     5.4353     NS
9.1965     9.0405     4.4967     PR
8.6472     9.7909     4.5223     R_PR2
10.8405    11.0501    9.8259     R_PMS
10.6457    15.6412    9.9057     R_ZMI
11.807     13.8305    12.6281    R_ZMU
12.674     12.6825    13.8275    R_DA
11.9423    13.3908    15.318     R_MTI
12.6454    13.5586    16.3667    R_MTS
11.3776    15.4892    14.1231    R_FMO
11.3637    16.409     14.0536    R_FMT
14.9141    19.9177    12.6278    R_PO
11.036     17.2244    11.2998    R_ZTS
9.9356     8.6991     4.4039     L_PR2
11.6751    10.8758    10.3272    L_PMS
15.7383    10.389     9.6139     L_ZMI
14.1857    11.4256    12.4845    L_ZMU
13.1555    12.3065    13.7008    L_DA
13.9674    11.2342    15.3504    L_MTI
14.4397    11.6386    16.1253    L_MTS
15.8907    10.8747    13.9886    L_FMO
16.8321    10.8341    14.0425    L_FMT
20.4647    14.3584    12.466     L_PO
17.5753    10.6205    11.1161    L_ZTS
9.81       8.4824     5.7086     O1
12.1059    15.7537    15.5789    O2
19.3777    11.6421    11.2021    O3
20.8304    19.0257    14.1307    O4







































































































































































12.7449    12.3168    14.6338    GLRH
12.7611    12.3398    14.3586
12.7531    12.3574    14.0907
12.7175    12.3712    13.8793
12.6802    12.3426    13.6864
12.6694    12.2773    13.508
12.6156    12.2895    13.3709
12.558     12.266     13.1929
12.4823    12.2589    13.0433
12.4519    12.1859    12.8808
12.4288    12.0958    12.7212
12.3908    12.0446    12.6009
12.3184    12.0437    12.4633
