AMNH        81811       Phu3stv
18.3692     19.3283     -17.296     IN
14.7499     14.9358     -19.9887    BR
10.08       9.81        -17.8865    GL
10.1068     9.8853      -17.5998    NA
6.867       6.1772      -10.7068    RH
4.8235      4.0763      -6.881      NS
4.5445      3.8162      -5.1903     PR
5.5571      3.4663      -5.2074     R_PR2
8.1601      6.4244      -11.3348    R_PMS
13.4452     7.4591      -11.0434    R_ZMI
11.9465     8.7283      -15.1879    R_ZMU
10.6855     9.8804      -16.223     R_DA
12.3504     8.5793      -17.8262    R_MTI
12.6657     8.9808      -18.878     R_MTS
13.8474     8.3505      -16.4207    R_FMO
15.0573     8.3311      -16.3761    R_FMT
19.3833     13.2686     -14.3918    R_PO
16.0509     8.1213      -12.8415    R_ZTS
4.0316      4.6911      -5.2438     L_PR2
7.1821      7.7998      -11.8051    L_PMS
6.8678      13.0705     -11.3995    L_ZMI
8.5048      11.7815     -15.4141    L_ZMU
9.9316      10.5917     -16.5075    L_DA
8.4745      11.9809     -17.9836    L_MTI
8.8728      12.1832     -18.9904    L_MTS
8.0776      13.4507     -16.7334    L_FMO
7.7613      14.6254     -16.6387    L_FMT
12.2271     19.818      -14.8651    L_PO
7.3028      15.7477     -13.2987    L_ZTS
3.8438      5.0995      -6.7513     O1
13.9862     7.1502      -12.71      O2
9.945       13.8895     -18.2385    O3
18.0088     17.7866     -17.4459    O4







































































































































































10.057      9.8333      -17.8887    GLRH
10.0861     9.8502      -17.7416
10.1178     9.879       -17.5951
10.135      9.9058      -17.4441
10.1491     9.9304      -17.3032
10.201      9.9439      -17.154
10.2135     9.9604      -17.0259
10.2295     9.9938      -16.9004
10.2314     9.9964      -16.7879
10.229      10.0047     -16.6553
10.2248     10.0091     -16.5319
10.196      9.9905      -16.4374
10.1723     9.9772      -16.3338
10.1569     9.9495      -16.1826
10.1224     9.914       -16.0813
10.0919     9.8542      -15.918
10.066      9.8214      -15.8427
9.9968      9.7164      -15.5987
9.9271      9.6781      -15.4651
9.8594      9.6118      -15.3239
9.7866      9.5354      -15.1459
9.7277      9.4422      -14.992
9.6598      9.3909      -14.8745
9.5954      9.3252      -14.7672
9.5784      9.2431      -14.6624
9.4321      9.1079      -14.4551
9.3632      9.0318      -14.3432
9.317       8.9765      -14.2728
9.2787      8.9184      -14.1985
9.226       8.8594      -14.1372
9.1653      8.7834      -13.9614
9.0579      8.673       -13.8365
8.9707      8.5686      -13.7233
8.8762      8.4577      -13.5871
8.7757      8.375       -13.486
8.6771      8.2422      -13.3338
8.551       8.1011      -13.164
8.4619      8.0092      -13.0796
8.3931      7.9193      -12.9912
8.3301      7.8362      -12.8798
8.2207      7.7404      -12.7755
8.1324      7.6325      -12.6628
8.0732      7.5229      -12.5297
7.9607      7.4144      -12.3957
7.8207      7.2817      -12.2176
7.7156      7.1711      -12.0617
7.6414      7.0857      -11.9715
7.5777      7.0123      -11.876
7.4387      6.8226      -11.6959
7.36        6.7492      -11.5984
7.2889      6.6784      -11.5098
7.1935      6.576       -11.3495
7.1352      6.5027      -11.2438
7.0812      6.4238      -11.1286
6.9995      6.3416      -10.9799
6.9291      6.2735      -10.8915
6.8945      6.1922      -10.7826















































































































































6.8487      6.1744      -10.7397    NOSE
6.958       6.1402      -10.7332
7.0057      6.0172      -10.7276
7.0067      5.8974      -10.6187
6.99        5.8077      -10.5082
7.1576      5.6972      -10.4151
7.2941      5.6359      -10.3225
7.3241      5.5043      -10.2091
7.3065      5.3347      -10.1292
7.2656      5.1042      -9.9708
7.2643      5.0327      -9.8091
7.3071      4.8478      -9.7581
7.3199      4.729       -9.6708
7.2531      4.6575      -9.496
7.1468      4.6084      -9.3464
7.1102      4.4961      -9.1625
7.0474      4.4625      -9.0493
6.9895      4.3459      -8.8527
6.8874      4.2663      -8.7006
6.8223      4.1768      -8.5447
6.7275      4.0922      -8.3969
6.5902      3.9967      -8.137
6.5082      3.9441      -8.068
6.3922      3.8505      -7.961
6.3338      3.8781      -7.8966
6.2406      3.8001      -7.7693
6.14        3.7854      -7.7227
6.0332      3.8063      -7.6555
5.889       3.7694      -7.5522
5.7245      3.7455      -7.4696
5.5957      3.6529      -7.3525
5.4502      3.6133      -7.2521
5.3308      3.6859      -7.2017
5.19        3.6954      -7.1156
5.1103      3.792       -7.0693
5.0159      3.8365      -6.9979
4.8307      3.8611      -6.9502
4.8465      4.0125      -6.8178
4.7347      4.1166      -6.832
4.6096      4.1021      -6.8379
4.4925      4.1096      -6.866
4.4642      4.2095      -7.0093
4.4325      4.3404      -7.1509
4.3432      4.3676      -7.2027
4.3105      4.4993      -7.2975
4.3128      4.6784      -7.4058
4.2842      4.921       -7.5609
4.3017      5.0994      -7.5836
4.306       5.2441      -7.6722
4.3281      5.3962      -7.784
4.2611      5.5582      -7.9292
4.2685      5.6979      -8.102
4.332       5.8008      -8.2653
4.4496      5.9532      -8.4664
4.6591      6.1202      -8.7181
4.6613      6.2019      -8.8301
4.7442      6.2483      -8.9822
4.8057      6.3552      -9.1995
4.9039      6.4529      -9.3893
4.9889      6.5144      -9.5233
5.0543      6.6057      -9.7627
5.1865      6.6603      -9.8884
5.4612      6.5965      -9.9502
5.6785      6.5353      -10.0362
5.9052      6.4894      -10.1346
6.1094      6.5129      -10.2576
6.3023      6.3658      -10.5432
6.4871      6.3595      -10.6649
6.6601      6.3102      -10.7042
6.7888      6.2196      -10.7043


































































































































4.8392      4.1182      -6.893      NASP-PR
4.7992      4.0225      -6.7982
4.7181      3.9399      -6.6503
4.729       3.8809      -6.5429
4.6527      3.8289      -6.4627
4.6348      3.7934      -6.2886
4.5924      3.7642      -6.1676
4.5861      3.7729      -6.0074
4.5938      3.7967      -5.844
4.5618      3.7758      -5.6725
4.5461      3.7749      -5.5521
4.5294      3.782       -5.4191
4.5096      3.8176      -5.2718
4.5459      3.8042      -5.1832


























































































































































































8.1037      6.4043      -11.3301    R-PM/MAX
8.0452      6.2972      -11.2163
8.0034      6.2008      -11.1293
7.9776      6.1175      -11.0087
7.9337      6.0111      -10.9275
7.9014      5.9406      -10.8504
7.8276      5.7495      -10.6977
7.7832      5.6373      -10.6149
7.6678      5.4742      -10.4741
7.6021      5.225       -10.3602
7.5808      5.0637      -10.2245
7.5961      4.9218      -10.074
7.6213      4.7922      -9.8759
7.584       4.7129      -9.7519
7.607       4.6867      -9.5944
7.6162      4.6081      -9.406
7.616       4.5284      -9.2331
7.5572      4.4808      -8.9778
7.4995      4.382       -8.656
7.4532      4.2835      -8.4555
7.488       4.2137      -8.2504
7.4456      4.0605      -8.0381
7.4254      3.8812      -7.7604
7.5042      3.8247      -7.5737
7.4957      3.7695      -7.393
7.5156      3.719       -7.2114
7.5814      3.6704      -7.0404
7.6419      3.7056      -6.8267
7.703       3.7021      -6.5465
7.7547      3.7168      -6.4068
7.7383      3.7309      -6.2075
7.6331      3.8054      -6.0452
7.5231      3.862       -5.9759
7.51        3.855       -5.9659






































































































































































7.1745      7.7897      -11.8251    L-PM/MAX
7.1021      7.756       -11.7034
6.9841      7.7084      -11.6111
6.9313      7.6419      -11.5407
6.8109      7.5585      -11.4295
6.6688      7.4799      -11.2824
6.5519      7.4233      -11.1598
6.4766      7.4012      -11.0809
6.3391      7.3402      -10.9434
6.2314      7.2989      -10.8185
6.0586      7.1902      -10.654
5.8999      7.1348      -10.495
5.8093      7.0957      -10.4095
5.7609      7.1011      -10.3912
5.5736      7.0086      -10.329
5.3555      6.9398      -10.1632
5.2686      6.9229      -10.1022
5.1409      6.8812      -9.9802
5.0531      6.8596      -9.8502
4.9741      6.8128      -9.7074
4.9149      6.7728      -9.542
4.8521      6.7945      -9.3839
4.8347      6.7974      -9.2985
4.7747      6.7575      -9.0998
4.6472      6.7489      -8.9042
4.5802      6.6983      -8.717
4.5436      6.6958      -8.632
4.4595      6.7028      -8.4514
4.31        6.6861      -8.1329
4.1612      6.657       -7.9597
4.0518      6.6553      -7.7841
3.9695      6.7257      -7.5981
3.9513      6.7579      -7.4314
3.9233      6.8042      -7.2299
3.8863      6.806       -7.0859
3.8802      6.8063      -6.9327
3.8651      6.879       -6.8172
3.8921      6.8811      -6.671
3.9031      6.879       -6.536
3.9778      6.8628      -6.3474
4.0583      6.724       -6.2434































































































































































10.7422     6.7784      -7.4225     ROSTRUM
10.7228     6.737       -7.5273
10.7032     6.6709      -7.6613
10.7039     6.6621      -7.7484
10.6745     6.605       -7.8734
10.6678     6.5729      -7.9358
10.6765     6.5099      -8.0874
10.6237     6.4781      -8.2067
10.55       6.4618      -8.3311
10.5141     6.4613      -8.4289
10.4365     6.4371      -8.5247
10.3866     6.4575      -8.641
10.3469     6.4629      -8.7031
10.3        6.46        -8.8129
10.2424     6.4663      -8.9229
10.2122     6.4722      -9.0061
10.1641     6.4438      -9.0662
10.1096     6.4389      -9.1817
10.086      6.4226      -9.2823
10.0531     6.4205      -9.3694
10.0025     6.4109      -9.4785
9.9556      6.3708      -9.6304
9.922       6.3287      -9.7241
9.8839      6.3036      -9.8474
9.8412      6.2637      -9.9464
9.8037      6.1811      -10.1072
9.8122      6.1012      -10.2796
9.7912      5.986       -10.3621
9.811       5.8612      -10.487
9.8216      5.7211      -10.634
9.8125      5.6497      -10.7554
9.7454      5.5703      -10.8802
9.63        5.5551      -11.0174
9.5924      5.5766      -11.0663
9.4693      5.5942      -11.2457
9.339       5.6202      -11.3635
9.2348      5.6685      -11.4314
9.0865      5.7572      -11.5138
8.9744      5.8371      -11.5358
8.8814      5.9177      -11.5464
8.7688      6.0321      -11.5158
8.673       6.1139      -11.4707
8.6053      6.1742      -11.4626
8.5073      6.2559      -11.4595
8.4656      6.3224      -11.5144
8.3915      6.3918      -11.4547
8.3542      6.4858      -11.4212
8.254       6.5499      -11.4527
8.2125      6.543       -11.5238
8.0946      6.5773      -11.6075
7.9932      6.5782      -11.6809
7.918       6.6144      -11.7197
7.8204      6.7033      -11.7506
7.7321      6.7697      -11.7524
7.6784      6.8017      -11.7544
7.5806      6.8483      -11.7551
7.4846      6.9191      -11.7867
7.3824      6.995       -11.79
7.2656      7.0869      -11.7782
7.1649      7.1581      -11.7807
7.0762      7.2349      -11.7395
6.9689      7.347       -11.7155
6.9         7.4745      -11.641
6.8551      7.6063      -11.4631
6.645       7.7564      -11.4287
6.4959      7.8438      -11.42
6.3728      7.9485      -11.4536
6.2226      8.0443      -11.5299
6.0652      8.0949      -11.5489
5.9681      8.1875      -11.5904
5.7362      8.3037      -11.5671
5.6191      8.4134      -11.5005
5.536       8.5861      -11.3744
5.4582      8.7244      -11.222
5.4826      8.8709      -11.0381
5.5406      8.9661      -10.8767
5.6667      9.0256      -10.662
5.7407      9.0463      -10.5174
5.978       9.0695      -10.2918
6.0988      9.1392      -10.1286
6.1178      9.2137      -9.9848
6.1722      9.3438      -9.8545
6.1627      9.3319      -9.8021
6.1855      9.4532      -9.4626
6.1768      9.5446      -9.3167
6.1672      9.6162      -9.1766
6.1701      9.7339      -9.0008
6.1633      9.8317      -8.8441
6.1485      9.9383      -8.6797
6.1456      10.026      -8.4862
6.1747      10.1321     -8.2731
6.2372      10.2159     -8.0814
6.2764      10.2542     -7.9471
6.3501      10.3091     -7.7925
6.4524      10.4        -7.6156









































































































15.0271     8.3342      -16.5154    SUPORB
15.0516     8.3124      -16.6734
15.0376     8.3419      -16.8229
14.9529     8.3202      -17.0443
14.9183     8.4001      -17.2342
14.8392     8.383       -17.3929
14.7822     8.4011      -17.5111
14.7563     8.4461      -17.6032
14.6558     8.4464      -17.7448
14.5614     8.4602      -17.8722
14.4195     8.4892      -17.9999
14.2521     8.5024      -18.1378
14.1234     8.5267      -18.2027
14.0184     8.518       -18.277
13.9073     8.5427      -18.3324
13.7181     8.5998      -18.4632
13.5985     8.6348      -18.5178
13.4413     8.6386      -18.5619
13.3004     8.6824      -18.6177
13.163      8.7279      -18.6927
13.0338     8.7762      -18.7377
12.9021     8.8509      -18.8028
12.7946     8.9305      -18.8447
12.6429     9.0339      -18.8987
12.5677     9.1021      -18.9631
12.4722     9.171       -19.0065
12.3839     9.2567      -19.0243
12.2967     9.3106      -19.0522
12.1864     9.3627      -19.0832
12.0777     9.4554      -19.1281
11.9629     9.548       -19.1271
11.8788     9.5761      -19.1423
11.765      9.6543      -19.1519
11.6149     9.7265      -19.137
11.4887     9.8432      -19.1589
11.3545     9.8929      -19.1371
11.1427     9.9295      -19.0905
11.0113     9.9598      -19.0111
10.8557     9.9742      -18.9476
10.7219     9.9843      -18.8857
10.6054     10.0251     -18.7977
10.4734     10.0003     -18.6969
10.356      9.9997      -18.6463
10.1551     10.011      -18.5599
10.067      10.245      -18.7329
10.0583     10.4387     -18.8922
10.0053     10.6487     -18.9996
9.9413      10.7788     -19.0566
9.8766      10.9224     -19.1237
9.8568      11.0414     -19.1515
9.7353      11.21       -19.1972
9.6418      11.3408     -19.1996
9.5014      11.4889     -19.211
9.3708      11.6254     -19.1986
9.2598      11.7588     -19.1461
9.1507      11.8943     -19.1109
9.0051      11.9776     -19.068
8.9259      12.1079     -19.0212
8.796       12.3216     -18.9524
8.699       12.4197     -18.9351
8.5941      12.6373     -18.8543
8.4831      12.8547     -18.8017
8.3823      13.065      -18.7396
8.3749      13.2137     -18.6947
8.3232      13.3516     -18.6442
8.2808      13.4781     -18.5943
8.2247      13.6185     -18.5001
8.1742      13.7473     -18.4275
8.1246      13.8858     -18.3283
8.1265      14.0106     -18.2237
8.1113      14.1791     -18.0731
8.0921      14.3038     -17.9131
8.0834      14.3912     -17.7599
8.0521      14.4744     -17.61
8.0548      14.5332     -17.4138
7.936       14.6071     -17.2527
7.9032      14.6099     -17.0531
7.9301      14.6286     -16.8099
7.8137      14.6294     -16.6455

























































































































11.9339     8.7902      -15.2189    RORBIT
12.045      8.7267      -15.2526
12.1561     8.6402      -15.2557
12.2949     8.5447      -15.2995
12.4595     8.4852      -15.365
12.5867     8.4546      -15.4288
12.7499     8.3898      -15.4928
12.9375     8.3092      -15.5307
13.0734     8.3497      -15.6562
13.2705     8.2953      -15.7765
13.4606     8.3168      -15.9203
13.6145     8.3425      -16.0724
13.7267     8.3565      -16.1903
13.8152     8.3353      -16.3214
13.851      8.3296      -16.3892
13.874      8.3247      -16.5423
13.8814     8.3266      -16.6984
13.8751     8.3024      -16.8022
13.8656     8.3229      -16.7473
13.8507     8.3344      -16.8219
13.7792     8.3254      -16.9854
13.6484     8.2395      -17.2203
13.5509     8.3036      -17.3299
13.3703     8.3277      -17.4975
13.2402     8.3015      -17.5828
13.0733     8.3108      -17.704
12.8865     8.3247      -17.7963
12.7071     8.3847      -17.8312
12.4782     8.4727      -17.9128
12.2767     8.5664      -17.8955
11.9978     8.6947      -17.8668
11.8729     8.8025      -17.8292
11.699      8.9895      -17.7558
11.6134     9.0259      -17.7749
11.3898     9.2443      -17.7942
11.2685     9.4156      -17.7123
11.0237     9.6142      -17.6456
10.9846     9.7108      -17.4321
10.8701     9.7391      -17.2859
10.8344     9.8125      -17.0827
10.8743     9.8879      -16.9128
10.8535     9.9112      -16.7519
10.8019     9.9293      -16.6044
10.7239     9.9342      -16.4533
10.685      9.8961      -16.3295



























































































































































8.5101      11.7889     -15.4212    LORBIT
8.4242      11.8637     -15.4649
8.3452      11.9766     -15.5072
8.295       12.1518     -15.5624
8.264       12.2792     -15.6124
8.1515      12.5983     -15.8258
8.1554      12.7501     -15.9078
8.1727      12.9259     -16.0073
8.0997      13.1515     -16.2335
8.1309      13.3362     -16.4676
8.1458      13.3783     -16.5718
8.0964      13.4383     -16.7751
8.1868      13.4277     -16.8153
8.1638      13.433      -16.9844
8.1302      13.4005     -17.1455
8.1266      13.2803     -17.414
8.0932      13.134      -17.5721
8.0438      13.0267     -17.6975
8.0785      12.9096     -17.86
8.1277      12.8233     -17.877
8.2418      12.62       -18.0115
8.2776      12.4531     -18.0479
8.3619      12.2448     -18.0151
8.514       12.0814     -17.9653
8.6273      11.943      -17.9359
8.7633      11.6032     -17.9047
8.8264      11.5473     -17.8599
8.9311      11.4392     -17.8284
9.0273      11.3797     -17.7621
9.1493      11.177      -17.771
9.2627      11.1114     -17.7683
9.3632      11.0236     -17.7459
9.6677      10.8525     -17.7438
9.7096      10.7692     -17.6686
9.774       10.7763     -17.5049
9.8478      10.6918     -17.2885
9.9217      10.7093     -17.1015
9.9488      10.6941     -16.9543
9.9403      10.6046     -16.8078
9.9331      10.5701     -16.6628
9.9369      10.5994     -16.5241































































































































































15.0096     8.3046      -16.4296    RTEMFOS
15.0517     8.244       -16.2184
15.0685     8.1874      -16.0506
15.0928     8.2142      -15.9074
15.0792     8.2222      -15.742
15.0656     8.1205      -15.544
15.0339     8.0839      -15.3816
15.0086     8.095       -15.2065
14.97       8.0444      -15.0519
14.9416     8.0059      -14.8894
14.8788     7.9527      -14.7067
14.8449     7.9657      -14.5448
14.8171     7.8894      -14.4413
14.7814     7.8654      -14.3071
14.7232     7.8393      -14.1549
14.6947     7.7816      -14.0049
14.6761     7.6935      -13.8792
14.6868     7.6448      -13.7528
14.6672     7.6174      -13.6555
14.6874     7.6134      -13.5141
14.6929     7.5716      -13.4563
14.7379     7.5161      -13.2699
14.824      7.6201      -13.1511
14.9018     7.5867      -13.0775
14.9909     7.6505      -13.0023
15.0952     7.7321      -12.9206
15.1962     7.7104      -12.9009
15.4728     7.7148      -12.8234
15.6065     7.8367      -12.798
15.7306     7.8751      -12.7886
15.8268     7.8875      -12.7687
15.9183     7.981       -12.7992
15.9775     8.0249      -12.8097
16.1137     8.1044      -12.8208






































































































































































7.8372      14.5837     -16.667     LTEMFOS
7.8228      14.5822     -16.5656
7.779       14.6074     -16.5052
7.6788      14.5808     -16.4234
7.7235      14.6217     -16.3341
7.678       14.6155     -16.2267
7.6197      14.6089     -15.9829
7.662       14.564      -15.8507
7.5807      14.549      -15.713
7.5807      14.5713     -15.5663
7.4736      14.4977     -15.2313
7.3587      14.42       -15.2111
7.3011      14.3796     -15.0474
7.2598      14.417      -14.8679
7.2305      14.3184     -14.674
7.1726      14.2782     -14.5432
7.1355      14.264      -14.5355
7.0991      14.2506     -14.3513
7.0553      14.2535     -14.2267
7.0009      14.2428     -14.1091
6.9735      14.2449     -14.0243
6.9012      14.2201     -13.9314
6.8916      14.2829     -13.7686
6.9092      14.4588     -13.6557
6.9106      14.5629     -13.5249
6.8922      14.6683     -13.3913
6.9095      14.838      -13.3071
6.9478      15.0164     -13.2607
6.9949      15.1169     -13.2372
7.0711      15.2272     -13.2329
7.1263      15.4009     -13.2405
7.2046      15.5612     -13.2513
7.2667      15.7371     -13.2966
7.3338      15.8734     -13.3583






































































































































































6.4673      6.0071      -13.5069    OP
8.2097      7.9251      -13.1731    BA
11.7195     12.6484     -11.1874    ST
16.9909     18.8953     -10.1266    IV
11.9274     5.4789      -12.6918    R_PG
14.4893     6.0902      -10.7688    R_ZTI
15.245      12.5263     -12.28      R_M3D
17.2346     14.5953     -11.6608    R_M12
18.7282     16.9208     -11.1996    R_MP3
19.6409     18.2657     -10.4477    R_PMI
4.8563      11.3498     -13.3268    L_PG
4.926       14.2187     -11.4614    L_ZTI
11.23       15.9433     -12.5969    L_M3D
13.0257     18.3439     -12.008     L_M12
14.9902     20.2467     -11.451     L_MP3
16.4024     21.1636     -10.6813    L_PMI
17.2555     21.4428     -9.342      O1
15.299      9.6209      -8.3545     O2
6.2846      11.0537     -5.7465     O3
5.0186      3.488       -10.5836    O4




















































































































































































15.5457     10.7722     -9.8395     RZYGINF
15.4356     10.5981     -9.7919
15.3551     10.4578     -9.7292
15.366      10.2752     -9.6177
15.3334     10.0975     -9.5631
15.3433     9.9344      -9.5044
15.3798     9.772       -9.4984
15.4036     9.5624      -9.5546
15.3971     9.3244      -9.6284
15.3324     9.1317      -9.733
15.2888     9.0336      -9.8047
15.2377     8.9684      -9.8687
15.1908     8.7955      -9.9637
15.1219     8.5141      -10.1459
14.9947     8.3356      -10.2853
14.8724     8.1671      -10.3964
14.7812     7.9055      -10.5108
14.6831     7.598       -10.6762
14.6364     7.3925      -10.7538
14.6154     7.2284      -10.8075
14.6604     7.1374      -10.8299
14.7292     7.0084      -10.8419
14.7356     6.8771      -10.8849
14.7243     6.814       -10.8827
14.6763     6.6104      -10.8749
14.6123     6.524       -10.8872
14.5109     6.3345      -10.8963
14.4098     6.2505      -10.8376












































































































































































9.0807      16.1918     -10.2977    LZYGINF
8.942       16.0371     -10.2877
8.7624      15.9361     -10.1845
8.6188      15.9795     -10.1028
8.4789      15.9515     -10.0653
8.2426      15.876      -10.0622
8.0179      15.9047     -10.1074
7.8254      15.8782     -10.2007
7.69        15.7947     -10.2902
7.5075      15.7161     -10.4269
7.3593      15.6582     -10.5416
7.1967      15.5334     -10.7067
7.0086      15.4176     -10.868
6.8324      15.285      -10.9978
6.7389      15.2179     -11.078
6.6768      15.1325     -11.1151
6.615       15.0799     -11.1543
6.5237      14.9272     -11.2275
6.4488      14.847      -11.2707
6.3475      14.7517     -11.3284
6.1157      14.6487     -11.3987
5.8938      14.6516     -11.4139
5.7226      14.6674     -11.4254
5.5759      14.6415     -11.4446
5.4363      14.5505     -11.4712
5.3247      14.5398     -11.4699
5.1275      14.415      -11.5376
5.1187      14.3796     -11.4719
5.0826      14.3373     -11.4625
4.9566      14.2025     -11.4566










































































































































































15.2481     12.585      -12.3247    R-ALV
15.369      12.5566     -12.2552
15.5128     12.5926     -12.2016
