UCMVZ      117244     Phu47stv
20.4065    15.8695    14.253     IN
15.9364    12.7619    17.5966    BR
11.2052    8.8614     17.2825    GL
11.1696    8.904      16.173     NA
7.0544     5.6773     9.4726     RH
5.0218     3.9947     5.2967     NS
4.5293     3.53       3.5391     PR
3.9477     4.5498     3.9557     R_PR2
7.3502     6.7811     10.1273    R_PMS
8.4804     11.618     10.0744    R_ZMI
9.868      10.5055    14.2677    R_ZMU
10.6918    9.2478     14.9686    R_DA
10.3098    10.5996    16.7556    R_MTI
11.1804    10.6389    18.0536    R_MTS
9.627      12.3461    15.5664    R_FMO
9.8654     13.31      15.9362    R_FMT
13.9263    17.1157    12.1162    R_PO
9.1098     14.1608    11.9264    R_ZTS
5.342      2.8571     3.669      L_PR2
8.1032     5.63       10.0081    L_PMS
13.4292    5.917      10.0012    L_ZMI
12.4494    7.3742     14.1926    L_ZMU
11.5115    8.4614     15.0066    L_DA
12.7597    7.4205     16.7708    L_MTI
13.1788    8.0715     17.9472    L_MTS
14.1941    6.6519     15.42      L_FMO
15.3285    6.8419     15.6654    L_FMT
19.6538    9.8272     12.0704    L_PO
15.8991    5.9297     11.8245    L_ZTS
4.7092     2.8106     3.2125     O1
14.2633    7.4453     17.0961    O2
10.4987    16.2009    11.9139    O3
20.4145    15.1687    13.6498    O4







































































































































































11.1456    8.9125     17.22      GLRH
11.2469    8.9483     17.0183
11.2362    8.9578     16.8212
11.2473    8.941      16.5945
11.2439    8.8848     16.4213
11.2075    8.8886     16.3238
11.1349    8.8676     16.1887
11.064     8.8775     15.8958
11.0271    8.8725     15.705
10.9944    8.7935     15.5106
10.9342    8.7266     15.3216
10.8385    8.6735     15.1214
10.7952    8.5605     14.9208
10.7255    8.5423     14.7725
10.5786    8.4789     14.5546
10.469     8.4268     14.3635
10.4078    8.3649     14.2028
10.3128    8.2905     14.0473
10.2139    8.205      13.866
10.1351    8.1339     13.7254
10.0465    8.0089     13.5202
9.9216     7.936      13.3223
9.812      7.8645     13.1535
9.7417     7.797      13.0383
9.6521     7.7726     12.9355
9.5757     7.6945     12.7812
9.4322     7.6193     12.6295
9.3551     7.554      12.5176
9.2927     7.4676     12.4039
9.2047     7.3855     12.2242
9.094      7.272      12.0988
9.0026     7.2205     11.9591
8.9074     7.1397     11.8418
8.8193     7.021      11.7187
8.7019     6.9791     11.6128
8.6305     6.8784     11.5072
8.4832     6.7941     11.3604
8.3567     6.7179     11.2077
8.3125     6.701      11.207
8.2656     6.6265     11.0975
8.2149     6.5744     11.0107
8.0727     6.4988     10.8386
7.8972     6.3848     10.6425
7.7823     6.3088     10.4751
7.697      6.1466     10.3192
7.5944     6.0415     10.1678
7.4912     5.943      9.9906
7.382      5.8566     9.8499
7.3076     5.7917     9.7564
7.203      5.7366     9.6609
7.1329     5.6449     9.5628
7.0535     5.6098     9.4443




















































































































































7.0795     5.5608     9.3955     NOSE
6.9214     5.7862     9.4667
6.7646     5.8775     9.2843
6.6388     5.9967     9.1294
6.5301     6.0491     9.0297
6.3302     6.0244     8.881
6.2011     5.9964     8.7387
6.0758     5.9923     8.576
5.9395     5.9697     8.4036
5.8049     5.9732     8.2426
5.72       5.9329     8.1039
5.5588     5.9427     7.9007
5.3785     5.9239     7.734
5.2847     5.8801     7.588
5.1704     5.8336     7.3998
5.0545     5.7215     7.1999
4.9693     5.6145     6.9759
4.8653     5.5049     6.7672
