UCMVZ      81571      Phu48stv
21.9751    16.813     15.8261    IN
18.0345    13.8969    18.1155    BR
12.5936    9.9241     17.1903    GL
12.5873    9.9551     16.8997    NA
7.9412     6.394      10.0538    RH
5.7968     4.8006     6.0218     NS
5.4597     4.4634     4.5567     PR
5.1012     5.4848     4.6647     R_PR2
8.744      8.0425     11.2061    R_PMS
10.0607    13.231     10.9368    R_ZMI
11.502     11.8041    14.4882    R_ZMU
12.3054    10.358     15.2487    R_DA
11.8768    11.4576    17.0069    R_MTI
12.7773    11.9504    18.1237    R_MTS
11.2413    13.606     15.6053    R_FMO
11.7503    14.6147    15.8947    R_FMT
16.0819    18.3878    13.1439    R_PO
10.8687    15.6098    12.1062    R_ZTS
6.2975     3.7893     4.8593     L_PR2
9.5031     6.9244     10.9852    L_PMS
14.8452    7.1208     10.8582    L_ZMI
13.7018    8.7647     14.3633    L_ZMU
12.8145    9.6889     15.1261    L_DA
14.0786    8.4313     16.7385    L_MTI
15.0865    9.288      17.855     L_MTS
15.6206    7.7712     15.4931    L_FMO
16.737     7.8803     15.4498    L_FMT
21.5693    11.2108    12.7922    L_PO
17.709     7.1212     11.9709    L_ZTS
5.1552     4.5165     3.9513     O1
15.8509    9.9056     17.6049    O2
12.1047    17.4488    12.343     O3
22.3042    16.1533    15.2495    O4







































































































































































12.578     9.9284     17.182     GLRH
12.5731    9.9109     16.9548
12.57      9.9667     16.7626
12.5657    9.9652     16.6068
12.5961    9.9908     16.4365
12.61      10.0529    16.2642
12.6053    10.0777    16.1206
12.5926    10.0882    15.9684
12.5521    10.073     15.8299
12.5343    10.0425    15.7291
12.5013    10.0088    15.595
12.4617    9.952      15.4872
12.4056    9.9164     15.38
12.3246    9.8822     15.2331
12.2585    9.86       15.1463
12.2205    9.8048     15.0314
12.1513    9.7554     14.9341
12.0741    9.6914     14.8374
11.9825    9.641      14.7375
11.8515    9.548      14.5775
11.7759    9.4714     14.4779
11.7169    9.4135     14.4066
11.6628    9.3564     14.329
11.6053    9.3143     14.2541
11.5261    9.2474     14.1771
11.461     9.2151     14.0846
11.4098    9.1612     14.0426
11.3087    9.1124     13.9269
11.2412    9.0696     13.8625
11.156     9.0357     13.7853
11.0765    8.9778     13.6852
10.9883    8.9069     13.5853
10.9033    8.8621     13.5038
10.8414    8.8042     13.4294
10.7644    8.6956     13.3244
10.6831    8.6616     13.2313
10.6219    8.6345     13.166
10.5423    8.5679     13.0958
10.414     8.4761     12.9673
10.3581    8.4144     12.8987
10.2796    8.3443     12.8058
10.2024    8.2821     12.7174
10.125     8.2417     12.6541
10.0193    8.164      12.5542
9.9124     8.1063     12.469
9.8166     8.0348     12.395
9.7183     7.9368     12.2975
9.6365     7.8671     12.1844
9.5416     7.8319     12.0958
9.4342     7.7324     12.0032
9.3752     7.6607     11.9295
9.274      7.5923     11.8349
9.1514     7.495      11.6922
9.0518     7.4394     11.5751
8.9334     7.3462     11.4583
8.8384     7.2911     11.3485
8.7648     7.2096     11.2458
8.6947     7.13       11.1487
