FMNH       98095      Phu57stv
17.5289    17.9322    16.6816    IN
13.9295    13.8963    18.6131    BR
10.0244    9.1043     16.3548    GL
10.0692    9.1483     15.9238    NA
7.6195     6.2476     8.3313     RH
6.3947     4.497      4.3301     NS
6.4701     4.5533     2.688      PR
5.7034     5.5522     3.0016     R_PR2
7.2372     7.2366     8.6916     R_PMS
7.8983     12.6456    9.9017     R_ZMI
8.7796     11.0533    13.5161    R_ZMU
9.8693     9.6284     14.9592    R_DA
8.5484     10.5562    16.1887    R_MTI
9.3177     10.8795    17.3369    R_MTS
7.9434     12.5399    14.8956    R_FMO
7.8645     13.6021    14.8829    R_FMT
11.7029    18.3578    14.035     R_PO
7.8753     14.7631    11.7101    R_ZTS
7.5063     4.1353     3.0434     L_PR2
8.7346     6.2414     8.9991     L_PMS
13.8386    7.9325     9.7164     L_ZMI
12.1053    8.3598     13.4635    L_ZMU
10.6693    9.1087     14.7304    L_DA
12.056     7.8792     16.2379    L_MTI
12.5986    8.6679     17.1481    L_MTS
13.8517    7.8186     15.0462    L_FMO
14.8385    8.073      14.9734    L_FMT
18.5263    12.9195    13.9494    L_PO
15.9347    8.2958     11.7033    L_ZTS
6.987      3.7769     2.9019     O1
8.657      13.0014    16.5431    O2
17.3781    9.3161     12.1909    O3
18.1597    17.2244    16.0662    O4







































































































































































10.0079    9.0973     16.2774    GLRH
10.0205    9.1157     16.1191
10.0243    9.1418     15.9605
10.0107    9.1486     15.7389
10.0513    9.1423     15.5412
10.0732    9.1587     15.3726
10.089     9.1916     15.1698
10.0622    9.2153     14.9957
10.0829    9.1802     14.8082
10.056     9.1565     14.6191
10.046     9.1272     14.4218
9.9942     9.0828     14.2713
9.9477     9.0814     14.0777
9.919      8.9993     13.9094
9.8393     8.9464     13.6902
9.7839     8.8717     13.495
9.7422     8.8059     13.3268
9.6987     8.704      13.1696
9.6479     8.6176     13.0021
9.582      8.5498     12.8349
9.4894     8.487      12.6743
9.4239     8.425      12.5262
9.3523     8.336      12.3678
9.3125     8.2999     12.2456
9.2682     8.2207     12.1298
9.1923     8.1498     11.9818
9.1125     8.0496     11.8274
9.0556     7.992      11.6951
8.9915     7.9083     11.5602
8.9066     7.803      11.373
8.8383     7.7148     11.2518
8.8119     7.6535     11.1705
8.7633     7.5786     11.0649
8.7043     7.5175     10.9168
8.6606     7.4466     10.8254
8.6271     7.3921     10.737
8.5659     7.3137     10.6356
8.5041     7.1839     10.4437
8.4515     7.1261     10.3119
8.3812     7.0523     10.163
8.2758     6.9379     9.9687
8.2037     6.8578     9.8216
8.1426     6.7904     9.714
8.099      6.74       9.5717
8.0289     6.712      9.456
8.003      6.6633     9.3764
7.9291     6.5983     9.2413
7.8907     6.4839     9.0736
7.8397     6.4233     8.9581
7.7737     6.3483     8.8359
7.7296     6.2831     8.6904
7.6777     6.2569     8.5793
7.6566     6.1716     8.4492



















































































































































7.6        6.206      8.3757     NOSE
7.3818     6.3553     8.2758
7.1915     6.4038     8.0776
7.053      6.4777     7.982
6.988      6.4865     7.8439
6.8492     6.4338     7.6808
6.7684     6.4355     7.5806
6.6509     6.3681     7.3876
6.4658     6.3802     7.1977
6.3721     6.3        7.0001
6.3183     6.2206     6.7846
6.2396     6.1541     6.6243
6.1581     6.1584     6.4857
6.1155     6.1117     6.348
6.0819     6.0482     6.2245
6.0508     6.0137     6.0923
6.0088     5.9402     5.9327
5.9518     5.8826     5.82
5.94       5.8212     5.7158
5.931      5.7528     5.6033
5.8927     5.7111     5.5334
5.8583     5.6024     5.3914
5.7837     5.4163     5.2147
5.754      5.2484     5.0509
5.7442     5.1018     4.9254
5.7703     4.9243     4.85
5.7654     4.8289     4.7768
5.7667     4.6882     4.6457
5.9252     4.6348     4.5306
5.9096     4.5441     4.359
6.0835     4.5175     4.2992
6.1942     4.4977     4.2986
6.3549     4.4851     4.3109
6.4345     4.4151     4.3215
6.4832     4.2737     4.3458
6.4677     4.1607     4.3608
6.5435     4.1018     4.5957
6.6953     3.9978     4.7308
6.847      4.0406     4.8497
7.0669     4.0196     4.999
7.2561     3.984      5.0366
7.34       4.0259     5.1391
7.5551     4.0351     5.2814
7.6344     4.1188     5.4697
7.6687     4.1934     5.6286
7.7253     4.2402     5.7615
7.7673     4.2906     5.9002
7.857      4.3358     6.0924
7.9302     4.3953     6.245
7.972      4.5115     6.3717
8.0025     4.58       6.5265
8.0317     4.761      6.7157
8.1026     4.8651     6.9171
8.1127     5.0159     7.0572
8.1443     5.1421     7.2224
8.1662     5.2499     7.4062
8.1076     5.4057     7.5192
8.0817     5.526      7.6959
8.1002     5.6308     7.8803
8.1319     5.7112     7.9776
8.0758     5.842      8.1633
7.9298     5.9555     8.2057
7.8262     6.0736     8.3489
7.7116     6.1616     8.3653
7.6185     6.2476     8.3481







































































































































6.274      4.4761     4.2188     NASP-PR
6.2388     4.4049     3.9781
6.2319     4.3667     3.7896
6.2432     4.3246     3.5846
6.2567     4.3617     3.3732
6.2736     4.4009     3.1657
