FMNH       101803     Phu59stv
16.4105    17.3232    16.1032    IN
12.7814    13.1281    18.2575    BR
8.9695     8.3378     15.8903    GL
9.0073     8.417      15.4719    NA
6.8666     5.8571     8.418      RH
5.8784     4.1622     3.816      NS
6.0672     4.1999     2.8929     PR
5.3367     5.1405     3.1444     R_PR2
6.9795     7.0923     9.352      R_PMS
7.2022     11.8325    9.7346     R_ZMI
7.9732     10.2336    13.0717    R_ZMU
8.7826     9.2166     13.6667    R_DA
7.6383     9.8403     15.7027    R_MTI
8.5405     10.1154    16.9116    R_MTS
7.1217     11.7983    14.5347    R_FMO
7.218      12.7507    14.8066    R_FMT
10.8185    17.4879    13.3473    R_PO
7.0887     13.8786    11.4264    R_ZTS
7.1194     3.7772     3.2945     L_PR2
8.1174     6.0913     9.2808     L_PMS
12.8744    7.2764     9.9407     L_ZMI
10.9129    7.7696     13.218     L_ZMU
9.8183     8.5002     14.2695    L_DA
10.6525    7.3907     15.7141    L_MTI
11.0149    8.0655     16.9118    L_MTS
12.7162    7.2513     14.7821    L_FMO
13.6551    7.5242     14.9135    L_FMT
17.4819    11.8115    13.5095    L_PO
14.7949    7.3989     11.5745    L_ZTS
6.3716     3.565      2.9571     O1
7.8851     11.9735    16.1387    O2
16.3054    8.3961     12.0567    O3
16.83      16.6268    15.6843    O4







































































































































































8.9787     8.3091     15.8347    GLRH
8.9874     8.3579     15.6555
9.004      8.392      15.5203
9.0371     8.4098     15.3715
9.1032     8.4713     15.0906
9.1518     8.5314     14.8699
9.1442     8.5859     14.6234
9.1593     8.5749     14.4284
9.1935     8.5117     14.1789
9.1578     8.4548     13.8837
9.0901     8.4283     13.7198
9.0588     8.3875     13.5725
