AMNH       21650      phu5stv
16.0275    16.6546    10.4957    IN
13.0244    12.7551    14.6397    BR
9.4077     8.7285     13.1052    GL
9.3206     8.7609     12.5149    NA
7.1391     6.628      8.205      RH
5.7042     5.1542     5.8506     NS
5.3851     4.8521     5.0183     PR
4.9653     5.6217     4.8215     R_PR2
7.7908     7.8953     9.0539     R_PMS
6.8047     11.5474    7.399      R_ZMI
8.0076     10.145     10.3105    R_ZMU
9.1901     9.0687     11.5785    R_DA
8.3222     10.0973    12.9277    R_MTI
8.302      10.3335    13.3938    R_MTS
7.4707     11.5716    11.5421    R_FMO
7.5955     12.3154    11.7526    R_FMT
10.3336    16.2344    9.6288     R_PO
7.1481     13.0489    8.6954     R_ZTS
6.1444     4.5409     4.8322     L_PR2
8.5116     7.4322     9.0968     L_PMS
12.0936    7.1011     7.1923     L_ZMI
10.6442    7.824      10.2156    L_ZMU
9.6909     8.7375     11.4024    L_DA
11.0723    7.7707     12.7649    L_MTI
11.4261    7.844      13.1609    L_MTS
12.3799    7.4905     11.3412    L_FMO
13.1936    7.6623     11.3339    L_FMT
16.4327    11.315     9.1456     L_PO
13.6662    7.5529     8.3101     L_ZTS
4.6226     5.8232     4.7115     O1
7.8702     12.0663    11.8605    O2
15.7495    9.2611     8.4017     O3
17.082     14.3668    9.9345     O4







































































































































































9.2963     8.7533     12.8788    GLRH
9.339      8.74       12.5799
9.3494     8.7452     12.3634
9.3504     8.771      12.0855
9.3145     8.7979     11.8415
9.3152     8.7583     11.6317
9.3022     8.7384     11.4843
9.2654     8.7016     11.3002
9.2215     8.6588     11.1409
9.1535     8.6142     10.9911
9.0668     8.5584     10.7948
9.0658     8.4605     10.6765
9.0009     8.4123     10.5362
8.8906     8.3586     10.4022
8.8468     8.2562     10.232
8.7321     8.153      10.0766
8.6463     8.092      9.949
8.5976     7.991      9.8491
8.4926     7.9277     9.7225
8.3942     7.8241     9.5987
8.2667     7.7479     9.4696
8.1282     7.6251     9.3248
8.0292     7.4961     9.1927
7.9615     7.4357     9.1351
7.858      7.329      8.976
7.7257     7.1767     8.7728
7.6324     7.0597     8.6454
7.5297     6.9443     8.5355
7.4095     6.7946     8.4185
7.3078     6.7189     8.3317
7.1697     6.6141     8.2127








































































































