UWMA       ZA 72      Phu61stv
9999       9999       9999       IN
9999       9999       9999       BR
6.0071     6.7166     15.5548    GL
5.9415     6.6769     15.0863    NA
2.9102     2.6541     10.4759    RH
1.1003     0.1522     7.0807     NS
0.5054     -0.4439    5.4395     PR
-0.1968    0.4457     5.6537     R_PR2
3.0591     4.0912     10.9497    R_PMS
2.6524     9.0249     9.5431     R_ZMI
4.6125     8.2007     12.9713    R_ZMU
5.7658     7.2418     14.2389    R_DA
4.451      8.4247     15.1233    R_MTI
4.8686     9.1686     16.2187    R_MTS
3.6699     10.0866    14.1425    R_FMO
3.5581     11.3266    14.2856    R_FMT
6.9289     15.7604    11.0598    R_PO
2.667      11.6526    10.6134    R_ZTS
1.5683     -1.004     5.5845     L_PR2
4.1568     2.9548     10.7793    L_PMS
9.0555     4.0675     9.3351     L_ZMI
7.9897     5.5228     12.8245    L_ZMU
6.7426     6.535      13.7837    L_DA
8.2728     5.4477     15.0999    L_MTI
8.8913     6.0631     16.0932    L_MTS
9.7425     5.3503     13.8305    L_FMO
11.0463    5.3673     14.0466    L_FMT
14.4157    10.2954    10.8104    L_PO
11.9085    4.9068     10.3742    L_ZTS
-0.4369    -0.5412    4.6849     O1
4.0686     10.911     15.2233    O2
13.2455    5.9207     10.553     O3
14.7487    13.1153    11.7636    O4







































































































































































5.9887     6.7679     15.5833    GLRH
5.9617     6.7079     15.39
5.9448     6.6834     15.1843
5.918      6.6591     15.0315
5.9347     6.6186     14.8015
5.9118     6.6068     14.6774
5.9055     6.5744     14.5074
5.9433     6.5706     14.3422
5.9202     6.5477     14.1837
5.9054     6.4983     14.0251
5.8455     6.3722     13.8245
5.7738     6.2666     13.6034
5.6687     6.1575     13.3884
5.5814     6.0306     13.1838
5.5088     5.9469     13.0662
5.4207     5.8417     12.905
5.345      5.707      12.7593
5.2081     5.585      12.5999
5.1477     5.4995     12.5261
5.0708     5.3748     12.4348
4.9302     5.2835     12.3524
4.8724     5.1639     12.3131
4.7452     5.0479     12.2251
4.6533     4.8764     12.1325
4.5739     4.8021     12.0686
4.474      4.6347     11.9407
4.3714     4.5155     11.8874
4.2381     4.4206     11.8356
4.1215     4.2607     11.7584
4.0754     4.1869     11.6916
3.9384     4.0184     11.6026
3.7834     3.8638     11.5154
3.6973     3.6522     11.4006
3.5625     3.4274     11.2546
3.4198     3.3214     11.159
3.3079     3.1875     11.0374
3.2113     3.0686     10.9245
3.1308     2.9238     10.7767
3.0709     2.7363     10.6467
2.997      2.6889     10.5805
2.8935     2.6102     10.4658































































































































































2.9551     2.6334     10.4548    NOSE
2.748      2.9015     10.5625
2.4792     3.0588     10.4874
2.2499     2.9499     10.447
2.0536     2.8177     10.3758
1.9287     2.7767     10.3314
1.8161     2.7052     10.1864
1.6414     2.6774     10.0448
1.4952     2.6586     9.9393
1.3293     2.6298     9.782
1.1891     2.5811     9.6262
1.1226     2.5316     9.5076
1.0515     2.4302     9.3836
