AMNH       169141     Phu6stv
15.5618    16.5695    10.8652    IN
12.9553    13.4856    14.2824    BR
9.5018     8.4167     13.1404    GL
9.3983     8.4387     12.6646    NA
7.2194     6.2175     8.2919     RH
5.8646     4.4497     5.7884     NS
5.6599     4.2109     5.0428     PR
5.162      5.0343     4.9274     R_PR2
7.7165     7.4154     9.0214     R_PMS
6.7839     11.1101    7.707      R_ZMI
8.0608     10.154     10.4156    R_ZMU
9.0659     8.8865     11.4571    R_DA
8.1862     10.0205    12.765     R_MTI
8.5508     10.3068    13.6943    R_MTS
7.5833     11.3835    11.5342    R_FMO
7.4908     12.2923    11.5726    R_FMT
10.1035    16.2056    9.6176     R_PO
7.0796     12.9558    8.9665     R_ZTS
6.6313     3.9022     5.058      L_PR2
8.3544     6.8428     8.9481     L_PMS
12.4878    7.0037     7.6284     L_ZMI
10.9803    7.9069     10.3425    L_ZMU
9.671      8.4583     11.5183    L_DA
10.918     7.7179     12.7526    L_MTI
11.0494    8.1364     13.5687    L_MTS
12.5449    7.6343     11.3855    L_FMO
13.4161    7.8639     11.3953    L_FMT
16.1002    11.418     9.3581     L_PO
13.9339    7.6606     8.7451     L_ZTS
4.9563     4.5328     5.1315     O1
12.8914    8.1692     12.0059    O2
7.8793     14.9044    9.0592     O3
16.5074    14.728     9.872      O4







































































































































































9.4092     8.4545     13.0832    GLRH
9.3745     8.4547     12.9013
9.3755     8.4262     12.709
9.3539     8.4335     12.5518
9.3427     8.4814     12.4215
9.342      8.4943     12.2337
9.3287     8.5379     12.0624
9.2956     8.5787     11.7965
9.27       8.5254     11.5695
9.2351     8.466      11.4188
9.1559     8.3975     11.1733
9.1154     8.3084     10.9942
9.063      8.2726     10.8651
9.0231     8.2107     10.7484
8.977      8.1489     10.6092
8.9373     8.11       10.5614
8.8539     8.0423     10.3856
8.7772     7.9949     10.2838
8.7056     7.9353     10.1525
8.5834     7.8631     9.9984
8.5031     7.7261     9.8653
8.4156     7.6013     9.7283
8.3324     7.4718     9.5733
8.1907     7.314      9.4069
8.0606     7.1441     9.2382
7.9521     6.9521     9.0545
7.7653     6.8127     8.8652
7.6508     6.6765     8.7351
7.5633     6.5836     8.6378
7.4868     6.5133     8.5757
7.3987     6.4126     8.4842
7.3046     6.3204     8.4131
7.2403     6.2665     8.3338







































































































































































7.2382     6.2099     8.2989     NOSE
7.1779     6.324      8.2902
7.0319     6.4244     8.2618
6.9159     6.4006     8.1482
6.8114     6.3426     8.032
6.7292     6.3443     7.9513
6.6322     6.3695     7.897
6.4555     6.3342     7.7592
6.3141     6.2658     7.6172
6.1827     6.237      7.5134
6.0735     6.1709     7.3513
5.9181     6.1274     7.2046
5.841      5.9972     7.0211
5.8126     5.9143     6.906
5.7648     5.8116     6.791
5.766      5.6979     6.6723
5.8179     5.5391     6.6473
5.8174     5.4181     6.603
5.8416     5.2988     6.5362
5.8129     5.1846     6.4729
5.7851     5.0157     6.3564
5.7858     4.9223     6.2478
5.814      4.8271     6.1434
5.8591     4.757      6.0081
5.9285     4.6724     5.8997
6.0146     4.6297     5.8756
6.1136     4.4987     5.9049
6.2071     4.4203     6.0415
6.2989     4.4172     6.1766
6.3855     4.3822     6.2653
6.5627     4.4138     6.4068
6.7485     4.4861     6.5036
