UWMA       ZA 201     Phu78stv
9999       9999       9999       IN
9999       9999       9999       BR
11.8766    12.0735    13.6116    GL
11.9151    12.1458    13.0823    NA
9.8205     9.872      8.664      RH
8.0518     8.0339     6.2342     NS
7.4412     7.6305     5.0078     PR
6.9144     8.3862     5.0435     R_PR2
9.6408     10.5839    8.914      R_PMS
10.2005    15.4958    8.4796     R_ZMI
11.1877    14.0573    11.0398    R_ZMU
11.9868    12.6569    12.064     R_DA
10.8191    13.4936    13.3848    R_MTI
11.0718    13.8998    14.2158    R_MTS
10.5367    15.5984    12.4226    R_FMO
10.7693    16.6553    12.6282    R_FMT
14.0528    20.3803    10.597     R_PO
10.6192    17.4339    9.6595     R_ZTS
8.224      7.0875     5.0926     L_PR2
11.0266    10.3363    9.2587     L_PMS
15.2871    10.6577    8.3429     L_ZMI
13.9359    11.4266    10.8716    L_ZMU
12.518     12.2417    11.9814    L_DA
13.6983    10.998     13.1739    L_MTI
14.1476    11.2508    14.0915    L_MTS
15.4333    10.8554    12.1098    L_FMO
16.4773    11.1908    12.4003    L_FMT
19.8444    14.7236    10.4534    L_PO
17.1897    11.1064    9.4104     L_ZTS
8.3808     7.1623     5.8346     O1
11.0864    16.2833    13.3943    O2
19.0935    12.2234    9.4011     O3
20.1542    18.8946    12.4904    O4







































































































































































11.9061    12.0809    13.4628    GLRH
11.888     12.1479    13.2569
11.9646    12.2122    13.0323
11.9974    12.2371    12.7892
12.0363    12.2439    12.6023
12.0516    12.2744    12.396
12.038     12.2801    12.2307
12.0301    12.2664    12.0704
12.0003    12.2121    11.903
11.9247    12.1798    11.7078
11.9062    12.051     11.481
11.8087    11.9387    11.2107
11.7544    11.8704    11.0826
11.7012    11.7558    10.9139
11.6016    11.6395    10.7149
11.4824    11.5228    10.5189
11.3411    11.3814    10.3263
11.1607    11.2463    10.1446
11.0706    11.1418    10.0312
10.9229    11.0046    9.8827
10.7808    10.8558    9.6999
10.6786    10.7615    9.6052
10.5885    10.69      9.5151
10.5231    10.6183    9.4262
10.4464    10.5286    9.3421
10.3204    10.4209    9.2171
10.2039    10.2867    9.0895
10.1044    10.1826    8.9748
10.0427    10.0832    8.9002
9.9507     9.975      8.8008
9.8728     9.9155     8.7483
9.8475     9.8852     8.7111








































































































































































9.9061     9.8362     8.6744     NOSE
9.7176     9.9722     8.7237
9.5378     10.0609    8.6871
9.2775     10.1409    8.5127
9.123      10.1112    8.3904
8.9885     10.0451    8.2652
8.8138     9.9901     8.1431
8.7119     9.9056     8.041
8.5934     9.8503     7.9013
8.4768     9.7735     7.7386
8.3136     9.6552     7.5304
8.2598     9.5584     7.3726
8.1643     9.3897     7.211
8.0815     9.2188     7.0514
7.9677     9.0471     6.937
7.9026     8.918      6.8327
7.7762     8.7129     6.7349
7.8064     8.5147     6.6258
7.863      8.3686     6.498
7.9389     8.2403     6.371
8.0134     8.1589     6.2878
8.1064     8.0448     6.2599
8.2435     7.8859     6.3374
